Type,A,B,HP,Win
0,1,3,19,111
0,1,3,20,101
0,1,3,21,111
0,1,3,22,132
0,1,3,23,106
0,1,3,24,118
0,1,3,25,122
0,1,3,26,138
0,1,3,27,130
0,1,3,28,145
0,1,3,29,138
0,1,3,30,138
0,1,5,1,7
0,1,5,2,7
0,1,5,3,9
0,1,5,4,12
0,1,5,5,40
0,1,5,6,42
0,1,5,7,42
0,1,5,8,42
0,1,5,9,69
0,1,5,10,80
0,1,5,11,65
0,1,5,12,95
0,1,5,13,90
0,1,5,14,96
0,1,5,15,108
0,1,5,16,86
0,1,5,17,104
0,1,5,18,103
0,1,5,19,104
0,1,5,20,102
0,1,5,21,129
0,1,5,22,122
0,1,5,23,122
0,1,5,24,117
0,1,5,25,124
0,1,5,26,138
0,1,5,27,146
0,1,5,28,140
0,1,5,29,142
0,1,5,30,152
0,1,8,1,5
0,1,8,2,7
0,1,8,3,11
0,1,8,4,11
0,1,8,5,34
0,1,8,6,40
0,1,8,7,41
0,1,8,8,40
0,1,8,9,62
0,1,8,10,86
0,1,8,11,77
0,1,8,12,73
0,1,8,13,87
0,1,8,14,81
0,1,8,15,86
0,1,8,16,100
0,1,8,17,103
0,1,8,18,102
0,1,8,19,108
0,1,8,20,114
0,1,8,21,118
0,1,8,22,109
0,1,8,23,125
0,1,8,24,123
0,1,8,25,130
0,1,8,26,146
0,1,8,27,137
0,1,8,28,143
0,1,8,29,146
0,1,8,30,143
0,1,10,1,11
0,1,10,2,15
0,1,10,3,9
0,1,10,4,6
0,1,10,5,32
0,1,10,6,51
0,1,10,7,43
0,1,10,8,34
0,1,10,9,64
0,1,10,10,67
0,1,10,11,78
0,1,10,12,75
0,1,10,13,91
0,1,10,14,95
0,1,10,15,91
0,1,10,16,98
0,1,10,17,104
0,1,10,18,98
0,1,10,19,96
0,1,10,20,110
0,1,10,21,112
0,1,10,22,118
0,1,10,23,124
0,1,10,24,133
0,1,10,25,126
0,1,10,26,134
0,1,10,27,148
0,1,10,28,132
0,1,10,29,141
0,1,10,30,149
0,1,12,1,7
0,1,12,2,10
0,1,12,3,11
