A,B,S,C,HP,Win
5,8,10,9,57,34
5,8,10,9,58,34
5,8,10,9,59,37
5,8,10,9,60,40
5,8,10,9,61,45
5,8,10,9,62,35
5,8,10,9,63,41
5,8,10,9,64,38
5,8,10,9,65,37
5,8,10,9,66,44
5,8,10,9,67,64
5,8,10,9,68,61
5,8,10,9,69,66
5,8,10,9,70,78
5,8,10,9,71,91
5,8,10,9,72,83
5,8,10,9,73,89
5,8,10,9,74,91
5,8,10,9,75,87
5,8,10,9,76,89
5,8,10,9,77,92
5,8,10,9,78,95
5,8,10,9,79,97
5,8,10,9,80,114
5,8,10,9,81,111
5,8,10,9,82,113
5,8,10,11,40,11
5,8,10,11,41,11
5,8,10,11,42,13
5,8,10,11,43,17
5,8,10,11,44,9
5,8,10,11,45,18
5,8,10,11,46,24
5,8,10,11,47,20
5,8,10,11,48,29
5,8,10,11,49,35
5,8,10,11,50,32
5,8,10,11,51,36
5,8,10,11,52,40
5,8,10,11,53,36
5,8,10,11,54,38
5,8,10,11,55,43
5,8,10,11,56,32
5,8,10,11,57,41
5,8,10,11,58,40
5,8,10,11,59,37
5,8,10,11,60,48
5,8,10,11,61,54
5,8,10,11,62,63
5,8,10,11,63,63
5,8,10,11,64,72
5,8,10,11,65,71
5,8,10,11,66,79
5,8,10,11,67,84
5,8,10,11,68,90
5,8,10,11,69,89
5,8,10,11,70,100
5,8,10,11,71,83
5,8,10,11,72,99
5,8,10,11,73,104
5,8,10,11,74,99
5,8,10,11,75,103
5,8,10,11,76,93
5,8,10,11,77,89
5,8,10,11,78,102
5,8,10,11,79,107
5,8,10,11,80,105
5,8,10,11,81,110
5,8,10,11,82,115
5,8,10,13,40,15
5,8,10,13,41,14
5,8,10,13,42,19
5,8,10,13,43,23
5,8,10,13,44,16
5,8,10,13,45,25
5,8,10,13,46,15
5,8,10,13,47,34
5,8,10,13,48,30
5,8,10,13,49,35
5,8,10,13,50,26
5,8,10,13,51,36
5,8,10,13,52,37
5,8,10,13,53,46
5,8,10,13,54,43
5,8,10,13,55,37
5,8,10,13,56,35
5,8,10,13,57,39
5,8,10,13,58,39
5,8,10,13,59,42
5,8,10,13,60,36
5,8,10,13,61,45
5,8,10,13,62,61
5,8,10,13,63,69
5,8,10,13,64,76
5,8,10,13,65,73
5,8,10,13,66,96
5,8,10,13,67,78
5,8,10,13,68,102
5,8,10,13,69,79
5,8,10,13,70,104
5,8,10,13,71,88
5,8,10,13,72,96
5,8,10,13,73,83
5,8,10,13,74,101
5,8,10,13,75,109
5,8,10,13,76,99
5,8,10,13,77,105
5,8,10,13,78,97
5,8,10,13,79,110
5,8,10,13,80,121
5,8,10,13,81,124
5,8,10,13,82,111
5,8,10,15,40,16
5,8,10,15,41,6
5,8,10,15,42,15
5,8,10,15,43,18
5,8,10,15,44,32
5,8,10,15,45,11
5,8,10,15,46,30
5,8,10,15,47,25
5,8,10,15,48,28
5,8,10,15,49,24
5,8,10,15,50,37
5,8,10,15,51,38
5,8,10,15,52,30
5,8,10,15,53,56
5,8,10,15,54,42
5,8,10,15,55,33
5,8,10,15,56,48
5,8,10,15,57,39
5,8,10,15,58,42
5,8,10,15,59,36
5,8,10,15,60,42
5,8,10,15,61,47
5,8,10,15,62,52
5,8,10,15,63,73
5,8,10,15,64,78
5,8,10,15,65,83
5,8,10,15,66,82
5,8,10,15,67,88
5,8,10,15,68,87
5,8,10,15,69,88
5,8,10,15,70,92
5,8,10,15,71,86
5,8,10,15,72,84
5,8,10,15,73,99
5,8,10,15,74,98
5,8,10,15,75,89
5,8,10,15,76,115
5,8,10,15,77,99
5,8,10,15,78,121
5,8,10,15,79,105
5,8,10,15,80,121
5,8,10,15,81,110
5,8,10,15,82,119
7,8,10,0,40,13
7,8,10,0,41,8
7,8,10,0,42,5
7,8,10,0,43,8
7,8,10,0,44,9
7,8,10,0,45,12
7,8,10,0,46,15
7,8,10,0,47,14
7,8,10,0,48,12
7,8,10,0,49,11
7,8,10,0,50,19
7,8,10,0,51,23
7,8,10,0,52,20
7,8,10,0,53,22
7,8,10,0,54,28
7,8,10,0,55,28
7,8,10,0,56,41
7,8,10,0,57,42
7,8,10,0,58,46
7,8,10,0,59,55
7,8,10,0,60,35
7,8,10,0,61,36
7,8,10,0,62,42
7,8,10,0,63,41
7,8,10,0,64,34
7,8,10,0,65,52
7,8,10,0,66,41
7,8,10,0,67,48
7,8,10,0,68,50
7,8,10,0,69,54
7,8,10,0,70,56
7,8,10,0,71,69
7,8,10,0,72,80
7,8,10,0,73,76
7,8,10,0,74,79
7,8,10,0,75,86
7,8,10,0,76,92
7,8,10,0,77,98
7,8,10,0,78,95
7,8,10,0,79,97
7,8,10,0,80,106
7,8,10,0,81,108
7,8,10,0,82,113
7,8,10,1,40,13
7,8,10,1,41,12
7,8,10,1,42,9
7,8,10,1,43,12
7,8,10,1,44,12
7,8,10,1,45,14
7,8,10,1,46,13
7,8,10,1,47,9
7,8,10,1,48,10
7,8,10,1,49,16
7,8,10,1,50,21
7,8,10,1,51,19
7,8,10,1,52,20
7,8,10,1,53,27
7,8,10,1,54,23
7,8,10,1,55,25
7,8,10,1,56,39
7,8,10,1,57,47
7,8,10,1,58,50
7,8,10,1,59,38
7,8,10,1,60,48
7,8,10,1,61,46
7,8,10,1,62,51
7,8,10,1,63,39
7,8,10,1,64,45
7,8,10,1,65,43
7,8,10,1,66,44
7,8,10,1,67,36
7,8,10,1,68,49
7,8,10,1,69,52
7,8,10,1,70,54
7,8,10,1,71,77
7,8,10,1,72,68
7,8,10,1,73,95
7,8,10,1,74,95
7,8,10,1,75,93
7,8,10,1,76,106
7,8,10,1,77,104
7,8,10,1,78,102
7,8,10,1,79,109
7,8,10,1,80,111
7,8,10,1,81,105
7,8,10,1,82,102
7,8,10,3,40,14
7,8,10,3,41,11
7,8,10,3,42,17
7,8,10,3,43,14
7,8,10,3,44,17
7,8,10,3,45,20
7,8,10,3,46,12
7,8,10,3,47,16
7,8,10,3,48,15
7,8,10,3,49,25
7,8,10,3,50,15
7,8,10,3,51,22
7,8,10,3,52,24
7,8,10,3,53,24
7,8,10,3,54,25
7,8,10,3,55,26
7,8,10,3,56,32
7,8,10,3,57,41
7,8,10,3,58,44
7,8,10,3,59,46
7,8,10,3,60,48
7,8,10,3,61,38
7,8,10,3,62,52
7,8,10,3,63,53
7,8,10,3,64,41
7,8,10,3,65,53
7,8,10,3,66,64
7,8,10,3,67,61
7,8,10,3,68,65
7,8,10,3,69,86
7,8,10,3,70,70
7,8,10,3,71,83
7,8,10,3,72,83
7,8,10,3,73,86
7,8,10,3,74,101
7,8,10,3,75,113
7,8,10,3,76,102
7,8,10,3,77,124
7,8,10,3,78,118
7,8,10,3,79,125
7,8,10,3,80,113
7,8,10,3,81,127
7,8,10,3,82,123
7,8,10,5,40,9
7,8,10,5,41,7
7,8,10,5,42,11
7,8,10,5,43,18
7,8,10,5,44,14
7,8,10,5,45,14
7,8,10,5,46,23
7,8,10,5,47,14
7,8,10,5,48,22
7,8,10,5,49,21
7,8,10,5,50,12
7,8,10,5,51,16
7,8,10,5,52,22
7,8,10,5,53,23
7,8,10,5,54,27
7,8,10,5,55,22
7,8,10,5,56,34
7,8,10,5,57,47
7,8,10,5,58,49
7,8,10,5,59,45
7,8,10,5,60,33
7,8,10,5,61,47
7,8,10,5,62,44
7,8,10,5,63,46
7,8,10,5,64,37
7,8,10,5,65,48
7,8,10,5,66,49
7,8,10,5,67,53
7,8,10,5,68,74
7,8,10,5,69,72
7,8,10,5,70,83
7,8,10,5,71,91
7,8,10,5,72,95
7,8,10,5,73,90
7,8,10,5,74,105
7,8,10,5,75,101
7,8,10,5,76,111
7,8,10,5,77,104
7,8,10,5,78,111
7,8,10,5,79,119
7,8,10,5,80,112
7,8,10,5,81,126
7,8,10,5,82,127
7,8,10,7,40,10
7,8,10,7,41,9
7,8,10,7,42,14
7,8,10,7,43,13
7,8,10,7,44,19
7,8,10,7,45,15
7,8,10,7,46,20
7,8,10,7,47,17
7,8,10,7,48,20
7,8,10,7,49,16
7,8,10,7,50,19
7,8,10,7,51,16
7,8,10,7,52,22
7,8,10,7,53,31
7,8,10,7,54,24
7,8,10,7,55,32
7,8,10,7,56,32
7,8,10,7,57,51
7,8,10,7,58,46
7,8,10,7,59,45
7,8,10,7,60,49
7,8,10,7,61,41
7,8,10,7,62,53
7,8,10,7,63,46
7,8,10,7,64,51
7,8,10,7,65,46
7,8,10,7,66,56
7,8,10,7,67,61
7,8,10,7,68,77
7,8,10,7,69,68
7,8,10,7,70,79
7,8,10,7,71,85
7,8,10,7,72,95
7,8,10,7,73,92
7,8,10,7,74,104
7,8,10,7,75,104
7,8,10,7,76,110
7,8,10,7,77,109
7,8,10,7,78,109
7,8,10,7,79,111
7,8,10,7,80,109
7,8,10,7,81,126
7,8,10,7,82,127
7,8,10,9,40,8
7,8,10,9,41,19
7,8,10,9,42,18
7,8,10,9,43,14
7,8,10,9,44,18
7,8,10,9,45,14
7,8,10,9,46,24
7,8,10,9,47,16
7,8,10,9,48,14
7,8,10,9,49,18
7,8,10,9,50,18
7,8,10,9,51,20
7,8,10,9,52,23
7,8,10,9,53,21
7,8,10,9,54,24
7,8,10,9,55,26
7,8,10,9,56,44
7,8,10,9,57,44
7,8,10,9,58,36
7,8,10,9,59,40
7,8,10,9,60,41
7,8,10,9,61,48
7,8,10,9,62,44
7,8,10,9,63,39
7,8,10,9,64,41
7,8,10,9,65,49
7,8,10,9,66,61
7,8,10,9,67,58
7,8,10,9,68,77
7,8,10,9,69,86
7,8,10,9,70,84
7,8,10,9,71,99
7,8,10,9,72,99
7,8,10,9,73,95
7,8,10,9,74,108
7,8,10,9,75,107
7,8,10,9,76,108
7,8,10,9,77,119
7,8,10,9,78,117
7,8,10,9,79,117
7,8,10,9,80,118
7,8,10,9,81,117
7,8,10,9,82,126
7,8,10,11,40,12
7,8,10,11,41,11
7,8,10,11,42,25
7,8,10,11,43,18
7,8,10,11,44,12
7,8,10,11,45,23
7,8,10,11,46,18
7,8,10,11,47,22
7,8,10,11,48,31
7,8,10,11,49,40
7,8,10,11,50,52
7,8,10,11,51,51
7,8,10,11,52,41
7,8,10,11,53,43
7,8,10,11,54,51
7,8,10,11,55,36
7,8,10,11,56,39
7,8,10,11,57,46
7,8,10,11,58,47
7,8,10,11,59,54
7,8,10,11,60,58
7,8,10,11,61,62
7,8,10,11,62,75
7,8,10,11,63,58
7,8,10,11,64,70
7,8,10,11,65,71
7,8,10,11,66,90
7,8,10,11,67,95
7,8,10,11,68,79
7,8,10,11,69,94
7,8,10,11,70,107
7,8,10,11,71,110
7,8,10,11,72,110
7,8,10,11,73,107
7,8,10,11,74,122
7,8,10,11,75,119
7,8,10,11,76,113
7,8,10,11,77,130
7,8,10,11,78,131
7,8,10,11,79,112
7,8,10,11,80,119
7,8,10,11,81,129
7,8,10,11,82,133
7,8,10,13,40,21
7,8,10,13,41,9
7,8,10,13,42,19
7,8,10,13,43,18
7,8,10,13,44,18
7,8,10,13,45,19
7,8,10,13,46,19
7,8,10,13,47,29
7,8,10,13,48,20
7,8,10,13,49,41
7,8,10,13,50,33
7,8,10,13,51,37
7,8,10,13,52,47
7,8,10,13,53,48
7,8,10,13,54,40
7,8,10,13,55,43
7,8,10,13,56,40
7,8,10,13,57,40
7,8,10,13,58,40
7,8,10,13,59,46
7,8,10,13,60,59
7,8,10,13,61,47
7,8,10,13,62,63
7,8,10,13,63,77
7,8,10,13,64,99
7,8,10,13,65,86
7,8,10,13,66,113
7,8,10,13,67,118
7,8,10,13,68,107
7,8,10,13,69,116
7,8,10,13,70,97
7,8,10,13,71,117
7,8,10,13,72,107
7,8,10,13,73,117
7,8,10,13,74,107
7,8,10,13,75,122
7,8,10,13,76,116
7,8,10,13,77,124
7,8,10,13,78,129
7,8,10,13,79,137
7,8,10,13,80,141
7,8,10,13,81,133
7,8,10,13,82,133
7,8,10,15,40,9
7,8,10,15,41,18
7,8,10,15,42,14
7,8,10,15,43,17
7,8,10,15,44,13
7,8,10,15,45,22
7,8,10,15,46,24
7,8,10,15,47,25
7,8,10,15,48,30
7,8,10,15,49,43
7,8,10,15,50,37
7,8,10,15,51,47
7,8,10,15,52,41
7,8,10,15,53,44
7,8,10,15,54,42
7,8,10,15,55,34
7,8,10,15,56,38
7,8,10,15,57,49
7,8,10,15,58,48
7,8,10,15,59,55
7,8,10,15,60,57
7,8,10,15,61,53
7,8,10,15,62,68
7,8,10,15,63,81
7,8,10,15,64,76
7,8,10,15,65,109
7,8,10,15,66,106
7,8,10,15,67,102
7,8,10,15,68,102
7,8,10,15,69,118
7,8,10,15,70,109
7,8,10,15,71,102
7,8,10,15,72,102
7,8,10,15,73,118
7,8,10,15,74,121
7,8,10,15,75,117
7,8,10,15,76,116
7,8,10,15,77,128
7,8,10,15,78,131
7,8,10,15,79,126
7,8,10,15,80,124
7,8,10,15,81,140
7,8,10,15,82,137
9,8,10,0,40,15
9,8,10,0,41,9
9,8,10,0,42,8
9,8,10,0,43,9
9,8,10,0,44,5
9,8,10,0,45,14
9,8,10,0,46,8
9,8,10,0,47,18
9,8,10,0,48,23
9,8,10,0,49,19
9,8,10,0,50,10
9,8,10,0,51,32
9,8,10,0,52,20
9,8,10,0,53,22
9,8,10,0,54,21
9,8,10,0,55,22
9,8,10,0,56,32
9,8,10,0,57,35
9,8,10,0,58,35
9,8,10,0,59,42
9,8,10,0,60,38
9,8,10,0,61,51
9,8,10,0,62,53
9,8,10,0,63,54
9,8,10,0,64,38
9,8,10,0,65,45
9,8,10,0,66,38
9,8,10,0,67,44
9,8,10,0,68,45
9,8,10,0,69,52
9,8,10,0,70,68
9,8,10,0,71,69
9,8,10,0,72,87
9,8,10,0,73,76
9,8,10,0,74,75
9,8,10,0,75,92
9,8,10,0,76,113
9,8,10,0,77,108
9,8,10,0,78,90
9,8,10,0,79,90
9,8,10,0,80,111
9,8,10,0,81,106
9,8,10,0,82,109
9,8,10,1,40,10
9,8,10,1,41,11
9,8,10,1,42,12
9,8,10,1,43,8
9,8,10,1,44,13
9,8,10,1,45,18
9,8,10,1,46,19
9,8,10,1,47,17
9,8,10,1,48,19
9,8,10,1,49,16
9,8,10,1,50,29
9,8,10,1,51,23
9,8,10,1,52,15
9,8,10,1,53,27
9,8,10,1,54,26
9,8,10,1,55,39
9,8,10,1,56,43
9,8,10,1,57,44
9,8,10,1,58,42
9,8,10,1,59,38
9,8,10,1,60,47
9,8,10,1,61,55
9,8,10,1,62,35
9,8,10,1,63,57
9,8,10,1,64,41
9,8,10,1,65,51
9,8,10,1,66,55
9,8,10,1,67,50
9,8,10,1,68,38
9,8,10,1,69,49
9,8,10,1,70,60
9,8,10,1,71,59
9,8,10,1,72,85
9,8,10,1,73,92
9,8,10,1,74,94
9,8,10,1,75,92
9,8,10,1,76,108
9,8,10,1,77,114
9,8,10,1,78,116
9,8,10,1,79,114
9,8,10,1,80,116
9,8,10,1,81,120
9,8,10,1,82,108
9,8,10,3,40,11
9,8,10,3,41,12
9,8,10,3,42,15
9,8,10,3,43,18
9,8,10,3,44,20
9,8,10,3,45,17
9,8,10,3,46,16
9,8,10,3,47,9
9,8,10,3,48,18
9,8,10,3,49,10
9,8,10,3,50,16
9,8,10,3,51,9
9,8,10,3,52,15
9,8,10,3,53,24
9,8,10,3,54,26
9,8,10,3,55,37
9,8,10,3,56,35
9,8,10,3,57,34
9,8,10,3,58,31
9,8,10,3,59,56
9,8,10,3,60,34
9,8,10,3,61,35
9,8,10,3,62,40
9,8,10,3,63,42
9,8,10,3,64,54
9,8,10,3,65,55
9,8,10,3,66,60
9,8,10,3,67,56
9,8,10,3,68,71
9,8,10,3,69,74
9,8,10,3,70,78
9,8,10,3,71,88
9,8,10,3,72,97
9,8,10,3,73,93
9,8,10,3,74,109
9,8,10,3,75,94
9,8,10,3,76,103
9,8,10,3,77,102
9,8,10,3,78,107
9,8,10,3,79,121
9,8,10,3,80,124
9,8,10,3,81,113
9,8,10,3,82,126
9,8,10,5,40,5
9,8,10,5,41,16
9,8,10,5,42,9
9,8,10,5,43,16
9,8,10,5,44,16
9,8,10,5,45,14
9,8,10,5,46,16
9,8,10,5,47,22
9,8,10,5,48,19
9,8,10,5,49,19
9,8,10,5,50,17
9,8,10,5,51,16
9,8,10,5,52,13
9,8,10,5,53,21
9,8,10,5,54,20
9,8,10,5,55,32
9,8,10,5,56,30
9,8,10,5,57,36
9,8,10,5,58,41
