No,A,B,S,C,HP,Win,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
229,8,8,10,13,76,590,21,8,14,3,4,3,1,4,7,21,29,43,40,38,43,38,26,14,2,0,0,0,0,0,1,7,18,25,27,27,16,4,3,1,12,8,5,7,10,9,1,0,0,0,0,0,0,0,0,1,7,13,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,8,8,10,13,77,604,18,14,13,7,4,9,2,3,1,11,17,27,36,45,49,53,43,18,13,3,0,0,1,0,0,3,6,15,26,29,29,8,6,1,3,4,9,7,8,7,7,2,0,0,0,0,0,0,0,0,3,4,15,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,8,8,10,15,52,239,2,12,23,27,33,29,11,10,0,3,3,7,10,5,10,5,0,0,0,0,0,0,0,0,0,1,11,16,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,8,8,10,15,51,239,9,12,26,28,28,11,7,1,7,6,5,5,15,9,7,0,0,0,0,0,0,0,0,0,0,15,12,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,8,8,10,15,53,225,0,2,8,20,20,40,19,20,7,2,3,2,8,10,5,6,3,2,0,0,0,0,0,0,0,0,1,12,9,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,8,8,10,15,54,212,0,0,3,5,15,29,21,18,13,7,3,1,7,7,7,7,10,3,3,0,0,0,0,0,0,0,0,1,14,13,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,8,8,10,15,55,191,0,1,0,3,4,9,19,31,24,12,7,3,2,3,7,5,7,7,5,0,0,0,0,0,0,0,0,0,1,7,13,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,8,8,10,13,78,618,19,22,16,14,6,6,5,1,3,3,10,11,31,46,48,48,44,32,17,14,3,0,0,0,0,0,2,9,13,22,31,26,14,3,4,2,6,8,7,4,13,6,0,0,0,0,0,0,0,0,0,1,4,11,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,8,8,10,15,56,227,0,0,0,0,1,15,23,22,24,21,20,7,1,2,7,8,4,7,8,7,2,0,0,0,0,0,0,0,0,3,10,12,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,8,8,10,15,57,209,0,0,0,0,0,1,6,13,22,31,25,21,8,3,2,6,8,9,5,2,2,1,0,0,0,0,0,0,0,0,0,12,11,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8,8,10,15,58,206,3,0,0,0,0,1,1,7,15,23,29,15,12,8,6,3,6,9,11,5,6,4,6,0,0,0,0,0,0,0,0,4,6,8,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,8,8,10,15,59,237,6,0,0,0,0,0,0,0,4,18,23,32,31,14,9,1,2,8,8,10,12,5,7,2,0,0,0,0,0,0,0,0,0,10,11,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,8,8,10,15,60,238,17,19,4,0,0,0,0,0,0,8,15,30,31,16,8,12,0,1,8,5,6,6,6,4,1,0,0,0,0,0,0,0,0,1,7,11,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,8,8,10,15,61,309,40,31,15,3,0,0,0,0,1,2,8,13,24,19,30,18,8,2,3,7,8,11,8,2,12,2,0,0,0,0,0,0,0,0,2,6,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,8,8,10,15,62,340,39,33,24,13,3,0,0,0,0,0,1,12,12,21,33,23,15,3,2,2,7,9,11,6,16,6,1,0,0,0,0,0,0,0,0,2,12,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,8,8,10,15,63,386,39,47,35,30,10,1,0,0,0,0,0,0,9,13,23,29,24,15,8,2,8,6,11,5,8,7,8,4,0,0,0,0,0,0,0,0,2,11,6,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,8,8,10,15,65,470,33,48,38,44,32,27,12,6,0,0,0,0,0,5,10,25,17,34,26,18,5,4,4,11,5,7,7,3,4,2,0,0,0,0,0,0,0,0,1,8,8,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,8,8,10,15,64,418,40,36,48,38,17,13,3,0,0,0,0,0,3,8,17,28,30,17,17,6,1,3,4,2,7,8,12,13,0,0,0,0,0,0,0,0,0,0,13,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,8,8,10,15,66,483,31,28,42,49,34,39,22,15,5,0,0,0,0,0,1,9,22,28,20,19,13,8,2,3,6,15,4,6,12,4,0,0,0,0,0,0,0,0,0,0,11,14,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,8,8,10,15,67,504,22,31,34,31,55,38,41,20,15,0,0,0,0,0,0,2,7,14,17,38,26,9,9,2,0,9,4,11,7,12,5,1,0,0,0,0,0,0,0,0,4,13,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,8,8,10,15,68,550,13,21,24,49,70,54,46,36,16,12,2,0,0,0,0,0,1,10,15,26,29,23,12,6,2,4,7,6,8,7,5,5,2,0,0,0,0,0,0,0,0,1,9,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,8,8,10,15,69,512,6,8,22,31,34,39,49,44,32,27,18,6,0,0,0,0,0,2,4,10,22,22,25,15,8,1,3,11,2,8,6,6,4,2,0,0,0,0,0,0,0,0,2,9,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,8,8,10,15,70,539,4,4,9,21,20,38,59,47,46,44,22,16,5,0,0,0,0,0,0,9,13,19,27,21,15,6,1,0,8,4,2,11,9,9,2,0,0,0,0,0,0,0,0,0,8,16,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,8,8,10,15,71,518,3,4,3,9,18,26,32,38,49,48,38,16,16,3,0,1,0,0,0,1,10,19,24,24,24,10,8,1,2,5,4,15,9,5,6,2,0,0,0,0,0,0,0,0,3,7,9,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,8,8,10,15,72,518,3,1,4,2,4,19,29,43,39,36,35,44,17,16,1,0,0,0,0,0,3,15,12,22,29,29,18,6,0,3,7,11,6,7,9,5,2,0,0,0,0,0,0,0,0,1,11,8,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,8,8,10,15,73,508,8,5,4,1,3,11,9,26,41,43,44,38,39,21,13,1,0,0,0,0,0,1,7,15,27,29,20,10,7,1,4,4,9,11,6,7,3,0,0,0,0,0,0,0,0,0,1,7,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,8,8,10,15,74,527,7,7,1,2,2,3,5,21,36,43,50,49,31,30,23,8,2,0,0,0,0,0,5,7,16,19,20,19,18,12,1,1,4,4,10,3,8,8,3,0,0,0,0,0,0,0,0,0,12,18,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,8,8,10,15,75,564,11,10,5,7,4,4,9,11,24,31,33,41,43,49,32,26,15,4,0,0,0,0,0,1,11,11,25,30,24,13,9,0,0,8,4,6,7,4,4,1,0,0,0,0,0,0,0,0,1,11,4,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,8,8,10,15,76,595,23,13,14,2,5,2,9,6,12,17,25,32,41,45,33,31,27,13,5,0,0,0,0,0,0,2,26,25,29,25,11,4,1,5,8,11,7,11,16,8,5,0,0,0,0,0,0,0,0,0,8,13,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,8,8,11,0,50,391,6,9,26,19,22,27,19,24,30,5,0,0,0,0,0,0,0,0,0,6,38,37,37,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,8,8,10,15,77,597,18,21,8,13,9,3,7,4,3,2,23,25,32,48,58,53,37,23,11,2,0,0,0,0,0,0,7,10,18,26,21,10,6,1,0,6,7,8,11,11,3,2,0,0,0,0,0,0,0,0,1,9,10,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,8,8,11,0,51,413,10,8,14,23,15,15,21,23,23,27,3,0,0,0,0,0,0,0,0,0,4,39,47,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,8,8,11,0,52,417,9,6,5,16,16,24,16,19,28,21,26,4,0,0,0,0,0,0,0,0,0,3,39,48,38,55,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,8,8,11,0,53,421,13,8,9,5,6,27,14,25,27,18,18,18,4,0,0,0,0,0,0,0,0,0,6,40,34,48,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,8,8,11,0,54,423,8,13,11,1,10,12,15,30,22,17,16,20,14,5,0,0,0,0,0,0,0,0,0,2,41,49,38,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,8,8,10,15,78,612,18,22,16,18,5,4,7,1,0,1,7,14,24,41,49,47,39,26,21,15,3,0,0,0,0,0,1,9,19,17,45,28,14,6,1,0,6,5,5,7,12,5,6,0,0,0,0,0,0,0,0,0,12,15,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,8,8,11,0,55,422,9,17,9,5,3,7,6,19,20,22,23,22,16,20,3,0,0,0,0,0,0,0,0,0,8,28,53,39,40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,8,8,11,0,56,461,15,8,16,12,7,7,2,12,19,19,19,21,18,15,26,3,0,0,0,0,0,0,0,0,0,6,40,47,46,49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,8,8,11,0,57,457,6,9,10,14,12,11,3,9,9,25,24,17,23,19,17,20,4,0,0,0,0,0,0,0,0,0,4,44,42,40,42,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,8,8,11,0,58,483,4,10,17,11,16,12,11,5,6,9,20,28,19,22,26,16,21,5,0,0,0,0,0,0,0,0,0,10,39,41,33,44,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,8,8,11,0,59,475,4,3,4,15,11,12,8,9,15,11,11,14,27,13,17,15,24,25,1,0,0,0,0,0,0,0,0,0,5,38,41,39,61,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,8,8,11,0,60,462,0,3,7,8,11,7,9,6,10,5,5,13,20,24,16,18,18,17,31,1,0,0,0,0,0,0,0,0,0,11,31,43,41,47,22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,8,8,11,0,61,476,1,1,3,6,5,6,7,10,15,11,8,8,11,15,18,21,21,15,23,27,5,0,0,0,0,0,0,0,0,0,4,30,56,34,47,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,8,8,11,0,62,448,0,0,0,4,2,13,10,11,11,15,4,7,6,4,15,17,18,27,19,24,23,7,0,0,0,0,0,0,0,0,0,1,36,31,43,51,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,8,8,11,0,63,473,0,0,0,0,3,7,7,6,8,14,16,9,5,5,6,25,25,15,17,11,26,22,5,0,0,0,0,0,0,0,0,0,8,29,52,38,54,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,8,8,11,0,64,457,0,0,0,0,1,3,10,15,6,8,13,14,12,5,9,10,14,12,25,22,18,20,23,4,0,0,0,0,0,0,0,0,0,2,29,41,36,47,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,8,8,11,0,65,480,0,0,0,0,0,1,3,4,8,8,15,7,16,6,4,13,8,28,18,23,18,24,23,27,4,0,0,0,0,0,0,0,0,0,4,31,37,42,49,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,8,8,11,0,66,465,0,0,0,0,0,1,3,6,3,11,9,13,14,9,7,7,18,7,17,17,14,18,15,23,32,4,0,0,0,0,0,0,0,0,0,6,39,43,33,45,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,8,8,11,0,67,480,9,0,0,0,0,0,0,2,3,4,8,9,9,13,18,15,6,8,11,22,11,19,22,16,22,27,3,0,0,0,0,0,0,0,0,0,6,30,45,38,45,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,8,8,11,0,68,451,10,3,1,0,0,0,0,1,1,5,10,8,6,14,14,10,8,3,6,8,16,21,21,28,20,17,24,2,0,0,0,0,0,0,0,0,0,8,17,37,38,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,8,8,11,0,70,525,11,11,7,7,1,0,0,0,0,0,0,3,5,4,9,17,13,18,6,6,8,9,21,22,19,23,25,21,20,7,0,0,0,0,0,0,0,0,0,7,32,49,38,51,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,8,8,11,0,69,518,15,11,3,0,0,0,0,0,0,0,3,3,11,17,10,10,6,9,5,12,9,19,14,13,26,25,25,37,4,0,0,0,0,0,0,0,0,0,5,32,51,36,59,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,8,8,11,0,71,541,17,19,14,6,7,1,0,0,0,0,0,0,8,6,10,11,12,15,5,10,6,9,6,17,14,21,22,20,23,34,4,0,0,0,0,0,0,0,0,0,3,35,45,44,40,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,8,8,11,0,73,584,23,31,24,20,10,5,0,0,0,0,0,0,0,0,3,3,8,12,16,12,8,8,7,8,9,17,25,19,24,16,24,23,4,0,0,0,0,0,0,0,0,0,3,25,33,43,49,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
283,8,8,11,0,72,533,24,18,20,24,5,3,0,0,0,0,0,0,1,2,8,5,15,12,16,12,11,11,9,14,14,22,15,21,14,13,25,4,0,0,0,0,0,0,0,0,0,4,32,32,37,36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
285,8,8,11,0,74,589,21,15,18,21,14,11,6,4,1,0,0,0,0,0,0,4,7,8,7,13,11,7,12,2,7,4,25,24,20,19,27,14,25,1,0,0,0,0,0,0,0,0,0,3,37,47,35,49,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
286,8,8,11,0,75,635,19,27,22,20,15,5,19,8,6,0,0,0,0,0,0,3,1,4,13,8,11,17,16,7,3,8,8,27,21,22,23,22,22,22,4,0,0,0,0,0,0,0,0,0,6,40,46,37,37,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
287,8,8,11,0,76,621,11,18,16,26,18,20,20,16,16,6,0,0,0,0,0,0,2,3,8,10,14,7,16,10,4,5,8,9,15,21,24,25,26,15,16,6,0,0,0,0,0,0,0,0,0,6,30,47,44,42,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
289,8,8,11,0,78,643,7,10,16,16,19,15,25,18,18,11,8,3,0,0,0,0,0,0,1,4,6,10,10,15,13,14,9,7,9,11,21,26,29,18,15,14,28,2,0,0,0,0,0,0,0,0,0,4,35,37,39,45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
291,8,8,11,1,50,397,11,3,12,27,28,29,22,25,26,1,0,0,0,0,0,0,0,0,0,5,34,46,42,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,8,8,11,0,77,645,17,14,19,18,21,24,18,24,10,6,5,1,0,0,0,0,0,0,5,3,7,9,13,8,17,10,8,7,10,21,21,13,26,14,19,32,5,0,0,0,0,0,0,0,0,0,9,31,47,39,47,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
290,8,8,11,0,79,641,8,12,12,11,20,22,21,19,22,14,8,11,1,1,0,0,0,0,0,1,3,10,8,9,16,11,10,9,1,6,15,17,19,17,21,26,13,27,5,0,0,0,0,0,0,0,0,0,5,33,47,37,42,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
292,8,8,11,1,51,437,1,8,15,22,20,27,31,29,25,26,5,0,0,0,0,0,0,0,0,0,3,39,50,43,37,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,8,8,11,1,52,403,1,2,7,6,20,26,24,30,24,10,26,8,0,0,0,0,0,0,0,0,0,4,32,45,29,42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,8,8,11,1,54,445,11,4,4,0,4,11,14,31,26,26,26,25,28,3,0,0,0,0,0,0,0,0,0,2,35,43,44,53,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,8,8,11,1,53,425,2,3,2,6,8,19,17,14,25,16,26,25,2,0,0,0,0,0,0,0,0,0,10,45,54,36,54,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,8,8,11,1,55,449,5,7,8,2,1,6,7,24,24,25,31,27,16,22,3,0,0,0,0,0,0,0,0,0,4,38,43,30,56,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,8,8,11,1,56,450,13,20,10,6,1,2,8,11,21,16,20,23,33,31,17,7,0,0,0,0,0,0,0,0,0,4,37,41,36,35,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,8,8,11,1,57,457,9,16,14,5,7,3,2,7,13,19,16,29,26,31,27,22,5,0,0,0,0,0,0,0,0,0,8,44,38,26,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,8,8,11,1,59,465,1,4,11,11,15,6,6,1,4,5,7,22,22,22,29,25,22,26,2,0,0,0,0,0,0,0,0,0,6,46,50,27,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,8,8,11,1,58,474,5,6,10,6,5,5,6,3,11,8,23,24,16,31,22,21,24,5,0,0,0,0,0,0,0,0,0,2,36,55,54,41,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,8,8,11,1,60,494,1,3,2,8,11,11,7,10,1,4,12,8,23,13,25,40,25,24,28,6,0,0,0,0,0,0,0,0,0,5,37,49,30,54,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,8,8,11,1,61,441,0,0,1,8,9,11,10,7,5,1,3,10,7,22,24,19,31,17,22,11,8,0,0,0,0,0,0,0,0,0,5,34,41,29,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,8,8,11,1,62,450,0,0,1,2,8,9,10,5,10,7,3,2,3,5,23,22,21,36,20,27,26,3,0,0,0,0,0,0,0,0,0,7,26,41,40,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,8,8,11,1,63,428,0,0,1,1,6,8,9,7,10,6,3,3,2,5,10,13,26,19,32,22,16,16,2,0,0,0,0,0,0,0,0,0,4,33,38,31,47,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
