No,A,B,S,C,HP,Win,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
9,8,8,10,0,59,212,13,14,20,26,16,19,12,14,2,1,1,5,6,2,6,7,6,4,0,0,0,0,0,0,0,0,0,0,2,7,8,12,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,8,10,0,64,238,0,0,0,1,0,6,13,24,31,27,25,17,5,2,1,2,7,1,4,11,5,12,6,0,0,0,0,0,0,0,0,0,0,0,4,8,15,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8,8,10,0,66,231,1,0,0,0,0,0,0,7,9,21,26,22,17,17,9,2,2,0,10,9,4,3,8,6,6,2,0,0,0,0,0,0,0,0,0,2,8,13,14,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8,8,10,1,50,100,1,3,5,9,5,9,7,3,6,0,0,0,0,0,0,0,0,0,0,0,11,14,9,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,8,10,0,69,272,23,14,7,1,0,0,0,0,0,0,11,9,23,19,22,22,14,10,5,1,5,8,7,5,13,5,1,5,0,0,0,0,0,0,0,0,0,0,1,9,11,7,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8,8,10,0,70,296,25,20,16,6,0,0,0,0,0,0,1,9,12,17,26,30,19,12,11,1,3,3,11,7,3,5,5,7,5,1,0,0,0,0,0,0,0,0,0,0,6,14,10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,8,8,10,1,52,100,4,1,1,5,8,6,4,9,9,7,3,1,0,0,0,0,0,0,0,0,0,3,11,10,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8,8,10,0,67,214,1,1,0,0,0,0,0,1,3,14,23,18,21,28,10,4,4,1,0,4,11,8,3,6,5,4,3,0,0,0,0,0,0,0,0,0,0,7,14,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8,8,10,0,68,243,15,4,0,0,0,0,1,2,2,6,11,18,23,21,21,16,9,1,0,3,7,6,3,6,7,6,5,0,0,0,0,0,0,0,0,0,0,3,9,14,6,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,8,8,10,1,51,73,1,1,1,6,4,2,7,7,8,6,1,0,0,0,0,0,0,0,0,0,2,3,7,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,8,8,10,0,71,331,24,31,20,11,4,1,0,0,0,1,0,0,5,21,12,25,30,23,20,12,4,1,4,1,6,4,8,6,10,5,1,0,0,0,0,0,0,0,0,0,2,6,7,9,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8,8,10,0,74,429,36,35,35,36,24,19,11,5,0,0,0,0,0,0,0,7,18,18,21,24,25,21,8,2,2,6,5,3,5,3,8,5,8,2,0,0,0,0,0,0,0,0,0,1,7,6,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8,8,10,0,72,349,21,34,29,27,12,7,0,0,0,0,0,0,0,6,15,14,18,22,22,7,9,1,2,5,1,12,4,8,5,5,9,3,0,0,0,0,0,0,0,0,0,1,8,15,8,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8,8,10,0,73,400,38,44,32,23,20,20,3,2,0,0,0,0,0,2,2,11,13,28,30,22,17,9,5,2,7,6,3,8,1,3,5,7,1,0,0,0,0,0,0,0,0,0,1,13,7,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8,8,10,0,76,476,22,31,35,34,30,34,29,15,13,10,1,0,0,0,0,0,2,8,12,17,23,20,28,15,11,2,1,3,5,6,5,9,6,5,5,4,0,0,0,0,0,0,0,0,0,1,10,5,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
