Type,A,B,HP,Win
0,1,1,9,56
0,1,1,10,49
0,1,1,11,69
0,1,1,12,78
0,1,1,13,72
0,1,1,14,84
0,1,1,15,94
0,1,1,16,87
0,1,1,17,96
0,1,1,18,81
0,1,1,19,103
0,1,1,20,102
0,1,1,21,116
0,1,1,22,108
0,1,1,23,111
0,1,1,24,128
0,1,1,25,128
0,1,1,26,116
0,1,1,27,115
0,1,1,28,140
0,1,1,29,143
0,1,1,30,140
0,1,3,1,9
0,1,3,2,12
0,1,3,3,14
0,1,3,4,10
0,1,3,5,38
0,1,3,6,36
0,1,3,7,50
0,1,3,8,33
0,1,3,9,69
0,1,3,10,76
0,1,3,11,80
0,1,3,12,85
0,1,3,13,78
0,1,3,14,80
0,1,3,15,98
0,1,3,16,96
0,1,3,17,86
0,1,3,18,100
0,1,3,19,124
0,1,3,20,111
0,1,3,21,117
0,1,3,22,122
0,1,3,23,113
0,1,3,24,129
0,1,3,25,134
0,1,3,26,132
0,1,3,27,139
0,1,3,28,139
0,1,3,29,138
0,1,3,30,153
0,1,5,1,8
0,1,5,2,12
0,1,5,3,6
0,1,5,4,6
0,1,5,5,37
0,1,5,6,46
0,1,5,7,27
0,1,5,8,46
0,1,5,9,67
0,1,5,10,83
0,1,5,11,79
0,1,5,12,80
0,1,5,13,86
0,1,5,14,93
0,1,5,15,91
0,1,5,16,102
0,1,5,17,105
0,1,5,18,97
0,1,5,19,97
0,1,5,20,97
0,1,5,21,122
0,1,5,22,106
0,1,5,23,123
0,1,5,24,116
0,1,5,25,137
0,1,5,26,126
0,1,5,27,135
0,1,5,28,136
0,1,5,29,135
0,1,5,30,144
0,1,8,1,10
0,1,8,2,6
0,1,8,3,14
0,1,8,4,18
0,1,8,5,39
0,1,8,6,42
0,1,8,7,44
0,1,8,8,42
0,1,8,9,67
0,1,8,10,75
0,1,8,11,73
0,1,8,12,76
0,1,8,13,78
0,1,8,14,87
0,1,8,15,88
0,1,8,16,88
0,1,8,17,102
0,1,8,18,87
0,1,8,19,108
0,1,8,20,108
0,1,8,21,120
0,1,8,22,119
0,1,8,23,125
0,1,8,24,115
0,1,8,25,118
0,1,8,26,131
0,1,8,27,146
0,1,8,28,149
0,1,8,29,159
0,1,8,30,145
0,1,10,1,9
0,1,10,2,11
0,1,10,3,17
0,1,10,4,11
0,1,10,5,37
0,1,10,6,39
0,1,10,7,41
0,1,10,8,45
0,1,10,9,68
0,1,10,10,82
0,1,10,11,80
0,1,10,12,73
0,1,10,13,77
0,1,10,14,104
0,1,10,15,100
0,1,10,16,88
0,1,10,17,102
0,1,10,18,104
0,1,10,19,107
0,1,10,20,113
0,1,10,21,111
0,1,10,22,129
0,1,10,23,116
0,1,10,24,139
0,1,10,25,124
0,1,10,26,141
0,1,10,27,148
0,1,10,28,141
0,1,10,29,145
0,1,10,30,142
0,1,12,1,12
0,1,12,2,17
0,1,12,3,11
0,1,12,4,12
0,1,12,5,51
0,1,12,6,56
0,1,12,7,53
0,1,12,8,41
0,1,12,9,61
0,1,12,10,68
0,1,12,11,73
0,1,12,12,82
0,1,12,13,88
0,1,12,14,78
0,1,12,15,97
0,1,12,16,96
0,1,12,17,104
0,1,12,18,107
0,1,12,19,104
0,1,12,20,111
0,1,12,21,108
0,1,12,22,116
0,1,12,23,138
0,1,12,24,133
0,1,12,25,130
0,1,12,26,136
0,1,12,27,135
0,1,12,28,151
0,1,12,29,154
0,1,12,30,156
0,1,14,1,13
0,1,14,2,12
0,1,14,3,11
0,1,14,4,12
0,1,14,5,38
0,1,14,6,41
0,1,14,7,51
0,1,14,8,50
0,1,14,9,71
0,1,14,10,78
0,1,14,11,82
0,1,14,12,72
0,1,14,13,88
0,1,14,14,90
0,1,14,15,78
0,1,14,16,105
0,1,14,17,90
0,1,14,18,105
0,1,14,19,113
0,1,14,20,109
0,1,14,21,125
0,1,14,22,124
0,1,14,23,118
0,1,14,24,109
0,1,14,25,140
0,1,14,26,119
0,1,14,27,138
0,1,14,28,137
0,1,14,29,153
0,1,14,30,141
0,3,0,1,13
0,3,0,2,15
0,3,0,3,13
0,3,0,4,13
0,3,0,5,18
0,3,0,6,64
0,3,0,7,61
0,3,0,8,49
0,3,0,9,51
0,3,0,10,58
0,3,0,11,100
0,3,0,12,81
0,3,0,13,89
0,3,0,14,102
0,3,0,15,113
0,3,0,16,98
0,3,0,17,96
0,3,0,18,116
0,3,0,19,116
0,3,0,20,113
0,3,0,21,124
0,3,0,22,127
0,3,0,23,113
0,3,0,24,130
0,3,0,25,135
0,3,0,26,146
0,3,0,27,134
0,3,0,28,149
0,3,0,29,163
0,3,0,30,149
0,3,1,1,7
0,3,1,2,12
0,3,1,3,17
0,3,1,4,16
0,3,1,5,12
0,3,1,6,51
0,3,1,7,56
0,3,1,8,54
0,3,1,9,69
0,3,1,10,66
0,3,1,11,93
0,3,1,12,89
0,3,1,13,108
0,3,1,14,106
0,3,1,15,106
0,3,1,16,102
0,3,1,17,99
0,3,1,18,123
0,3,1,19,111
0,3,1,20,102
0,3,1,21,125
0,3,1,22,123
0,3,1,23,121
0,3,1,24,135
0,3,1,25,135
0,3,1,26,133
0,3,1,27,140
0,3,1,28,127
0,3,1,29,135
0,3,1,30,149
0,3,3,1,13
0,3,3,2,17
0,3,3,3,10
0,3,3,4,12
0,3,3,5,60
0,3,3,6,57
0,3,3,7,46
0,3,3,8,77
0,3,3,9,87
0,3,3,10,89
0,3,3,11,97
0,3,3,12,99
0,3,3,13,92
0,3,3,14,88
0,3,3,15,112
0,3,3,16,106
0,3,3,17,113
0,3,3,18,121
0,3,3,19,115
0,3,3,20,123
0,3,3,21,129
0,3,3,22,131
0,3,3,23,143
0,3,3,24,146
0,3,3,25,135
0,3,3,26,149
0,3,3,27,148
0,3,3,28,154
0,3,3,29,152
0,3,3,30,145
0,3,5,1,7
0,3,5,2,15
0,3,5,3,17
0,3,5,4,15
0,3,5,5,55
0,3,5,6,64
0,3,5,7,55
0,3,5,8,55
0,3,5,9,100
0,3,5,10,85
0,3,5,11,98
0,3,5,12,113
0,3,5,13,91
0,3,5,14,99
0,3,5,15,96
0,3,5,16,106
0,3,5,17,106
0,3,5,18,119
0,3,5,19,118
0,3,5,20,113
0,3,5,21,130
0,3,5,22,137
0,3,5,23,132
0,3,5,24,136
0,3,5,25,147
0,3,5,26,143
0,3,5,27,152
