No,A,B,S,C,HP,Win,Frame
854,13,3,5,9,57,1,684
857,13,3,5,9,60,1,474
861,13,3,5,11,53,0,0
859,13,3,5,11,51,1,611
858,13,3,5,11,50,1,619
855,13,3,5,9,58,1,607
862,13,3,5,11,54,1,619
864,13,3,5,11,56,1,629
865,13,3,5,11,57,1,621
866,13,3,5,11,58,2,1242
868,13,3,5,11,60,0,0
863,13,3,5,11,55,0,0
860,13,3,5,11,52,0,0
869,13,3,5,14,50,0,0
867,13,3,5,11,59,1,684
874,13,3,5,14,55,2,1277
870,13,3,5,14,51,1,656
875,13,3,5,14,56,1,591
873,13,3,5,14,54,1,676
871,13,3,5,14,52,1,553
876,13,3,5,14,57,2,1255
877,13,3,5,14,58,2,1199
872,13,3,5,14,53,1,560
880,13,5,5,6,50,0,0
879,13,3,5,14,60,1,587
878,13,3,5,14,59,1,686
881,13,5,5,6,51,1,648
882,13,5,5,6,52,1,641
886,13,5,5,6,56,1,645
883,13,5,5,6,53,0,0
885,13,5,5,6,55,2,1129
887,13,5,5,6,57,0,0
824,13,0,5,11,60,1,564
888,13,5,5,6,58,2,1212
884,13,5,5,6,54,2,1426
893,13,5,5,9,52,1,555
891,13,5,5,9,50,0,0
889,13,5,5,6,59,0,0
890,13,5,5,6,60,1,634
895,13,5,5,9,54,1,605
894,13,5,5,9,53,1,583
892,13,5,5,9,51,0,0
896,13,5,5,9,55,1,622
898,13,5,5,9,57,2,1244
899,13,5,5,9,58,1,769
897,13,5,5,9,56,1,548
900,13,5,5,9,59,1,570
902,13,5,5,11,50,2,1172
901,13,5,5,9,60,1,574
904,13,5,5,11,52,2,1119
903,13,5,5,11,51,2,1271
905,13,5,5,11,53,0,0
906,13,5,5,11,54,1,630
909,13,5,5,11,57,2,1158
907,13,5,5,11,55,0,0
908,13,5,5,11,56,2,1229
910,13,5,5,11,58,1,582
911,13,5,5,11,59,1,579
913,13,5,5,14,50,1,624
912,13,5,5,11,60,2,1262
914,13,5,5,14,51,1,705
916,13,5,5,14,53,2,1144
917,13,5,5,14,54,1,474
915,13,5,5,14,52,1,580
856,13,3,5,9,59,2,1215
919,13,5,5,14,56,1,770
918,13,5,5,14,55,2,1308
920,13,5,5,14,57,2,1130
921,13,5,5,14,58,2,1124
923,13,5,5,14,60,0,0
925,13,8,5,6,51,2,1159
922,13,5,5,14,59,1,594
924,13,8,5,6,50,2,1398
927,13,8,5,6,53,2,1167
926,13,8,5,6,52,0,0
928,13,8,5,6,54,0,0
929,13,8,5,6,55,2,1187
938,13,8,5,9,53,0,0
932,13,8,5,6,58,1,588
930,13,8,5,6,56,2,1278
933,13,8,5,6,59,2,1169
931,13,8,5,6,57,2,1250
935,13,8,5,9,50,2,1138
934,13,8,5,6,60,2,1247
937,13,8,5,9,52,0,0
936,13,8,5,9,51,1,554
940,13,8,5,9,55,2,1264
941,13,8,5,9,56,2,1262
945,13,8,5,9,60,1,545
947,13,8,5,11,51,0,0
942,13,8,5,9,57,1,577
939,13,8,5,9,54,1,680
944,13,8,5,9,59,2,1185
946,13,8,5,11,50,2,1191
950,13,8,5,11,54,0,0
949,13,8,5,11,53,1,592
943,13,8,5,9,58,1,738
948,13,8,5,11,52,1,629
951,13,8,5,11,55,2,1102
952,13,8,5,11,56,2,1419
954,13,8,5,11,58,0,0
953,13,8,5,11,57,1,574
958,13,8,5,14,51,1,605
955,13,8,5,11,59,0,0
956,13,8,5,11,60,2,1350
959,13,8,5,14,52,2,1208
960,13,8,5,14,53,2,1262
963,13,8,5,14,56,1,571
957,13,8,5,14,50,1,738
964,13,8,5,14,57,2,1306
962,13,8,5,14,55,0,0
966,13,8,5,14,59,1,602
961,13,8,5,14,54,2,1365
967,13,8,5,14,60,2,1188
970,13,11,5,6,52,0,0
965,13,8,5,14,58,1,806
968,13,11,5,6,50,1,730
972,13,11,5,6,54,1,658
969,13,11,5,6,51,0,0
971,13,11,5,6,53,2,1326
975,13,11,5,6,57,1,654
974,13,11,5,6,56,2,1107
977,13,11,5,6,59,1,490
973,13,11,5,6,55,2,1295
978,13,11,5,6,60,1,583
979,13,11,5,9,50,1,580
981,13,11,5,9,52,0,0
980,13,11,5,9,51,2,1290
983,13,11,5,9,54,1,585
976,13,11,5,6,58,1,751
985,13,11,5,9,56,2,1155
984,13,11,5,9,55,1,582
982,13,11,5,9,53,1,812
986,13,11,5,9,57,2,1293
987,13,11,5,9,58,2,1223
989,13,11,5,9,60,1,647
988,13,11,5,9,59,2,1474
990,13,11,5,11,50,1,675
992,13,11,5,11,52,1,521
991,13,11,5,11,51,0,0
994,13,11,5,11,54,2,1194
993,13,11,5,11,53,2,1253
998,13,11,5,11,58,1,554
996,13,11,5,11,56,1,592
995,13,11,5,11,55,2,1341
997,13,11,5,11,57,2,1242
1001,13,11,5,14,50,0,0
1000,13,11,5,11,60,2,1234
999,13,11,5,11,59,0,0
1002,13,11,5,14,51,1,592
1003,13,11,5,14,52,0,0
1008,13,11,5,14,57,1,541
1004,13,11,5,14,53,0,0
1005,13,11,5,14,54,1,669
1012,13,13,5,6,50,1,491
1010,13,11,5,14,59,1,583
1007,13,11,5,14,56,1,651
1006,13,11,5,14,55,0,0
1009,13,11,5,14,58,2,1279
1011,13,11,5,14,60,1,643
1014,13,13,5,6,52,0,0
1013,13,13,5,6,51,2,1193
1016,13,13,5,6,54,1,580
1017,13,13,5,6,55,0,0
1022,13,13,5,6,60,0,0
1015,13,13,5,6,53,0,0
1018,13,13,5,6,56,2,1249
1021,13,13,5,6,59,2,1177
1019,13,13,5,6,57,2,1479
1023,13,13,5,9,50,0,0
1024,13,13,5,9,51,1,595
1027,13,13,5,9,54,2,1171
1026,13,13,5,9,53,2,1225
1020,13,13,5,6,58,0,0
1025,13,13,5,9,52,1,597
1029,13,13,5,9,56,2,1130
1030,13,13,5,9,57,1,577
1033,13,13,5,9,60,1,714
1028,13,13,5,9,55,0,0
1031,13,13,5,9,58,1,774
1032,13,13,5,9,59,1,565
1034,13,13,5,11,50,1,593
1036,13,13,5,11,52,2,1023
1035,13,13,5,11,51,1,585
1041,13,13,5,11,57,1,610
1042,13,13,5,11,58,2,1288
1044,13,13,5,11,60,2,1135
1038,13,13,5,11,54,2,1348
1037,13,13,5,11,53,0,0
1043,13,13,5,11,59,2,1266
1039,13,13,5,11,55,1,644
1040,13,13,5,11,56,2,1542
1045,13,13,5,14,50,0,0
1046,13,13,5,14,51,1,544
1047,13,13,5,14,52,1,604
1048,13,13,5,14,53,1,655
1049,13,13,5,14,54,2,1256
1050,13,13,5,14,55,2,1114
1052,13,13,5,14,57,0,0
1051,13,13,5,14,56,2,1447
1053,13,13,5,14,58,2,1213
1057,5,0,5,6,51,1,585
1054,13,13,5,14,59,2,1136
1058,5,0,5,6,52,2,911
1056,5,0,5,6,50,0,0
1060,5,0,5,6,54,1,447
1059,5,0,5,6,53,0,0
1055,13,13,5,14,60,2,1606
1062,5,0,5,6,56,1,429
1063,5,0,5,6,57,1,434
1064,5,0,5,6,58,1,465
1061,5,0,5,6,55,0,0
1065,5,0,5,6,59,1,457
1066,5,0,5,6,60,1,462
1067,5,0,5,9,50,0,0
1068,5,0,5,9,51,0,0
1070,5,0,5,9,53,1,448
1069,5,0,5,9,52,0,0
1071,5,0,5,9,54,2,904
1075,5,0,5,9,58,0,0
1074,5,0,5,9,57,1,474
1073,5,0,5,9,56,1,449
1077,5,0,5,9,60,0,0
1072,5,0,5,9,55,0,0
1078,5,0,5,11,50,0,0
1080,5,0,5,11,52,1,564
1079,5,0,5,11,51,1,460
1081,5,0,5,11,53,1,438
1076,5,0,5,9,59,2,1199
1082,5,0,5,11,54,0,0
1083,5,0,5,11,55,0,0
1085,5,0,5,11,57,1,380
1084,5,0,5,11,56,1,545
1086,5,0,5,11,58,0,0
1091,5,0,5,14,52,0,0
1087,5,0,5,11,59,0,0
1088,5,0,5,11,60,1,415
1089,5,0,5,14,50,0,0
1090,5,0,5,14,51,0,0
1093,5,0,5,14,54,0,0
1092,5,0,5,14,53,0,0
1095,5,0,5,14,56,1,482
1094,5,0,5,14,55,1,496
1096,5,0,5,14,57,2,953
1097,5,0,5,14,58,1,417
1099,5,0,5,14,60,2,852
1098,5,0,5,14,59,1,485
1103,5,3,5,6,53,0,0
1102,5,3,5,6,52,0,0
1100,5,3,5,6,50,0,0
1104,5,3,5,6,54,0,0
1107,5,3,5,6,57,1,457
1101,5,3,5,6,51,1,760
1106,5,3,5,6,56,0,0
1105,5,3,5,6,55,0,0
1110,5,3,5,6,60,0,0
1108,5,3,5,6,58,1,455
1112,5,3,5,9,51,0,0
1109,5,3,5,6,59,0,0
1111,5,3,5,9,50,1,465
1113,5,3,5,9,52,0,0
1118,5,3,5,9,57,1,454
1115,5,3,5,9,54,1,393
1121,5,3,5,9,60,0,0
1116,5,3,5,9,55,0,0
1114,5,3,5,9,53,0,0
1119,5,3,5,9,58,2,837
1117,5,3,5,9,56,0,0
1123,5,3,5,11,51,1,432
1120,5,3,5,9,59,0,0
1122,5,3,5,11,50,0,0
1125,5,3,5,11,53,0,0
1126,5,3,5,11,54,1,394
1124,5,3,5,11,52,0,0
1129,5,3,5,11,57,1,462
1127,5,3,5,11,55,0,0
1131,5,3,5,11,59,0,0
1128,5,3,5,11,56,0,0
1130,5,3,5,11,58,1,484
1135,5,3,5,14,52,0,0
1132,5,3,5,11,60,1,537
1134,5,3,5,14,51,1,460
1136,5,3,5,14,53,0,0
1133,5,3,5,14,50,0,0
1137,5,3,5,14,54,0,0
1139,5,3,5,14,56,1,588
1138,5,3,5,14,55,0,0
1142,5,3,5,14,59,1,505
1141,5,3,5,14,58,2,979
1143,5,3,5,14,60,1,501
1145,5,5,5,6,51,1,548
1144,5,5,5,6,50,0,0
1150,5,5,5,6,56,0,0
1146,5,5,5,6,52,0,0
1147,5,5,5,6,53,0,0
1140,5,3,5,14,57,2,1503
1148,5,5,5,6,54,0,0
1152,5,5,5,6,58,1,441
1149,5,5,5,6,55,0,0
1153,5,5,5,6,59,0,0
1156,5,5,5,9,51,1,530
1151,5,5,5,6,57,0,0
1154,5,5,5,6,60,0,0
1155,5,5,5,9,50,2,1160
1157,5,5,5,9,52,1,569
1160,5,5,5,9,55,1,480
1159,5,5,5,9,54,1,473
1158,5,5,5,9,53,0,0
1164,5,5,5,9,59,1,504
1163,5,5,5,9,58,1,507
1161,5,5,5,9,56,0,0
1162,5,5,5,9,57,1,683
1165,5,5,5,9,60,2,911
1166,5,5,5,11,50,1,430
1167,5,5,5,11,51,2,1007
1168,5,5,5,11,52,1,465
1170,5,5,5,11,54,0,0
1169,5,5,5,11,53,1,529
1173,5,5,5,11,57,1,450
1172,5,5,5,11,56,0,0
1174,5,5,5,11,58,0,0
1171,5,5,5,11,55,0,0
1177,5,5,5,14,50,0,0
1176,5,5,5,11,60,0,0
1175,5,5,5,11,59,0,0
1182,5,5,5,14,55,0,0
1178,5,5,5,14,51,0,0
1179,5,5,5,14,52,0,0
1181,5,5,5,14,54,2,943
1180,5,5,5,14,53,0,0
1184,5,5,5,14,57,1,426
1183,5,5,5,14,56,0,0
1185,5,5,5,14,58,1,456
1188,5,8,5,6,50,1,442
1191,5,8,5,6,53,0,0
1187,5,5,5,14,60,0,0
1186,5,5,5,14,59,1,545
1190,5,8,5,6,52,0,0
1189,5,8,5,6,51,0,0
1196,5,8,5,6,58,1,446
1195,5,8,5,6,57,1,444
1193,5,8,5,6,55,0,0
1194,5,8,5,6,56,0,0
1192,5,8,5,6,54,1,420
1197,5,8,5,6,59,1,453
1198,5,8,5,6,60,1,467
1205,5,8,5,9,56,0,0
1200,5,8,5,9,51,1,721
1199,5,8,5,9,50,1,459
1202,5,8,5,9,53,1,453
1203,5,8,5,9,54,1,556
1204,5,8,5,9,55,0,0
1201,5,8,5,9,52,1,762
1210,5,8,5,11,50,2,880
1206,5,8,5,9,57,1,518
1209,5,8,5,9,60,0,0
1207,5,8,5,9,58,0,0
1214,5,8,5,11,54,0,0
1212,5,8,5,11,52,0,0
1208,5,8,5,9,59,2,1163
1211,5,8,5,11,51,1,491
1213,5,8,5,11,53,1,579
1215,5,8,5,11,55,0,0
1219,5,8,5,11,59,1,451
1220,5,8,5,11,60,1,435
1222,5,8,5,14,51,1,373
1217,5,8,5,11,57,2,1200
1221,5,8,5,14,50,2,942
1218,5,8,5,11,58,0,0
1216,5,8,5,11,56,1,565
1224,5,8,5,14,53,1,537
1223,5,8,5,14,52,0,0
1225,5,8,5,14,54,1,509
1227,5,8,5,14,56,0,0
1228,5,8,5,14,57,1,447
1226,5,8,5,14,55,1,642
1229,5,8,5,14,58,2,1048
1230,5,8,5,14,59,1,465
1231,5,8,5,14,60,2,804
1234,5,11,5,6,52,1,416
1235,5,11,5,6,53,0,0
1233,5,11,5,6,51,0,0
1237,5,11,5,6,55,0,0
1236,5,11,5,6,54,1,489
1238,5,11,5,6,56,1,486
1232,5,11,5,6,50,0,0
1240,5,11,5,6,58,1,469
1245,5,11,5,9,52,1,471
1239,5,11,5,6,57,1,559
1241,5,11,5,6,59,1,437
1244,5,11,5,9,51,0,0
1242,5,11,5,6,60,1,506
1243,5,11,5,9,50,1,531
1246,5,11,5,9,53,1,380
1247,5,11,5,9,54,0,0
1250,5,11,5,9,57,0,0
1248,5,11,5,9,55,0,0
1255,5,11,5,11,51,0,0
1252,5,11,5,9,59,1,451
1249,5,11,5,9,56,1,547
1251,5,11,5,9,58,1,433
1254,5,11,5,11,50,0,0
1256,5,11,5,11,52,0,0
1253,5,11,5,9,60,2,951
1259,5,11,5,11,55,0,0
1258,5,11,5,11,54,1,516
1261,5,11,5,11,57,2,912
1260,5,11,5,11,56,0,0
1257,5,11,5,11,53,1,565
1262,5,11,5,11,58,2,885
1263,5,11,5,11,59,2,1037
1265,5,11,5,14,50,1,460
1264,5,11,5,11,60,2,954
1266,5,11,5,14,51,1,455
1267,5,11,5,14,52,0,0
1268,5,11,5,14,53,0,0
1269,5,11,5,14,54,1,464
1270,5,11,5,14,55,2,1075
1273,5,11,5,14,58,1,506
1277,5,13,5,6,51,1,446
1272,5,11,5,14,57,1,454
1274,5,11,5,14,59,0,0
1276,5,13,5,6,50,1,375
1271,5,11,5,14,56,2,1168
1275,5,11,5,14,60,1,469
1278,5,13,5,6,52,1,463
1280,5,13,5,6,54,1,443
1279,5,13,5,6,53,0,0
1281,5,13,5,6,55,0,0
1283,5,13,5,6,57,2,945
1284,5,13,5,6,58,2,890
1285,5,13,5,6,59,0,0
1289,5,13,5,9,52,0,0
1286,5,13,5,6,60,0,0
1282,5,13,5,6,56,1,757
1288,5,13,5,9,51,1,544
1287,5,13,5,9,50,1,599
1291,5,13,5,9,54,1,484
1290,5,13,5,9,53,1,520
1293,5,13,5,9,56,1,490
1295,5,13,5,9,58,0,0
1294,5,13,5,9,57,1,498
1292,5,13,5,9,55,1,880
1299,5,13,5,11,51,1,443
1296,5,13,5,9,59,2,1069
1300,5,13,5,11,52,0,0
1298,5,13,5,11,50,0,0
1303,5,13,5,11,55,0,0
1297,5,13,5,9,60,1,616
1301,5,13,5,11,53,0,0
1302,5,13,5,11,54,1,437
1305,5,13,5,11,57,2,999
1307,5,13,5,11,59,1,479
1304,5,13,5,11,56,1,623
1309,5,13,5,14,50,0,0
1306,5,13,5,11,58,1,552
1308,5,13,5,11,60,1,529
1315,5,13,5,14,56,0,0
1310,5,13,5,14,51,0,0
1311,5,13,5,14,52,0,0
1316,5,13,5,14,57,1,449
1312,5,13,5,14,53,2,1136
1314,5,13,5,14,55,0,0
1317,5,13,5,14,58,0,0
1318,5,13,5,14,59,2,936
1313,5,13,5,14,54,2,1232
1320,8,0,5,6,50,1,478
1324,8,0,5,6,54,0,0
1322,8,0,5,6,52,1,445
1323,8,0,5,6,53,1,455
1319,5,13,5,14,60,0,0
1326,8,0,5,6,56,1,466
1325,8,0,5,6,55,1,441
1328,8,0,5,6,58,0,0
1321,8,0,5,6,51,2,1318
1327,8,0,5,6,57,0,0
1330,8,0,5,6,60,1,401
1329,8,0,5,6,59,1,537
1331,8,0,5,9,50,0,0
1333,8,0,5,9,52,1,440
1334,8,0,5,9,53,0,0
1332,8,0,5,9,51,0,0
1337,8,0,5,9,56,0,0
1336,8,0,5,9,55,0,0
1338,8,0,5,9,57,2,862
1339,8,0,5,9,58,1,535
1341,8,0,5,9,60,2,855
1343,8,0,5,11,51,2,888
1335,8,0,5,9,54,1,983
1342,8,0,5,11,50,0,0
1345,8,0,5,11,53,1,465
1344,8,0,5,11,52,2,976
1346,8,0,5,11,54,0,0
1350,8,0,5,11,58,1,578
1347,8,0,5,11,55,2,974
1340,8,0,5,9,59,0,0
1349,8,0,5,11,57,1,455
1353,8,0,5,14,50,0,0
1348,8,0,5,11,56,2,1053
1352,8,0,5,11,60,1,468
1351,8,0,5,11,59,1,419
1354,8,0,5,14,51,1,374
1355,8,0,5,14,52,1,421
1356,8,0,5,14,53,1,370
1357,8,0,5,14,54,0,0
1358,8,0,5,14,55,0,0
1359,8,0,5,14,56,0,0
1361,8,0,5,14,58,0,0
1362,8,0,5,14,59,1,420
1364,8,3,5,6,50,0,0
1363,8,0,5,14,60,2,904
1367,8,3,5,6,53,1,469
1360,8,0,5,14,57,2,1274
1365,8,3,5,6,51,0,0
1368,8,3,5,6,54,0,0
1370,8,3,5,6,56,1,384
1369,8,3,5,6,55,1,456
1372,8,3,5,6,58,0,0
1371,8,3,5,6,57,1,477
1373,8,3,5,6,59,1,474
1374,8,3,5,6,60,1,535
1375,8,3,5,9,50,0,0
1377,8,3,5,9,52,1,491
1376,8,3,5,9,51,0,0
1381,8,3,5,9,56,1,443
1378,8,3,5,9,53,0,0
1386,8,3,5,11,50,0,0
1380,8,3,5,9,55,1,467
1382,8,3,5,9,57,0,0
1384,8,3,5,9,59,1,404
1383,8,3,5,9,58,0,0
1387,8,3,5,11,51,0,0
1379,8,3,5,9,54,1,1077
1385,8,3,5,9,60,0,0
1389,8,3,5,11,53,0,0
1388,8,3,5,11,52,0,0
1390,8,3,5,11,54,0,0
1393,8,3,5,11,57,0,0
1391,8,3,5,11,55,0,0
1392,8,3,5,11,56,1,493
1394,8,3,5,11,58,1,515
1396,8,3,5,11,60,1,516
1399,8,3,5,14,52,1,385
1395,8,3,5,11,59,0,0
1397,8,3,5,14,50,0,0
1398,8,3,5,14,51,1,426
1400,8,3,5,14,53,0,0
1403,8,3,5,14,56,0,0
1401,8,3,5,14,54,0,0
1402,8,3,5,14,55,0,0
1404,8,3,5,14,57,1,482
1405,8,3,5,14,58,0,0
1406,8,3,5,14,59,1,443
1409,8,5,5,6,51,0,0
1408,8,5,5,6,50,1,481
1407,8,3,5,14,60,1,662
1411,8,5,5,6,53,0,0
1412,8,5,5,6,54,2,935
1410,8,5,5,6,52,1,457
1415,8,5,5,6,57,0,0
1414,8,5,5,6,56,1,436
1419,8,5,5,9,50,1,431
1417,8,5,5,6,59,1,518
1420,8,5,5,9,51,0,0
1416,8,5,5,6,58,1,546
1413,8,5,5,6,55,2,1209
1421,8,5,5,9,52,1,405
1418,8,5,5,6,60,1,540
1422,8,5,5,9,53,0,0
1423,8,5,5,9,54,0,0
1425,8,5,5,9,56,0,0
1424,8,5,5,9,55,0,0
1432,8,5,5,11,52,1,375
1429,8,5,5,9,60,1,454
1427,8,5,5,9,58,0,0
1428,8,5,5,9,59,0,0
1433,8,5,5,11,53,0,0
1435,8,5,5,11,55,1,427
1426,8,5,5,9,57,1,821
1430,8,5,5,11,50,0,0
1434,8,5,5,11,54,0,0
1431,8,5,5,11,51,0,0
1437,8,5,5,11,57,1,460
1436,8,5,5,11,56,2,1055
1438,8,5,5,11,58,1,512
1442,8,5,5,14,51,0,0
1440,8,5,5,11,60,1,556
1441,8,5,5,14,50,1,525
1444,8,5,5,14,53,0,0
1439,8,5,5,11,59,1,762
1445,8,5,5,14,54,2,958
1443,8,5,5,14,52,0,0
1446,8,5,5,14,55,0,0
1449,8,5,5,14,58,0,0
1447,8,5,5,14,56,0,0
1448,8,5,5,14,57,1,547
1451,8,5,5,14,60,1,500
1366,8,3,5,6,52,0,0
1452,8,8,5,6,50,1,474
1453,8,8,5,6,51,0,0
1450,8,5,5,14,59,0,0
1457,8,8,5,6,55,1,407
1456,8,8,5,6,54,0,0
1459,8,8,5,6,57,0,0
1455,8,8,5,6,53,1,521
1454,8,8,5,6,52,0,0
1458,8,8,5,6,56,2,1039
1460,8,8,5,6,58,1,506
1462,8,8,5,6,60,0,0
1461,8,8,5,6,59,1,462
1463,8,8,5,9,50,0,0
1464,8,8,5,9,51,1,464
1466,8,8,5,9,53,1,482
1469,8,8,5,9,56,1,414
1467,8,8,5,9,54,0,0
1465,8,8,5,9,52,1,552
1468,8,8,5,9,55,0,0
1474,8,8,5,11,50,0,0
1470,8,8,5,9,57,0,0
1471,8,8,5,9,58,1,550
1472,8,8,5,9,59,1,460
1483,8,8,5,11,59,0,0
1476,8,8,5,11,52,0,0
1475,8,8,5,11,51,0,0
1479,8,8,5,11,55,0,0
1481,8,8,5,11,57,1,460
1477,8,8,5,11,53,0,0
1478,8,8,5,11,54,2,1063
1480,8,8,5,11,56,1,680
1482,8,8,5,11,58,0,0
1486,8,8,5,14,51,0,0
1485,8,8,5,14,50,0,0
1487,8,8,5,14,52,0,0
1484,8,8,5,11,60,0,0
1488,8,8,5,14,53,0,0
1473,8,8,5,9,60,2,1902
1490,8,8,5,14,55,1,492
1489,8,8,5,14,54,1,529
1496,8,11,5,6,50,1,468
1492,8,8,5,14,57,0,0
1495,8,8,5,14,60,0,0
1494,8,8,5,14,59,2,1050
1491,8,8,5,14,56,1,451
1497,8,11,5,6,51,0,0
1500,8,11,5,6,54,0,0
1493,8,8,5,14,58,0,0
1502,8,11,5,6,56,1,394
1498,8,11,5,6,52,2,1299
1501,8,11,5,6,55,2,1103
1499,8,11,5,6,53,0,0
1503,8,11,5,6,57,1,454
1504,8,11,5,6,58,1,469
1505,8,11,5,6,59,2,913
1508,8,11,5,9,51,1,438
1512,8,11,5,9,55,1,365
1507,8,11,5,9,50,0,0
1511,8,11,5,9,54,2,826
1509,8,11,5,9,52,0,0
1510,8,11,5,9,53,1,428
1506,8,11,5,6,60,1,634
1513,8,11,5,9,56,1,467
1514,8,11,5,9,57,2,933
1515,8,11,5,9,58,1,551
1516,8,11,5,9,59,2,895
1518,8,11,5,11,50,0,0
1517,8,11,5,9,60,0,0
1519,8,11,5,11,51,2,983
1520,8,11,5,11,52,1,443
1522,8,11,5,11,54,1,367
1523,8,11,5,11,55,0,0
1526,8,11,5,11,58,1,454
1525,8,11,5,11,57,1,476
1527,8,11,5,11,59,1,425
1524,8,11,5,11,56,1,527
1528,8,11,5,11,60,2,1005
1529,8,11,5,14,50,0,0
1521,8,11,5,11,53,1,1011
1530,8,11,5,14,51,2,1105
1531,8,11,5,14,52,1,498
1533,8,11,5,14,54,1,443
1532,8,11,5,14,53,2,1137
1536,8,11,5,14,57,2,844
1534,8,11,5,14,55,1,459
1535,8,11,5,14,56,0,0
1538,8,11,5,14,59,0,0
1537,8,11,5,14,58,1,483
1540,8,13,5,6,50,1,443
1541,8,13,5,6,51,1,396
1539,8,11,5,14,60,2,886
1544,8,13,5,6,54,1,502
1546,8,13,5,6,56,1,424
1542,8,13,5,6,52,1,561
1545,8,13,5,6,55,1,493
1543,8,13,5,6,53,2,1309
1547,8,13,5,6,57,1,710
1551,8,13,5,9,50,1,388
1548,8,13,5,6,58,1,624
1550,8,13,5,6,60,2,900
1554,8,13,5,9,53,1,422
1549,8,13,5,6,59,0,0
1552,8,13,5,9,51,1,456
1556,8,13,5,9,55,1,466
1553,8,13,5,9,52,0,0
1557,8,13,5,9,56,2,1026
1558,8,13,5,9,57,2,1002
1555,8,13,5,9,54,0,0
1559,8,13,5,9,58,0,0
1562,8,13,5,11,50,1,480
1561,8,13,5,9,60,2,1027
1564,8,13,5,11,52,1,381
1565,8,13,5,11,53,1,395
1567,8,13,5,11,55,0,0
1563,8,13,5,11,51,1,659
1560,8,13,5,9,59,1,729
1566,8,13,5,11,54,0,0
1568,8,13,5,11,56,1,494
1569,8,13,5,11,57,1,462
1570,8,13,5,11,58,1,450
1571,8,13,5,11,59,1,517
1573,8,13,5,14,50,1,463
1572,8,13,5,11,60,1,434
1574,8,13,5,14,51,2,1064
1575,8,13,5,14,52,0,0
1577,8,13,5,14,54,0,0
1578,8,13,5,14,55,1,510
1580,8,13,5,14,57,0,0
1579,8,13,5,14,56,0,0
1576,8,13,5,14,53,1,606
1583,8,13,5,14,60,2,1032
1582,8,13,5,14,59,0,0
1584,11,0,5,6,50,1,519
1581,8,13,5,14,58,1,466
1585,11,0,5,6,51,1,499
1586,11,0,5,6,52,2,994
1587,11,0,5,6,53,0,0
1588,11,0,5,6,54,0,0
1590,11,0,5,6,56,1,454
1589,11,0,5,6,55,0,0
1593,11,0,5,6,59,1,434
1592,11,0,5,6,58,1,438
1594,11,0,5,6,60,0,0
1595,11,0,5,9,50,0,0
1591,11,0,5,6,57,0,0
1596,11,0,5,9,51,1,440
1599,11,0,5,9,54,0,0
1600,11,0,5,9,55,0,0
1597,11,0,5,9,52,1,379
1598,11,0,5,9,53,0,0
1602,11,0,5,9,57,1,430
1607,11,0,5,11,51,0,0
1603,11,0,5,9,58,1,497
1605,11,0,5,9,60,0,0
1601,11,0,5,9,56,1,654
1604,11,0,5,9,59,0,0
1606,11,0,5,11,50,0,0
1611,11,0,5,11,55,2,868
1612,11,0,5,11,56,1,357
1610,11,0,5,11,54,2,907
1609,11,0,5,11,53,1,430
1608,11,0,5,11,52,0,0
1613,11,0,5,11,57,2,922
1615,11,0,5,11,59,1,443
1614,11,0,5,11,58,2,1079
1616,11,0,5,11,60,2,970
1620,11,0,5,14,53,0,0
1619,11,0,5,14,52,0,0
1622,11,0,5,14,55,0,0
1617,11,0,5,14,50,0,0
1618,11,0,5,14,51,0,0
1621,11,0,5,14,54,1,523
1623,11,0,5,14,56,0,0
1624,11,0,5,14,57,0,0
1626,11,0,5,14,59,1,372
1628,11,3,5,6,50,0,0
1625,11,0,5,14,58,0,0
1627,11,0,5,14,60,1,545
1629,11,3,5,6,51,1,575
1630,11,3,5,6,52,0,0
1631,11,3,5,6,53,0,0
1634,11,3,5,6,56,0,0
1635,11,3,5,6,57,0,0
1633,11,3,5,6,55,0,0
1632,11,3,5,6,54,1,705
1638,11,3,5,6,60,0,0
1639,11,3,5,9,50,1,425
1640,11,3,5,9,51,0,0
1643,11,3,5,9,54,0,0
1641,11,3,5,9,52,1,453
1642,11,3,5,9,53,0,0
1636,11,3,5,6,58,0,0
1646,11,3,5,9,57,1,402
1644,11,3,5,9,55,0,0
1647,11,3,5,9,58,2,828
1645,11,3,5,9,56,0,0
1648,11,3,5,9,59,1,445
1651,11,3,5,11,51,0,0
1650,11,3,5,11,50,1,458
1652,11,3,5,11,52,1,446
1649,11,3,5,9,60,1,491
1653,11,3,5,11,53,1,459
1654,11,3,5,11,54,0,0
1655,11,3,5,11,55,0,0
1656,11,3,5,11,56,1,455
1657,11,3,5,11,57,0,0
1663,11,3,5,14,52,0,0
1658,11,3,5,11,58,2,902
1661,11,3,5,14,50,0,0
1660,11,3,5,11,60,0,0
1667,11,3,5,14,56,1,441
1662,11,3,5,14,51,1,389
1664,11,3,5,14,53,0,0
1665,11,3,5,14,54,1,438
1659,11,3,5,11,59,0,0
1666,11,3,5,14,55,0,0
1669,11,3,5,14,58,1,423
1668,11,3,5,14,57,1,438
1670,11,3,5,14,59,0,0
1671,11,3,5,14,60,1,489
1672,11,5,5,6,50,1,383
1673,11,5,5,6,51,1,465
1674,11,5,5,6,52,0,0
1675,11,5,5,6,53,1,429
1676,11,5,5,6,54,1,385
1679,11,5,5,6,57,0,0
