No,A,B,S,C,HP,Win,Frame
196,5,11,5,9,59,2,1189
199,5,11,5,11,51,2,1061
195,5,11,5,9,58,0,0
200,5,11,5,11,52,2,1305
197,5,11,5,9,60,2,1393
202,5,11,5,11,54,2,1210
204,5,11,5,11,56,2,1203
201,5,11,5,11,53,1,593
203,5,11,5,11,55,2,1308
205,5,11,5,11,57,2,1234
206,5,11,5,11,58,1,550
207,5,11,5,11,59,2,1141
208,5,11,5,11,60,2,1136
209,5,11,5,14,50,1,618
212,5,11,5,14,53,1,475
210,5,11,5,14,51,0,0
213,5,11,5,14,54,1,593
211,5,11,5,14,52,1,622
217,5,11,5,14,58,1,623
215,5,11,5,14,56,1,711
214,5,11,5,14,55,2,1603
218,5,11,5,14,59,2,1290
216,5,11,5,14,57,0,0
219,5,11,5,14,60,2,1268
220,5,13,5,6,50,1,644
222,5,13,5,6,52,2,1208
221,5,13,5,6,51,1,607
223,5,13,5,6,53,0,0
225,5,13,5,6,55,2,1364
224,5,13,5,6,54,2,1416
230,5,13,5,6,60,1,576
229,5,13,5,6,59,2,1161
228,5,13,5,6,58,2,1234
227,5,13,5,6,57,1,611
234,5,13,5,9,53,0,0
232,5,13,5,9,51,0,0
231,5,13,5,9,50,2,1229
233,5,13,5,9,52,1,639
226,5,13,5,6,56,1,769
237,5,13,5,9,56,1,554
235,5,13,5,9,54,0,0
236,5,13,5,9,55,1,752
239,5,13,5,9,58,1,604
242,5,13,5,11,50,1,623
238,5,13,5,9,57,0,0
240,5,13,5,9,59,2,1149
243,5,13,5,11,51,2,1220
245,5,13,5,11,53,1,561
248,5,13,5,11,56,1,460
246,5,13,5,11,54,2,1215
244,5,13,5,11,52,2,1280
241,5,13,5,9,60,1,572
247,5,13,5,11,55,1,560
186,5,11,5,6,60,1,668
249,5,13,5,11,57,1,615
250,5,13,5,11,58,2,1311
254,5,13,5,14,51,1,574
251,5,13,5,11,59,0,0
252,5,13,5,11,60,2,1364
253,5,13,5,14,50,0,0
256,5,13,5,14,53,2,1127
258,5,13,5,14,55,0,0
198,5,11,5,11,50,1,616
259,5,13,5,14,56,1,824
257,5,13,5,14,54,1,631
262,5,13,5,14,59,1,593
261,5,13,5,14,58,0,0
255,5,13,5,14,52,2,1680
260,5,13,5,14,57,0,0
267,8,0,5,6,53,0,0
269,8,0,5,6,55,0,0
263,5,13,5,14,60,1,615
266,8,0,5,6,52,1,633
264,8,0,5,6,50,0,0
265,8,0,5,6,51,2,1432
268,8,0,5,6,54,2,1151
270,8,0,5,6,56,2,1067
271,8,0,5,6,57,0,0
275,8,0,5,9,50,0,0
272,8,0,5,6,58,2,1238
273,8,0,5,6,59,1,637
274,8,0,5,6,60,1,642
278,8,0,5,9,53,1,600
277,8,0,5,9,52,1,628
276,8,0,5,9,51,1,677
279,8,0,5,9,54,1,602
280,8,0,5,9,55,0,0
283,8,0,5,9,58,2,1145
282,8,0,5,9,57,1,626
281,8,0,5,9,56,1,825
284,8,0,5,9,59,1,739
286,8,0,5,11,50,1,469
285,8,0,5,9,60,1,585
287,8,0,5,11,51,1,615
289,8,0,5,11,53,1,480
288,8,0,5,11,52,1,567
291,8,0,5,11,55,2,1137
293,8,0,5,11,57,2,1207
295,8,0,5,11,59,1,620
292,8,0,5,11,56,1,609
290,8,0,5,11,54,1,662
294,8,0,5,11,58,2,1284
298,8,0,5,14,51,1,601
296,8,0,5,11,60,2,1263
297,8,0,5,14,50,1,682
301,8,0,5,14,54,2,1201
300,8,0,5,14,53,2,1289
299,8,0,5,14,52,1,608
302,8,0,5,14,55,2,1211
304,8,0,5,14,57,2,1264
305,8,0,5,14,58,2,1270
303,8,0,5,14,56,2,1492
308,8,3,5,6,50,0,0
307,8,0,5,14,60,1,585
306,8,0,5,14,59,1,672
310,8,3,5,6,52,2,1145
311,8,3,5,6,53,0,0
309,8,3,5,6,51,1,657
313,8,3,5,6,55,1,617
312,8,3,5,6,54,1,610
315,8,3,5,6,57,2,1234
317,8,3,5,6,59,2,1135
314,8,3,5,6,56,1,625
318,8,3,5,6,60,0,0
316,8,3,5,6,58,1,570
320,8,3,5,9,51,1,575
321,8,3,5,9,52,2,1103
319,8,3,5,9,50,1,562
322,8,3,5,9,53,2,1173
323,8,3,5,9,54,2,1222
326,8,3,5,9,57,1,508
325,8,3,5,9,56,0,0
324,8,3,5,9,55,1,564
330,8,3,5,11,50,1,551
328,8,3,5,9,59,2,1169
331,8,3,5,11,51,1,650
329,8,3,5,9,60,0,0
332,8,3,5,11,52,0,0
334,8,3,5,11,54,2,1057
335,8,3,5,11,55,0,0
333,8,3,5,11,53,0,0
336,8,3,5,11,56,2,1247
337,8,3,5,11,57,2,1135
338,8,3,5,11,58,1,587
339,8,3,5,11,59,1,601
342,8,3,5,14,51,1,574
341,8,3,5,14,50,1,576
340,8,3,5,11,60,0,0
343,8,3,5,14,52,2,1176
344,8,3,5,14,53,1,656
346,8,3,5,14,55,2,1282
345,8,3,5,14,54,1,512
348,8,3,5,14,57,1,631
352,8,5,5,6,50,1,583
347,8,3,5,14,56,2,1329
351,8,3,5,14,60,2,1187
349,8,3,5,14,58,2,1212
350,8,3,5,14,59,0,0
356,8,5,5,6,54,2,1068
353,8,5,5,6,51,1,565
354,8,5,5,6,52,1,601
355,8,5,5,6,53,1,588
357,8,5,5,6,55,2,1276
358,8,5,5,6,56,2,1255
363,8,5,5,9,50,1,562
360,8,5,5,6,58,2,966
361,8,5,5,6,59,1,560
366,8,5,5,9,53,2,1019
362,8,5,5,6,60,2,1419
365,8,5,5,9,52,1,569
364,8,5,5,9,51,1,728
367,8,5,5,9,54,1,622
370,8,5,5,9,57,1,597
359,8,5,5,6,57,0,0
369,8,5,5,9,56,1,597
372,8,5,5,9,59,2,1148
368,8,5,5,9,55,1,718
374,8,5,5,11,50,1,602
371,8,5,5,9,58,1,742
373,8,5,5,9,60,2,1241
375,8,5,5,11,51,1,619
376,8,5,5,11,52,1,622
377,8,5,5,11,53,2,1356
380,8,5,5,11,56,1,526
378,8,5,5,11,54,0,0
379,8,5,5,11,55,0,0
381,8,5,5,11,57,1,613
385,8,5,5,14,50,2,1045
384,8,5,5,11,60,1,557
383,8,5,5,11,59,0,0
382,8,5,5,11,58,1,776
386,8,5,5,14,51,1,564
387,8,5,5,14,52,1,580
389,8,5,5,14,54,1,805
327,8,3,5,9,58,1,458
388,8,5,5,14,53,1,579
390,8,5,5,14,55,1,602
391,8,5,5,14,56,1,660
392,8,5,5,14,57,2,1171
