No,Type,A,B,S,C,HP,Win,Frame
176,0,5,11,5,6,50,1,548
173,0,5,8,5,14,58,2,1321
174,0,5,8,5,14,59,0,0
177,0,5,11,5,6,51,1,827
179,0,5,11,5,6,53,2,1229
182,0,5,11,5,6,56,1,590
181,0,5,11,5,6,55,2,1388
180,0,5,11,5,6,54,0,0
183,0,5,11,5,6,57,1,612
178,0,5,11,5,6,52,1,588
184,0,5,11,5,6,58,1,585
186,0,5,11,5,6,60,2,1263
185,0,5,11,5,6,59,0,0
188,0,5,11,5,9,51,1,574
190,0,5,11,5,9,53,0,0
189,0,5,11,5,9,52,2,1345
187,0,5,11,5,9,50,1,568
191,0,5,11,5,9,54,1,638
192,0,5,11,5,9,55,2,1191
194,0,5,11,5,9,57,1,560
193,0,5,11,5,9,56,1,707
129,0,5,5,5,14,58,2,1218
195,0,5,11,5,9,58,1,698
197,0,5,11,5,9,60,2,1145
196,0,5,11,5,9,59,1,680
198,0,5,11,5,11,50,0,0
199,0,5,11,5,11,51,1,538
201,0,5,11,5,11,53,1,589
203,0,5,11,5,11,55,2,1058
200,0,5,11,5,11,52,0,0
202,0,5,11,5,11,54,1,489
206,0,5,11,5,11,58,2,1180
204,0,5,11,5,11,56,1,594
205,0,5,11,5,11,57,2,1251
207,0,5,11,5,11,59,1,594
211,0,5,11,5,14,52,1,583
208,0,5,11,5,11,60,2,1140
209,0,5,11,5,14,50,1,743
214,0,5,11,5,14,55,0,0
212,0,5,11,5,14,53,2,1338
215,0,5,11,5,14,56,2,1229
210,0,5,11,5,14,51,0,0
219,0,5,11,5,14,60,1,611
213,0,5,11,5,14,54,2,1444
217,0,5,11,5,14,58,2,1228
218,0,5,11,5,14,59,2,1277
222,0,5,13,5,6,52,0,0
221,0,5,13,5,6,51,1,585
216,0,5,11,5,14,57,1,587
225,0,5,13,5,6,55,1,589
223,0,5,13,5,6,53,1,648
220,0,5,13,5,6,50,1,630
224,0,5,13,5,6,54,1,617
231,0,5,13,5,9,50,0,0
226,0,5,13,5,6,56,2,1195
232,0,5,13,5,9,51,1,605
229,0,5,13,5,6,59,2,1175
228,0,5,13,5,6,58,1,630
233,0,5,13,5,9,52,1,574
230,0,5,13,5,6,60,2,1276
227,0,5,13,5,6,57,0,0
234,0,5,13,5,9,53,1,637
236,0,5,13,5,9,55,1,478
241,0,5,13,5,9,60,1,531
237,0,5,13,5,9,56,2,1143
238,0,5,13,5,9,57,0,0
235,0,5,13,5,9,54,1,630
240,0,5,13,5,9,59,1,641
239,0,5,13,5,9,58,1,604
242,0,5,13,5,11,50,2,1163
243,0,5,13,5,11,51,1,581
248,0,5,13,5,11,56,2,1096
247,0,5,13,5,11,55,2,1169
245,0,5,13,5,11,53,1,702
244,0,5,13,5,11,52,0,0
246,0,5,13,5,11,54,1,626
255,0,5,13,5,14,52,1,633
249,0,5,13,5,11,57,2,1205
252,0,5,13,5,11,60,2,1099
250,0,5,13,5,11,58,1,664
251,0,5,13,5,11,59,1,638
254,0,5,13,5,14,51,0,0
253,0,5,13,5,14,50,1,616
256,0,5,13,5,14,53,2,1345
257,0,5,13,5,14,54,2,1128
258,0,5,13,5,14,55,0,0
259,0,5,13,5,14,56,2,1201
260,0,5,13,5,14,57,1,578
261,0,5,13,5,14,58,0,0
262,0,5,13,5,14,59,2,1156
268,0,8,0,5,6,54,2,1175
264,0,8,0,5,6,50,2,1161
266,0,8,0,5,6,52,1,630
263,0,5,13,5,14,60,0,0
269,0,8,0,5,6,55,1,569
267,0,8,0,5,6,53,2,1271
265,0,8,0,5,6,51,0,0
270,0,8,0,5,6,56,1,782
274,0,8,0,5,6,60,2,1343
273,0,8,0,5,6,59,1,577
272,0,8,0,5,6,58,1,647
271,0,8,0,5,6,57,0,0
282,0,8,0,5,9,57,1,530
275,0,8,0,5,9,50,1,472
276,0,8,0,5,9,51,2,1230
278,0,8,0,5,9,53,2,1234
277,0,8,0,5,9,52,0,0
279,0,8,0,5,9,54,1,643
280,0,8,0,5,9,55,1,476
283,0,8,0,5,9,58,1,764
281,0,8,0,5,9,56,1,637
284,0,8,0,5,9,59,1,563
285,0,8,0,5,9,60,0,0
287,0,8,0,5,11,51,1,582
286,0,8,0,5,11,50,0,0
288,0,8,0,5,11,52,2,1212
289,0,8,0,5,11,53,2,1222
290,0,8,0,5,11,54,1,567
293,0,8,0,5,11,57,1,576
291,0,8,0,5,11,55,0,0
294,0,8,0,5,11,58,1,590
298,0,8,0,5,14,51,1,656
295,0,8,0,5,11,59,2,1249
292,0,8,0,5,11,56,1,695
299,0,8,0,5,14,52,1,453
296,0,8,0,5,11,60,1,636
300,0,8,0,5,14,53,1,593
297,0,8,0,5,14,50,0,0
305,0,8,0,5,14,58,1,604
301,0,8,0,5,14,54,2,1341
302,0,8,0,5,14,55,2,1212
306,0,8,0,5,14,59,2,1133
303,0,8,0,5,14,56,0,0
313,0,8,3,5,6,55,1,491
304,0,8,0,5,14,57,0,0
307,0,8,0,5,14,60,2,1141
308,0,8,3,5,6,50,2,1164
309,0,8,3,5,6,51,2,1305
310,0,8,3,5,6,52,2,1227
312,0,8,3,5,6,54,0,0
314,0,8,3,5,6,56,1,493
311,0,8,3,5,6,53,1,738
315,0,8,3,5,6,57,1,613
320,0,8,3,5,9,51,1,565
316,0,8,3,5,6,58,0,0
319,0,8,3,5,9,50,1,602
318,0,8,3,5,6,60,1,651
317,0,8,3,5,6,59,2,1395
321,0,8,3,5,9,52,1,627
323,0,8,3,5,9,54,2,1279
322,0,8,3,5,9,53,2,1163
324,0,8,3,5,9,55,0,0
326,0,8,3,5,9,57,1,639
327,0,8,3,5,9,58,1,613
325,0,8,3,5,9,56,2,1305
328,0,8,3,5,9,59,1,611
331,0,8,3,5,11,51,1,596
330,0,8,3,5,11,50,1,572
329,0,8,3,5,9,60,0,0
334,0,8,3,5,11,54,1,589
336,0,8,3,5,11,56,2,1040
335,0,8,3,5,11,55,2,1074
332,0,8,3,5,11,52,2,1201
333,0,8,3,5,11,53,2,1161
339,0,8,3,5,11,59,2,1137
338,0,8,3,5,11,58,2,1174
340,0,8,3,5,11,60,2,1218
337,0,8,3,5,11,57,1,537
341,0,8,3,5,14,50,0,0
343,0,8,3,5,14,52,1,671
342,0,8,3,5,14,51,0,0
346,0,8,3,5,14,55,1,570
347,0,8,3,5,14,56,1,607
344,0,8,3,5,14,53,1,639
352,0,8,5,5,6,50,2,1240
348,0,8,3,5,14,57,1,588
349,0,8,3,5,14,58,2,1339
350,0,8,3,5,14,59,2,1320
351,0,8,3,5,14,60,1,585
354,0,8,5,5,6,52,2,1163
353,0,8,5,5,6,51,1,652
345,0,8,3,5,14,54,0,0
355,0,8,5,5,6,53,2,1297
358,0,8,5,5,6,56,2,1076
356,0,8,5,5,6,54,1,617
359,0,8,5,5,6,57,2,1176
357,0,8,5,5,6,55,0,0
362,0,8,5,5,6,60,2,1187
361,0,8,5,5,6,59,1,576
360,0,8,5,5,6,58,1,551
364,0,8,5,5,9,51,0,0
363,0,8,5,5,9,50,2,1217
367,0,8,5,5,9,54,1,607
368,0,8,5,5,9,55,2,1213
374,0,8,5,5,11,50,0,0
365,0,8,5,5,9,52,1,562
369,0,8,5,5,9,56,2,1230
373,0,8,5,5,9,60,2,1124
371,0,8,5,5,9,58,2,1187
366,0,8,5,5,9,53,0,0
372,0,8,5,5,9,59,2,1273
370,0,8,5,5,9,57,1,933
377,0,8,5,5,11,53,1,556
375,0,8,5,5,11,51,1,636
376,0,8,5,5,11,52,2,1275
378,0,8,5,5,11,54,1,754
382,0,8,5,5,11,58,1,602
379,0,8,5,5,11,55,1,725
380,0,8,5,5,11,56,2,1191
385,0,8,5,5,14,50,2,1141
383,0,8,5,5,11,59,2,1291
384,0,8,5,5,11,60,2,1276
381,0,8,5,5,11,57,0,0
387,0,8,5,5,14,52,0,0
386,0,8,5,5,14,51,1,626
388,0,8,5,5,14,53,2,1231
391,0,8,5,5,14,56,1,446
392,0,8,5,5,14,57,2,1414
389,0,8,5,5,14,54,1,515
390,0,8,5,5,14,55,0,0
398,0,8,8,5,6,52,1,592
393,0,8,5,5,14,58,2,1265
394,0,8,5,5,14,59,2,1175
397,0,8,8,5,6,51,1,624
395,0,8,5,5,14,60,1,558
401,0,8,8,5,6,55,1,479
396,0,8,8,5,6,50,1,634
400,0,8,8,5,6,54,1,760
403,0,8,8,5,6,57,1,546
404,0,8,8,5,6,58,1,579
399,0,8,8,5,6,53,1,778
402,0,8,8,5,6,56,1,530
408,0,8,8,5,9,51,0,0
405,0,8,8,5,6,59,0,0
410,0,8,8,5,9,53,1,556
406,0,8,8,5,6,60,2,1203
407,0,8,8,5,9,50,2,1152
414,0,8,8,5,9,57,0,0
409,0,8,8,5,9,52,2,1351
411,0,8,8,5,9,54,2,1157
413,0,8,8,5,9,56,2,1188
415,0,8,8,5,9,58,2,1385
417,0,8,8,5,9,60,1,646
412,0,8,8,5,9,55,1,665
416,0,8,8,5,9,59,2,1259
420,0,8,8,5,11,52,0,0
418,0,8,8,5,11,50,0,0
419,0,8,8,5,11,51,1,610
422,0,8,8,5,11,54,0,0
424,0,8,8,5,11,56,2,1185
421,0,8,8,5,11,53,1,619
423,0,8,8,5,11,55,2,1428
426,0,8,8,5,11,58,2,1123
425,0,8,8,5,11,57,2,1473
429,0,8,8,5,14,50,1,492
427,0,8,8,5,11,59,1,663
428,0,8,8,5,11,60,1,570
432,0,8,8,5,14,53,1,529
430,0,8,8,5,14,51,1,563
431,0,8,8,5,14,52,2,1253
435,0,8,8,5,14,56,1,587
433,0,8,8,5,14,54,1,596
434,0,8,8,5,14,55,1,581
436,0,8,8,5,14,57,2,1172
439,0,8,8,5,14,60,1,580
444,0,8,11,5,6,54,0,0
440,0,8,11,5,6,50,1,489
438,0,8,8,5,14,59,1,614
437,0,8,8,5,14,58,1,609
443,0,8,11,5,6,53,1,580
441,0,8,11,5,6,51,2,1256
442,0,8,11,5,6,52,1,607
445,0,8,11,5,6,55,1,556
446,0,8,11,5,6,56,1,612
448,0,8,11,5,6,58,0,0
447,0,8,11,5,6,57,2,1298
451,0,8,11,5,9,50,1,579
449,0,8,11,5,6,59,1,730
450,0,8,11,5,6,60,1,646
452,0,8,11,5,9,51,2,1169
454,0,8,11,5,9,53,1,603
453,0,8,11,5,9,52,2,1407
455,0,8,11,5,9,54,2,1236
458,0,8,11,5,9,57,2,1208
456,0,8,11,5,9,55,2,1496
457,0,8,11,5,9,56,2,1515
460,0,8,11,5,9,59,2,1203
461,0,8,11,5,9,60,2,1036
459,0,8,11,5,9,58,1,647
