No,Type,A,B,S,C,HP,Win,Frame
758,0,11,13,5,6,60,1,548
754,0,11,13,5,6,56,2,1358
755,0,11,13,5,6,57,1,653
760,0,11,13,5,9,51,2,1091
756,0,11,13,5,6,58,1,835
761,0,11,13,5,9,52,0,0
762,0,11,13,5,9,53,0,0
764,0,11,13,5,9,55,1,598
765,0,11,13,5,9,56,1,608
766,0,11,13,5,9,57,2,1165
763,0,11,13,5,9,54,2,1335
768,0,11,13,5,9,59,2,1242
769,0,11,13,5,9,60,2,1136
771,0,11,13,5,11,51,0,0
767,0,11,13,5,9,58,1,632
770,0,11,13,5,11,50,1,659
775,0,11,13,5,11,55,1,604
772,0,11,13,5,11,52,2,1362
773,0,11,13,5,11,53,1,599
777,0,11,13,5,11,57,0,0
774,0,11,13,5,11,54,1,578
776,0,11,13,5,11,56,0,0
778,0,11,13,5,11,58,1,592
779,0,11,13,5,11,59,1,560
780,0,11,13,5,11,60,2,1241
782,0,11,13,5,14,51,2,1041
785,0,11,13,5,14,54,1,579
781,0,11,13,5,14,50,1,646
792,0,13,0,5,6,50,0,0
783,0,11,13,5,14,52,0,0
784,0,11,13,5,14,53,1,572
786,0,11,13,5,14,55,2,1110
787,0,11,13,5,14,56,0,0
788,0,11,13,5,14,57,0,0
790,0,11,13,5,14,59,2,1194
789,0,11,13,5,14,58,1,620
793,0,13,0,5,6,51,1,563
794,0,13,0,5,6,52,1,628
796,0,13,0,5,6,54,1,596
795,0,13,0,5,6,53,0,0
797,0,13,0,5,6,55,2,1163
799,0,13,0,5,6,57,2,1075
791,0,11,13,5,14,60,0,0
798,0,13,0,5,6,56,2,1205
800,0,13,0,5,6,58,1,576
802,0,13,0,5,6,60,1,604
805,0,13,0,5,9,52,0,0
801,0,13,0,5,6,59,2,1286
803,0,13,0,5,9,50,1,640
804,0,13,0,5,9,51,1,669
806,0,13,0,5,9,53,2,1152
807,0,13,0,5,9,54,1,609
808,0,13,0,5,9,55,2,1181
809,0,13,0,5,9,56,2,1130
810,0,13,0,5,9,57,1,604
812,0,13,0,5,9,59,2,1125
811,0,13,0,5,9,58,2,1295
814,0,13,0,5,11,50,1,594
815,0,13,0,5,11,51,1,598
816,0,13,0,5,11,52,0,0
813,0,13,0,5,9,60,1,885
819,0,13,0,5,11,55,2,1132
817,0,13,0,5,11,53,1,598
821,0,13,0,5,11,57,1,645
818,0,13,0,5,11,54,2,1273
822,0,13,0,5,11,58,1,568
823,0,13,0,5,11,59,2,1280
825,0,13,0,5,14,50,1,650
824,0,13,0,5,11,60,2,1424
820,0,13,0,5,11,56,1,659
826,0,13,0,5,14,51,2,1161
827,0,13,0,5,14,52,1,593
830,0,13,0,5,14,55,2,1212
828,0,13,0,5,14,53,0,0
829,0,13,0,5,14,54,2,1307
831,0,13,0,5,14,56,2,1082
832,0,13,0,5,14,57,1,628
834,0,13,0,5,14,59,2,1177
833,0,13,0,5,14,58,1,558
835,0,13,0,5,14,60,1,617
836,0,13,3,5,6,50,0,0
841,0,13,3,5,6,55,1,603
839,0,13,3,5,6,53,2,1171
838,0,13,3,5,6,52,1,675
840,0,13,3,5,6,54,1,638
837,0,13,3,5,6,51,1,858
844,0,13,3,5,6,58,1,626
847,0,13,3,5,9,50,1,589
843,0,13,3,5,6,57,1,636
846,0,13,3,5,6,60,2,1294
848,0,13,3,5,9,51,1,578
842,0,13,3,5,6,56,1,662
845,0,13,3,5,6,59,1,714
849,0,13,3,5,9,52,2,1015
851,0,13,3,5,9,54,2,1121
850,0,13,3,5,9,53,1,640
852,0,13,3,5,9,55,2,1156
853,0,13,3,5,9,56,2,1172
854,0,13,3,5,9,57,2,1165
857,0,13,3,5,9,60,2,1162
858,0,13,3,5,11,50,1,544
859,0,13,3,5,11,51,1,649
856,0,13,3,5,9,59,2,1175
855,0,13,3,5,9,58,2,1310
866,0,13,3,5,11,58,1,585
861,0,13,3,5,11,53,2,1188
860,0,13,3,5,11,52,1,597
863,0,13,3,5,11,55,1,570
862,0,13,3,5,11,54,1,643
864,0,13,3,5,11,56,2,1151
865,0,13,3,5,11,57,1,590
874,0,13,3,5,14,55,0,0
867,0,13,3,5,11,59,2,1246
868,0,13,3,5,11,60,2,1195
869,0,13,3,5,14,50,1,743
870,0,13,3,5,14,51,0,0
871,0,13,3,5,14,52,2,1342
875,0,13,3,5,14,56,1,565
873,0,13,3,5,14,54,1,559
876,0,13,3,5,14,57,0,0
872,0,13,3,5,14,53,0,0
877,0,13,3,5,14,58,1,582
878,0,13,3,5,14,59,1,661
882,0,13,5,5,6,52,1,607
880,0,13,5,5,6,50,1,571
881,0,13,5,5,6,51,2,1226
879,0,13,3,5,14,60,2,1332
883,0,13,5,5,6,53,2,1255
884,0,13,5,5,6,54,1,588
885,0,13,5,5,6,55,1,551
887,0,13,5,5,6,57,2,1217
888,0,13,5,5,6,58,1,745
891,0,13,5,5,9,50,2,1100
889,0,13,5,5,6,59,1,506
886,0,13,5,5,6,56,0,0
890,0,13,5,5,6,60,2,1269
892,0,13,5,5,9,51,2,1207
894,0,13,5,5,9,53,2,1127
896,0,13,5,5,9,55,1,678
898,0,13,5,5,9,57,2,1079
895,0,13,5,5,9,54,1,571
897,0,13,5,5,9,56,1,569
893,0,13,5,5,9,52,1,667
899,0,13,5,5,9,58,2,1205
900,0,13,5,5,9,59,0,0
903,0,13,5,5,11,51,1,459
902,0,13,5,5,11,50,1,671
904,0,13,5,5,11,52,2,1194
906,0,13,5,5,11,54,2,1209
905,0,13,5,5,11,53,1,579
901,0,13,5,5,9,60,1,868
914,0,13,5,5,14,51,0,0
908,0,13,5,5,11,56,2,1218
913,0,13,5,5,14,50,1,624
911,0,13,5,5,11,59,2,1047
910,0,13,5,5,11,58,2,1203
909,0,13,5,5,11,57,0,0
907,0,13,5,5,11,55,0,0
915,0,13,5,5,14,52,0,0
919,0,13,5,5,14,56,1,606
921,0,13,5,5,14,58,1,656
912,0,13,5,5,11,60,0,0
916,0,13,5,5,14,53,0,0
923,0,13,5,5,14,60,0,0
917,0,13,5,5,14,54,1,659
920,0,13,5,5,14,57,1,597
929,0,13,8,5,6,55,0,0
924,0,13,8,5,6,50,1,570
922,0,13,5,5,14,59,1,849
926,0,13,8,5,6,52,1,526
918,0,13,5,5,14,55,1,916
925,0,13,8,5,6,51,1,623
927,0,13,8,5,6,53,1,579
933,0,13,8,5,6,59,1,573
930,0,13,8,5,6,56,1,607
928,0,13,8,5,6,54,1,782
932,0,13,8,5,6,58,1,553
931,0,13,8,5,6,57,1,602
936,0,13,8,5,9,51,2,1147
934,0,13,8,5,6,60,1,614
935,0,13,8,5,9,50,0,0
937,0,13,8,5,9,52,2,1187
939,0,13,8,5,9,54,1,608
938,0,13,8,5,9,53,2,1276
941,0,13,8,5,9,56,1,708
942,0,13,8,5,9,57,1,615
940,0,13,8,5,9,55,1,735
947,0,13,8,5,11,51,1,565
943,0,13,8,5,9,58,1,630
944,0,13,8,5,9,59,1,573
948,0,13,8,5,11,52,0,0
946,0,13,8,5,11,50,2,1280
945,0,13,8,5,9,60,1,964
949,0,13,8,5,11,53,1,653
951,0,13,8,5,11,55,2,1228
954,0,13,8,5,11,58,1,644
950,0,13,8,5,11,54,1,561
952,0,13,8,5,11,56,1,627
953,0,13,8,5,11,57,1,611
957,0,13,8,5,14,50,2,1046
956,0,13,8,5,11,60,1,585
955,0,13,8,5,11,59,1,638
958,0,13,8,5,14,51,1,645
959,0,13,8,5,14,52,2,1162
962,0,13,8,5,14,55,1,496
960,0,13,8,5,14,53,1,776
963,0,13,8,5,14,56,1,659
961,0,13,8,5,14,54,0,0
965,0,13,8,5,14,58,1,587
968,0,13,11,5,6,50,2,1116
964,0,13,8,5,14,57,1,570
967,0,13,8,5,14,60,0,0
966,0,13,8,5,14,59,1,579
969,0,13,11,5,6,51,2,1272
970,0,13,11,5,6,52,1,588
971,0,13,11,5,6,53,1,577
972,0,13,11,5,6,54,2,1143
975,0,13,11,5,6,57,2,1097
974,0,13,11,5,6,56,2,1238
976,0,13,11,5,6,58,1,607
977,0,13,11,5,6,59,2,1191
973,0,13,11,5,6,55,1,894
980,0,13,11,5,9,51,2,1021
979,0,13,11,5,9,50,2,1136
982,0,13,11,5,9,53,1,613
978,0,13,11,5,6,60,1,599
984,0,13,11,5,9,55,2,1209
983,0,13,11,5,9,54,1,770
981,0,13,11,5,9,52,1,624
985,0,13,11,5,9,56,2,1202
988,0,13,11,5,9,59,2,1198
987,0,13,11,5,9,58,2,1217
986,0,13,11,5,9,57,1,583
989,0,13,11,5,9,60,1,598
991,0,13,11,5,11,51,1,570
990,0,13,11,5,11,50,1,561
993,0,13,11,5,11,53,1,562
994,0,13,11,5,11,54,1,619
992,0,13,11,5,11,52,2,1339
995,0,13,11,5,11,55,2,1265
996,0,13,11,5,11,56,1,608
1000,0,13,11,5,11,60,2,1177
998,0,13,11,5,11,58,1,598
997,0,13,11,5,11,57,1,629
1001,0,13,11,5,14,50,2,1154
1005,0,13,11,5,14,54,1,475
1003,0,13,11,5,14,52,2,1120
999,0,13,11,5,11,59,1,638
1002,0,13,11,5,14,51,2,1239
1006,0,13,11,5,14,55,1,621
1004,0,13,11,5,14,53,1,616
1007,0,13,11,5,14,56,1,722
1008,0,13,11,5,14,57,2,1190
1010,0,13,11,5,14,59,2,1196
1011,0,13,11,5,14,60,1,638
1009,0,13,11,5,14,58,1,557
1012,0,13,13,5,6,50,1,673
1013,0,13,13,5,6,51,1,755
1014,0,13,13,5,6,52,1,665
1018,0,13,13,5,6,56,2,1066
1019,0,13,13,5,6,57,2,1187
1015,0,13,13,5,6,53,2,1455
1016,0,13,13,5,6,54,1,580
1021,0,13,13,5,6,59,2,1164
1022,0,13,13,5,6,60,1,485
1017,0,13,13,5,6,55,1,805
1020,0,13,13,5,6,58,1,609
1024,0,13,13,5,9,51,0,0
1023,0,13,13,5,9,50,1,542
1025,0,13,13,5,9,52,2,1208
1026,0,13,13,5,9,53,0,0
1028,0,13,13,5,9,55,1,541
1031,0,13,13,5,9,58,2,1256
1029,0,13,13,5,9,56,2,1328
1027,0,13,13,5,9,54,1,713
1030,0,13,13,5,9,57,1,583
1034,0,13,13,5,11,50,0,0
1033,0,13,13,5,9,60,1,645
1032,0,13,13,5,9,59,1,630
1036,0,13,13,5,11,52,2,1199
1035,0,13,13,5,11,51,0,0
1038,0,13,13,5,11,54,2,1197
1039,0,13,13,5,11,55,2,1205
1037,0,13,13,5,11,53,2,1278
1041,0,13,13,5,11,57,1,594
1042,0,13,13,5,11,58,2,1211
1044,0,13,13,5,11,60,1,622
1043,0,13,13,5,11,59,1,527
1040,0,13,13,5,11,56,0,0
1047,0,13,13,5,14,52,1,595
1046,0,13,13,5,14,51,2,1224
1045,0,13,13,5,14,50,1,717
1049,0,13,13,5,14,54,2,1143
1051,0,13,13,5,14,56,0,0
1050,0,13,13,5,14,55,2,1215
1048,0,13,13,5,14,53,2,1339
1053,0,13,13,5,14,58,1,619
1055,0,13,13,5,14,60,2,1158
1052,0,13,13,5,14,57,1,657
1054,0,13,13,5,14,59,1,644
1056,1,5,0,5,6,50,0,0
1059,1,5,0,5,6,53,0,0
1057,1,5,0,5,6,51,0,0
1058,1,5,0,5,6,52,0,0
1060,1,5,0,5,6,54,1,441
1067,1,5,0,5,9,50,0,0
1061,1,5,0,5,6,55,1,595
1062,1,5,0,5,6,56,1,458
1065,1,5,0,5,6,59,0,0
1066,1,5,0,5,6,60,0,0
1063,1,5,0,5,6,57,2,1048
1070,1,5,0,5,9,53,1,432
1068,1,5,0,5,9,51,0,0
1069,1,5,0,5,9,52,1,571
1072,1,5,0,5,9,55,1,470
1071,1,5,0,5,9,54,1,533
1073,1,5,0,5,9,56,1,435
1064,1,5,0,5,6,58,1,715
1074,1,5,0,5,9,57,1,396
1076,1,5,0,5,9,59,2,872
1075,1,5,0,5,9,58,0,0
1078,1,5,0,5,11,50,1,590
1080,1,5,0,5,11,52,1,435
1082,1,5,0,5,11,54,1,488
1084,1,5,0,5,11,56,0,0
1077,1,5,0,5,9,60,0,0
1079,1,5,0,5,11,51,1,529
1081,1,5,0,5,11,53,0,0
1083,1,5,0,5,11,55,0,0
1087,1,5,0,5,11,59,0,0
1085,1,5,0,5,11,57,1,481
1088,1,5,0,5,11,60,1,453
1089,1,5,0,5,14,50,0,0
1090,1,5,0,5,14,51,0,0
1086,1,5,0,5,11,58,0,0
1092,1,5,0,5,14,53,0,0
1095,1,5,0,5,14,56,1,472
1091,1,5,0,5,14,52,0,0
1093,1,5,0,5,14,54,0,0
1097,1,5,0,5,14,58,0,0
1096,1,5,0,5,14,57,1,434
1098,1,5,0,5,14,59,0,0
1094,1,5,0,5,14,55,0,0
1099,1,5,0,5,14,60,0,0
1100,1,5,3,5,6,50,1,495
1104,1,5,3,5,6,54,0,0
1101,1,5,3,5,6,51,0,0
1102,1,5,3,5,6,52,0,0
1103,1,5,3,5,6,53,0,0
1106,1,5,3,5,6,56,1,469
1105,1,5,3,5,6,55,0,0
1107,1,5,3,5,6,57,1,366
1108,1,5,3,5,6,58,0,0
1112,1,5,3,5,9,51,0,0
1110,1,5,3,5,6,60,0,0
1109,1,5,3,5,6,59,1,522
1111,1,5,3,5,9,50,1,516
1115,1,5,3,5,9,54,0,0
1114,1,5,3,5,9,53,0,0
1116,1,5,3,5,9,55,0,0
1120,1,5,3,5,9,59,1,465
1119,1,5,3,5,9,58,1,437
1117,1,5,3,5,9,56,0,0
1121,1,5,3,5,9,60,2,996
1122,1,5,3,5,11,50,0,0
1113,1,5,3,5,9,52,2,1363
1118,1,5,3,5,9,57,0,0
1123,1,5,3,5,11,51,0,0
1124,1,5,3,5,11,52,0,0
1125,1,5,3,5,11,53,2,991
1126,1,5,3,5,11,54,0,0
1127,1,5,3,5,11,55,0,0
1128,1,5,3,5,11,56,1,469
1130,1,5,3,5,11,58,1,453
1129,1,5,3,5,11,57,0,0
1131,1,5,3,5,11,59,1,420
1134,1,5,3,5,14,51,0,0
1137,1,5,3,5,14,54,0,0
1135,1,5,3,5,14,52,0,0
1132,1,5,3,5,11,60,2,1079
1133,1,5,3,5,14,50,2,1052
1138,1,5,3,5,14,55,2,965
1139,1,5,3,5,14,56,0,0
1136,1,5,3,5,14,53,0,0
1141,1,5,3,5,14,58,0,0
1151,1,5,5,5,6,57,0,0
1144,1,5,5,5,6,50,0,0
1140,1,5,3,5,14,57,1,616
1149,1,5,5,5,6,55,0,0
1145,1,5,5,5,6,51,0,0
1142,1,5,3,5,14,59,2,1015
1146,1,5,5,5,6,52,1,442
1143,1,5,3,5,14,60,1,665
1147,1,5,5,5,6,53,1,437
1148,1,5,5,5,6,54,1,483
1150,1,5,5,5,6,56,0,0
1152,1,5,5,5,6,58,0,0
1153,1,5,5,5,6,59,1,596
1155,1,5,5,5,9,50,1,436
1154,1,5,5,5,6,60,1,508
1158,1,5,5,5,9,53,1,619
1157,1,5,5,5,9,52,0,0
1156,1,5,5,5,9,51,0,0
1159,1,5,5,5,9,54,0,0
1168,1,5,5,5,11,52,0,0
1160,1,5,5,5,9,55,1,525
1161,1,5,5,5,9,56,1,439
1163,1,5,5,5,9,58,1,431
1162,1,5,5,5,9,57,0,0
1164,1,5,5,5,9,59,1,528
1165,1,5,5,5,9,60,1,492
1166,1,5,5,5,11,50,0,0
1167,1,5,5,5,11,51,0,0
1172,1,5,5,5,11,56,0,0
1169,1,5,5,5,11,53,1,494
1171,1,5,5,5,11,55,2,992
1170,1,5,5,5,11,54,1,527
1175,1,5,5,5,11,59,0,0
1179,1,5,5,5,14,52,0,0
1173,1,5,5,5,11,57,1,580
1174,1,5,5,5,11,58,0,0
1177,1,5,5,5,14,50,0,0
1178,1,5,5,5,14,51,0,0
1176,1,5,5,5,11,60,0,0
1180,1,5,5,5,14,53,1,523
1182,1,5,5,5,14,55,1,537
1181,1,5,5,5,14,54,1,578
1184,1,5,5,5,14,57,1,589
1183,1,5,5,5,14,56,1,493
1186,1,5,5,5,14,59,0,0
1185,1,5,5,5,14,58,2,1004
1188,1,5,8,5,6,50,0,0
1189,1,5,8,5,6,51,0,0
1193,1,5,8,5,6,55,0,0
1190,1,5,8,5,6,52,1,416
1187,1,5,5,5,14,60,0,0
1196,1,5,8,5,6,58,0,0
1197,1,5,8,5,6,59,1,455
1191,1,5,8,5,6,53,0,0
1198,1,5,8,5,6,60,1,440
1192,1,5,8,5,6,54,0,0
1195,1,5,8,5,6,57,1,448
1200,1,5,8,5,9,51,0,0
1194,1,5,8,5,6,56,1,474
1201,1,5,8,5,9,52,0,0
1199,1,5,8,5,9,50,2,895
1202,1,5,8,5,9,53,0,0
1204,1,5,8,5,9,55,1,365
1203,1,5,8,5,9,54,0,0
1205,1,5,8,5,9,56,1,468
1214,1,5,8,5,11,54,0,0
1210,1,5,8,5,11,50,0,0
1207,1,5,8,5,9,58,0,0
1206,1,5,8,5,9,57,0,0
1211,1,5,8,5,11,51,0,0
1213,1,5,8,5,11,53,1,503
1209,1,5,8,5,9,60,0,0
1212,1,5,8,5,11,52,1,594
1215,1,5,8,5,11,55,0,0
1218,1,5,8,5,11,58,0,0
1217,1,5,8,5,11,57,1,648
1221,1,5,8,5,14,50,0,0
1216,1,5,8,5,11,56,1,582
1208,1,5,8,5,9,59,1,764
1222,1,5,8,5,14,51,1,420
1220,1,5,8,5,11,60,0,0
1219,1,5,8,5,11,59,1,599
1224,1,5,8,5,14,53,0,0
1225,1,5,8,5,14,54,2,882
1228,1,5,8,5,14,57,0,0
1223,1,5,8,5,14,52,0,0
1227,1,5,8,5,14,56,1,429
1230,1,5,8,5,14,59,1,458
1233,1,5,11,5,6,51,1,380
1229,1,5,8,5,14,58,1,561
1231,1,5,8,5,14,60,2,943
1226,1,5,8,5,14,55,1,686
1232,1,5,11,5,6,50,0,0
1234,1,5,11,5,6,52,1,491
1237,1,5,11,5,6,55,1,456
1236,1,5,11,5,6,54,1,441
1235,1,5,11,5,6,53,0,0
1244,1,5,11,5,9,51,1,450
1238,1,5,11,5,6,56,1,438
1240,1,5,11,5,6,58,1,499
1239,1,5,11,5,6,57,1,460
1241,1,5,11,5,6,59,1,478
1242,1,5,11,5,6,60,0,0
1243,1,5,11,5,9,50,1,454
1246,1,5,11,5,9,53,1,457
1248,1,5,11,5,9,55,0,0
1245,1,5,11,5,9,52,1,508
1249,1,5,11,5,9,56,1,458
1247,1,5,11,5,9,54,1,466
1250,1,5,11,5,9,57,0,0
1253,1,5,11,5,9,60,1,453
1254,1,5,11,5,11,50,1,461
1252,1,5,11,5,9,59,2,965
1255,1,5,11,5,11,51,0,0
1257,1,5,11,5,11,53,1,437
1256,1,5,11,5,11,52,0,0
1258,1,5,11,5,11,54,0,0
1260,1,5,11,5,11,56,2,962
1259,1,5,11,5,11,55,1,558
1263,1,5,11,5,11,59,1,359
1265,1,5,11,5,14,50,1,457
1266,1,5,11,5,14,51,0,0
1264,1,5,11,5,11,60,0,0
1261,1,5,11,5,11,57,1,547
1262,1,5,11,5,11,58,2,1149
1268,1,5,11,5,14,53,1,364
1269,1,5,11,5,14,54,0,0
1267,1,5,11,5,14,52,0,0
1270,1,5,11,5,14,55,0,0
1271,1,5,11,5,14,56,1,540
1276,1,5,13,5,6,50,1,449
1272,1,5,11,5,14,57,1,704
1273,1,5,11,5,14,58,0,0
1275,1,5,11,5,14,60,1,456
1279,1,5,13,5,6,53,0,0
1281,1,5,13,5,6,55,2,871
1278,1,5,13,5,6,52,1,432
1277,1,5,13,5,6,51,1,556
1284,1,5,13,5,6,58,1,420
1283,1,5,13,5,6,57,0,0
1280,1,5,13,5,6,54,1,770
1282,1,5,13,5,6,56,0,0
1286,1,5,13,5,6,60,0,0
1285,1,5,13,5,6,59,0,0
1288,1,5,13,5,9,51,0,0
1287,1,5,13,5,9,50,0,0
1292,1,5,13,5,9,55,0,0
1289,1,5,13,5,9,52,0,0
1293,1,5,13,5,9,56,0,0
1291,1,5,13,5,9,54,0,0
1290,1,5,13,5,9,53,1,655
1295,1,5,13,5,9,58,1,468
1294,1,5,13,5,9,57,2,902
1296,1,5,13,5,9,59,2,906
1298,1,5,13,5,11,50,1,440
1297,1,5,13,5,9,60,1,590
1299,1,5,13,5,11,51,0,0
1300,1,5,13,5,11,52,0,0
1301,1,5,13,5,11,53,0,0
1302,1,5,13,5,11,54,0,0
1303,1,5,13,5,11,55,1,468
1306,1,5,13,5,11,58,0,0
1305,1,5,13,5,11,57,1,433
1307,1,5,13,5,11,59,1,510
1304,1,5,13,5,11,56,2,1153
1309,1,5,13,5,14,50,0,0
1311,1,5,13,5,14,52,0,0
1310,1,5,13,5,14,51,1,444
1313,1,5,13,5,14,54,1,419
1312,1,5,13,5,14,53,1,410
1314,1,5,13,5,14,55,2,992
1320,1,8,0,5,6,50,0,0
1316,1,5,13,5,14,57,1,569
1317,1,5,13,5,14,58,0,0
1319,1,5,13,5,14,60,1,404
1315,1,5,13,5,14,56,2,1281
1318,1,5,13,5,14,59,2,1061
1321,1,8,0,5,6,51,0,0
1324,1,8,0,5,6,54,1,539
1322,1,8,0,5,6,52,0,0
1323,1,8,0,5,6,53,0,0
1325,1,8,0,5,6,55,0,0
1326,1,8,0,5,6,56,1,440
1251,1,5,11,5,9,58,1,476
1327,1,8,0,5,6,57,1,420
1331,1,8,0,5,9,50,1,432
1332,1,8,0,5,9,51,0,0
1329,1,8,0,5,6,59,0,0
1330,1,8,0,5,6,60,0,0
1328,1,8,0,5,6,58,1,586
1334,1,8,0,5,9,53,0,0
1333,1,8,0,5,9,52,2,900
1336,1,8,0,5,9,55,1,443
1335,1,8,0,5,9,54,2,888
1337,1,8,0,5,9,56,0,0
1339,1,8,0,5,9,58,1,512
1344,1,8,0,5,11,52,1,426
1340,1,8,0,5,9,59,0,0
1338,1,8,0,5,9,57,0,0
1346,1,8,0,5,11,54,1,474
1342,1,8,0,5,11,50,1,423
1341,1,8,0,5,9,60,0,0
1343,1,8,0,5,11,51,2,1029
1345,1,8,0,5,11,53,0,0
1351,1,8,0,5,11,59,0,0
1347,1,8,0,5,11,55,1,446
1350,1,8,0,5,11,58,1,501
1349,1,8,0,5,11,57,2,970
1354,1,8,0,5,14,51,0,0
1274,1,5,11,5,14,59,2,1021
1348,1,8,0,5,11,56,1,895
1352,1,8,0,5,11,60,0,0
1353,1,8,0,5,14,50,0,0
1355,1,8,0,5,14,52,0,0
1357,1,8,0,5,14,54,1,521
1360,1,8,0,5,14,57,1,466
1359,1,8,0,5,14,56,1,417
1358,1,8,0,5,14,55,0,0
1361,1,8,0,5,14,58,0,0
1356,1,8,0,5,14,53,1,516
1364,1,8,3,5,6,50,0,0
1363,1,8,0,5,14,60,1,496
1362,1,8,0,5,14,59,1,701
1366,1,8,3,5,6,52,1,414
1365,1,8,3,5,6,51,1,694
1368,1,8,3,5,6,54,0,0
1369,1,8,3,5,6,55,0,0
1367,1,8,3,5,6,53,0,0
1370,1,8,3,5,6,56,1,546
1372,1,8,3,5,6,58,1,429
1373,1,8,3,5,6,59,1,520
1371,1,8,3,5,6,57,0,0
1375,1,8,3,5,9,50,0,0
1374,1,8,3,5,6,60,1,492
1377,1,8,3,5,9,52,0,0
1378,1,8,3,5,9,53,0,0
1379,1,8,3,5,9,54,2,941
1380,1,8,3,5,9,55,2,960
1382,1,8,3,5,9,57,1,458
1381,1,8,3,5,9,56,0,0
1383,1,8,3,5,9,58,0,0
1385,1,8,3,5,9,60,1,495
1384,1,8,3,5,9,59,2,1005
1389,1,8,3,5,11,53,0,0
1388,1,8,3,5,11,52,0,0
1308,1,5,13,5,11,60,2,1219
1387,1,8,3,5,11,51,1,487
1390,1,8,3,5,11,54,0,0
1391,1,8,3,5,11,55,0,0
1392,1,8,3,5,11,56,0,0
1386,1,8,3,5,11,50,2,1468
1393,1,8,3,5,11,57,1,522
1394,1,8,3,5,11,58,0,0
1395,1,8,3,5,11,59,1,526
1398,1,8,3,5,14,51,0,0
1396,1,8,3,5,11,60,1,486
1397,1,8,3,5,14,50,0,0
1400,1,8,3,5,14,53,1,449
1399,1,8,3,5,14,52,2,975
1402,1,8,3,5,14,55,0,0
1404,1,8,3,5,14,57,0,0
1401,1,8,3,5,14,54,2,1149
1403,1,8,3,5,14,56,0,0
1409,1,8,5,5,6,51,0,0
1406,1,8,3,5,14,59,0,0
1407,1,8,3,5,14,60,1,506
1405,1,8,3,5,14,58,2,1189
1410,1,8,5,5,6,52,0,0
1408,1,8,5,5,6,50,2,1074
1415,1,8,5,5,6,57,0,0
1411,1,8,5,5,6,53,1,426
1414,1,8,5,5,6,56,2,953
1418,1,8,5,5,6,60,0,0
1413,1,8,5,5,6,55,0,0
1412,1,8,5,5,6,54,0,0
1416,1,8,5,5,6,58,0,0
1417,1,8,5,5,6,59,2,989
1420,1,8,5,5,9,51,1,442
1421,1,8,5,5,9,52,1,475
1419,1,8,5,5,9,50,0,0
1422,1,8,5,5,9,53,1,581
1423,1,8,5,5,9,54,0,0
1425,1,8,5,5,9,56,0,0
1424,1,8,5,5,9,55,0,0
1427,1,8,5,5,9,58,0,0
1426,1,8,5,5,9,57,2,1051
1429,1,8,5,5,9,60,1,474
1430,1,8,5,5,11,50,1,522
1431,1,8,5,5,11,51,0,0
1428,1,8,5,5,9,59,2,1021
1433,1,8,5,5,11,53,0,0
1432,1,8,5,5,11,52,1,477
1434,1,8,5,5,11,54,1,505
1436,1,8,5,5,11,56,0,0
1435,1,8,5,5,11,55,1,455
1438,1,8,5,5,11,58,1,448
1439,1,8,5,5,11,59,1,478
1445,1,8,5,5,14,54,0,0
1441,1,8,5,5,14,50,0,0
1442,1,8,5,5,14,51,1,422
1437,1,8,5,5,11,57,1,569
1443,1,8,5,5,14,52,1,470
1446,1,8,5,5,14,55,1,525
1440,1,8,5,5,11,60,1,496
1444,1,8,5,5,14,53,0,0
1447,1,8,5,5,14,56,1,485
1449,1,8,5,5,14,58,2,1095
1450,1,8,5,5,14,59,1,577
1452,1,8,8,5,6,50,0,0
1458,1,8,8,5,6,56,1,453
1451,1,8,5,5,14,60,1,430
1455,1,8,8,5,6,53,2,894
1457,1,8,8,5,6,55,1,378
1456,1,8,8,5,6,54,1,492
1453,1,8,8,5,6,51,0,0
1448,1,8,5,5,14,57,1,1191
1376,1,8,3,5,9,51,0,0
1459,1,8,8,5,6,57,1,689
1460,1,8,8,5,6,58,0,0
1463,1,8,8,5,9,50,1,484
1461,1,8,8,5,6,59,0,0
1468,1,8,8,5,9,55,0,0
1464,1,8,8,5,9,51,0,0
1462,1,8,8,5,6,60,1,985
1470,1,8,8,5,9,57,0,0
1465,1,8,8,5,9,52,0,0
1467,1,8,8,5,9,54,1,437
1469,1,8,8,5,9,56,1,463
1466,1,8,8,5,9,53,0,0
1471,1,8,8,5,9,58,0,0
1472,1,8,8,5,9,59,0,0
1473,1,8,8,5,9,60,1,464
1474,1,8,8,5,11,50,0,0
1475,1,8,8,5,11,51,1,461
1476,1,8,8,5,11,52,0,0
1477,1,8,8,5,11,53,1,467
1478,1,8,8,5,11,54,1,451
1482,1,8,8,5,11,58,1,442
1479,1,8,8,5,11,55,0,0
1483,1,8,8,5,11,59,2,908
1481,1,8,8,5,11,57,1,572
1480,1,8,8,5,11,56,0,0
1485,1,8,8,5,14,50,0,0
1484,1,8,8,5,11,60,1,422
1486,1,8,8,5,14,51,0,0
1489,1,8,8,5,14,54,0,0
1487,1,8,8,5,14,52,0,0
1490,1,8,8,5,14,55,0,0
1488,1,8,8,5,14,53,1,529
1492,1,8,8,5,14,57,0,0
1491,1,8,8,5,14,56,0,0
1494,1,8,8,5,14,59,2,839
1496,1,8,11,5,6,50,2,837
1495,1,8,8,5,14,60,1,538
1493,1,8,8,5,14,58,0,0
1497,1,8,11,5,6,51,0,0
