No,Type,A,B,HP,Win,Frame
274,1,4,0,47,967,659800
276,1,4,2,38,841,572814
281,1,4,2,43,891,606451
279,1,4,2,41,877,598460
280,1,4,2,42,869,590082
282,1,4,2,44,895,610927
278,1,4,2,40,850,576944
283,1,4,2,45,920,626256
284,1,4,2,46,941,643145
286,1,4,5,37,816,554664
285,1,4,2,47,964,662551
287,1,4,5,38,824,558543
288,1,4,5,39,837,567826
289,1,4,5,40,841,572466
290,1,4,5,41,860,587370
291,1,4,5,42,883,602879
294,1,4,5,45,912,621446
292,1,4,5,43,905,614979
293,1,4,5,44,893,611130
297,1,4,8,37,834,564108
296,1,4,5,47,952,655672
295,1,4,5,46,954,653237
299,1,4,8,39,833,566320
298,1,4,8,38,811,554407
300,1,4,8,40,882,597666
301,1,4,8,41,849,578180
303,1,4,8,43,891,609736
302,1,4,8,42,876,596201
304,1,4,8,44,902,613740
305,1,4,8,45,916,624790
306,1,4,8,46,947,649931
309,1,4,11,38,863,584781
307,1,4,8,47,965,660779
310,1,4,11,39,881,599459
308,1,4,11,37,850,574142
311,1,4,11,40,884,600542
312,1,4,11,41,885,603919
313,1,4,11,42,898,613675
314,1,4,11,43,895,610331
315,1,4,11,44,915,625889
316,1,4,11,45,932,636634
317,1,4,11,46,943,646521
319,1,4,14,37,851,579804
318,1,4,11,47,968,661953
320,1,4,14,38,856,579713
321,1,4,14,39,861,583936
323,1,4,14,41,886,603758
326,1,4,14,44,906,617438
322,1,4,14,40,867,590931
324,1,4,14,42,891,606473
325,1,4,14,43,905,617457
327,1,4,14,45,932,638294
328,1,4,14,46,944,647307
329,1,4,14,47,957,652614
330,1,6,0,37,803,545256
331,1,6,0,38,815,554211
332,1,6,0,39,837,568902
335,1,6,0,42,868,591636
334,1,6,0,41,864,588734
333,1,6,0,40,857,584161
336,1,6,0,43,887,603638
337,1,6,0,44,906,617700
338,1,6,0,45,934,638377
339,1,6,0,46,940,643148
341,1,6,2,37,809,548646
342,1,6,2,38,802,545273
343,1,6,2,39,824,561392
347,1,6,2,43,926,632259
346,1,6,2,42,880,600658
340,1,6,0,47,954,656162
344,1,6,2,40,856,582445
345,1,6,2,41,873,593677
348,1,6,2,44,903,618050
349,1,6,2,45,930,633138
350,1,6,2,46,940,641833
351,1,6,2,47,958,656962
352,1,6,5,37,821,556993
353,1,6,5,38,832,567719
354,1,6,5,39,837,568728
355,1,6,5,40,863,585515
356,1,6,5,41,843,574339
359,1,6,5,44,887,606920
358,1,6,5,43,906,619633
357,1,6,5,42,875,598246
360,1,6,5,45,915,623804
363,1,6,8,37,812,551466
362,1,6,5,47,965,664148
361,1,6,5,46,939,643740
365,1,6,8,39,851,575429
364,1,6,8,38,837,572038
366,1,6,8,40,856,583044
367,1,6,8,41,858,583002
368,1,6,8,42,872,593288
370,1,6,8,44,914,624850
369,1,6,8,43,884,603789
371,1,6,8,45,929,636879
372,1,6,8,46,945,644574
374,1,6,11,37,860,584317
377,1,6,11,40,867,589635
375,1,6,11,38,850,578560
373,1,6,8,47,966,662510
379,1,6,11,42,893,608404
376,1,6,11,39,875,597289
378,1,6,11,41,896,611358
380,1,6,11,43,892,608752
381,1,6,11,44,923,631503
382,1,6,11,45,927,634904
383,1,6,11,46,959,655921
384,1,6,11,47,965,657979
386,1,6,14,38,855,580780
385,1,6,14,37,859,583464
387,1,6,14,39,872,595408
388,1,6,14,40,863,586288
390,1,6,14,42,886,603976
389,1,6,14,41,895,607602
393,1,6,14,45,940,642199
392,1,6,14,44,921,630703
391,1,6,14,43,892,608434
396,1,10,0,37,805,544686
394,1,6,14,46,946,648277
395,1,6,14,47,955,649873
397,1,10,0,38,832,563103
398,1,10,0,39,832,564427
399,1,10,0,40,865,587824
400,1,10,0,41,849,576957
402,1,10,0,43,888,603879
401,1,10,0,42,871,590662
403,1,10,0,44,903,615378
404,1,10,0,45,930,635806
406,1,10,0,47,954,650686
405,1,10,0,46,949,646223
407,1,10,2,37,821,555066
408,1,10,2,38,828,559459
410,1,10,2,40,859,583652
409,1,10,2,39,808,546844
411,1,10,2,41,869,589166
412,1,10,2,42,866,587710
413,1,10,2,43,886,600947
414,1,10,2,44,885,601855
415,1,10,2,45,909,617548
416,1,10,2,46,947,644848
418,1,10,5,37,815,548792
419,1,10,5,38,830,560473
417,1,10,2,47,954,652839
420,1,10,5,39,827,561185
422,1,10,5,41,857,579720
421,1,10,5,40,846,572444
424,1,10,5,43,907,615736
423,1,10,5,42,869,592712
425,1,10,5,44,891,606539
426,1,10,5,45,913,621348
427,1,10,5,46,946,642827
428,1,10,5,47,947,644492
429,1,10,8,37,799,540760
430,1,10,8,38,826,558255
431,1,10,8,39,835,565584
432,1,10,8,40,858,580901
433,1,10,8,41,854,577841
436,1,10,8,44,905,614792
437,1,10,8,45,913,621947
434,1,10,8,42,870,590662
435,1,10,8,43,886,604771
440,1,10,11,37,846,570615
442,1,10,11,39,889,604783
438,1,10,8,46,940,640108
441,1,10,11,38,869,589707
439,1,10,8,47,952,652921
443,1,10,11,40,865,585554
444,1,10,11,41,876,592817
445,1,10,11,42,878,596021
446,1,10,11,43,889,602483
447,1,10,11,44,903,613073
448,1,10,11,45,948,644619
449,1,10,11,46,952,650901
450,1,10,11,47,967,661783
453,1,10,14,39,868,588631
451,1,10,14,37,828,561616
455,1,10,14,41,882,597680
452,1,10,14,38,847,574298
454,1,10,14,40,859,586276
457,1,10,14,43,910,618136
459,1,10,14,45,936,635391
456,1,10,14,42,891,605379
458,1,10,14,44,904,614119
460,1,10,14,46,955,651136
461,1,10,14,47,956,654786
462,1,13,0,37,810,551818
463,1,13,0,38,828,567033
464,1,13,0,39,838,571009
465,1,13,0,40,861,588786
466,1,13,0,41,884,603766
468,1,13,0,43,894,614973
470,1,13,0,45,927,637717
469,1,13,0,44,898,618966
467,1,13,0,42,877,602265
472,1,13,0,47,969,666885
474,1,13,2,38,845,575880
473,1,13,2,37,827,562397
471,1,13,0,46,965,667876
476,1,13,2,40,862,588986
475,1,13,2,39,843,573998
477,1,13,2,41,866,591043
478,1,13,2,42,870,597113
479,1,13,2,43,910,626435
480,1,13,2,44,928,638872
481,1,13,2,45,935,641492
482,1,13,2,46,951,656131
484,1,13,5,37,815,555082
486,1,13,5,39,830,567408
490,1,13,5,43,894,613602
487,1,13,5,40,866,591377
485,1,13,5,38,838,572633
488,1,13,5,41,869,592285
491,1,13,5,44,907,622669
483,1,13,2,47,960,660248
489,1,13,5,42,843,576967
492,1,13,5,45,942,646137
493,1,13,5,46,954,658124
494,1,13,5,47,962,661655
495,1,13,8,37,809,549495
496,1,13,8,38,824,562372
497,1,13,8,39,839,572743
498,1,13,8,40,834,570087
499,1,13,8,41,857,582220
501,1,13,8,43,904,618818
500,1,13,8,42,877,599541
503,1,13,8,45,942,648214
506,1,13,11,37,844,575421
502,1,13,8,44,931,641235
508,1,13,11,39,853,579831
504,1,13,8,46,961,663032
507,1,13,11,38,847,578699
505,1,13,8,47,977,673015
509,1,13,11,40,870,595324
510,1,13,11,41,896,614829
511,1,13,11,42,893,612409
512,1,13,11,43,909,625912
515,1,13,11,46,959,657890
513,1,13,11,44,937,643882
517,1,13,14,37,843,575545
514,1,13,11,45,942,650146
516,1,13,11,47,967,665017
520,1,13,14,40,861,589153
519,1,13,14,39,861,587177
518,1,13,14,38,866,594232
524,1,13,14,44,939,645071
521,1,13,14,41,874,596484
522,1,13,14,42,888,609695
523,1,13,14,43,925,636287
525,1,13,14,45,951,654582
526,1,13,14,46,959,658167
527,1,13,14,47,971,668819
