No,Type,A,B,HP,Win,Frame
12,0,4,2,38,828,563659
0,0,4,0,37,837,566091
6,0,4,0,43,885,604129
1,0,4,0,38,817,555153
2,0,4,0,39,825,558509
7,0,4,0,44,902,616451
11,0,4,2,37,812,550228
14,0,4,2,40,847,575456
8,0,4,0,45,923,631276
13,0,4,2,39,836,568669
9,0,4,0,46,942,644772
15,0,4,2,41,858,584803
4,0,4,0,41,845,580119
5,0,4,0,42,874,596798
10,0,4,0,47,962,662408
3,0,4,0,40,848,579190
24,0,4,5,39,861,585511
18,0,4,2,44,910,621082
22,0,4,5,37,819,554577
16,0,4,2,42,854,581383
19,0,4,2,45,924,631450
25,0,4,5,40,874,594118
23,0,4,5,38,844,574708
17,0,4,2,43,898,610859
27,0,4,5,42,866,588640
20,0,4,2,46,943,646013
28,0,4,5,43,915,626637
29,0,4,5,44,921,630487
30,0,4,5,45,935,639591
26,0,4,5,41,867,588054
31,0,4,5,46,945,646298
21,0,4,2,47,967,663747
34,0,4,8,38,833,565237
37,0,4,8,41,866,589271
36,0,4,8,40,850,576355
35,0,4,8,39,863,586861
33,0,4,8,37,827,560038
40,0,4,8,44,898,613371
32,0,4,5,47,963,662046
38,0,4,8,42,869,590373
39,0,4,8,43,895,610694
41,0,4,8,45,929,633051
42,0,4,8,46,941,641822
44,0,4,11,37,870,592034
43,0,4,8,47,957,654205
45,0,4,11,38,867,590283
46,0,4,11,39,880,599551
47,0,4,11,40,874,597627
55,0,4,14,37,865,585475
49,0,4,11,42,912,622297
50,0,4,11,43,917,624179
48,0,4,11,41,893,608343
56,0,4,14,38,855,580372
51,0,4,11,44,937,639442
53,0,4,11,46,954,653468
54,0,4,11,47,969,661868
59,0,4,14,41,896,611713
57,0,4,14,39,875,593844
52,0,4,11,45,941,647232
58,0,4,14,40,885,604672
60,0,4,14,42,886,606571
61,0,4,14,43,882,603299
63,0,4,14,45,924,633128
62,0,4,14,44,931,638750
64,0,4,14,46,945,646140
66,0,6,0,37,802,544924
67,0,6,0,38,823,557399
70,0,6,0,41,845,575877
69,0,6,0,40,845,574716
72,0,6,0,43,893,609369
73,0,6,0,44,906,621918
74,0,6,0,45,910,620330
65,0,4,14,47,964,658854
71,0,6,0,42,888,606123
75,0,6,0,46,950,648068
68,0,6,0,39,848,576657
79,0,6,2,39,837,568898
76,0,6,0,47,961,656965
78,0,6,2,38,832,563312
77,0,6,2,37,799,542816
81,0,6,2,41,870,590970
89,0,6,5,38,859,582213
84,0,6,2,44,898,612637
80,0,6,2,40,842,571942
90,0,6,5,39,849,578050
85,0,6,2,45,933,635334
82,0,6,2,42,877,599471
86,0,6,2,46,935,639289
87,0,6,2,47,961,657278
88,0,6,5,37,846,573091
91,0,6,5,40,846,576033
93,0,6,5,42,885,603500
83,0,6,2,43,902,616477
95,0,6,5,44,945,647149
94,0,6,5,43,894,612478
92,0,6,5,41,871,590851
99,0,6,8,37,839,570987
96,0,6,5,45,951,648666
104,0,6,8,42,858,582847
97,0,6,5,46,955,654450
98,0,6,5,47,970,664162
102,0,6,8,40,874,595391
100,0,6,8,38,821,555214
103,0,6,8,41,852,581538
101,0,6,8,39,849,577986
105,0,6,8,43,876,598080
107,0,6,8,45,905,620584
108,0,6,8,46,944,648137
106,0,6,8,44,912,622347
110,0,6,11,37,861,588010
109,0,6,8,47,961,657746
111,0,6,11,38,858,583837
113,0,6,11,40,882,600924
112,0,6,11,39,881,601476
114,0,6,11,41,882,601891
118,0,6,11,45,954,652039
116,0,6,11,43,927,634059
115,0,6,11,42,916,626330
117,0,6,11,44,936,641506
119,0,6,11,46,963,656160
124,0,6,14,40,871,594122
123,0,6,14,39,868,592050
121,0,6,14,37,851,580012
120,0,6,11,47,966,661028
125,0,6,14,41,870,593977
122,0,6,14,38,856,583802
126,0,6,14,42,883,602620
127,0,6,14,43,894,609037
128,0,6,14,44,918,625737
129,0,6,14,45,936,639540
132,0,10,0,37,824,556461
133,0,10,0,38,817,552568
131,0,6,14,47,969,666018
135,0,10,0,40,861,584703
130,0,6,14,46,947,649101
134,0,10,0,39,837,569178
137,0,10,0,42,873,591764
136,0,10,0,41,849,575990
138,0,10,0,43,879,597022
140,0,10,0,45,914,621595
139,0,10,0,44,926,630033
141,0,10,0,46,946,648810
143,0,10,2,37,839,567174
142,0,10,0,47,948,646608
144,0,10,2,38,829,561636
147,0,10,2,41,874,591815
149,0,10,2,43,902,611458
145,0,10,2,39,861,582953
146,0,10,2,40,825,560854
154,0,10,5,37,819,552153
150,0,10,2,44,906,618331
148,0,10,2,42,850,579978
151,0,10,2,45,925,629405
153,0,10,2,47,945,646037
152,0,10,2,46,942,643600
155,0,10,5,38,845,572074
156,0,10,5,39,853,578261
157,0,10,5,40,851,579031
159,0,10,5,42,882,598311
158,0,10,5,41,853,579162
166,0,10,8,38,832,561659
160,0,10,5,43,906,616614
165,0,10,8,37,804,543095
161,0,10,5,44,923,627321
162,0,10,5,45,946,646708
163,0,10,5,46,965,658416
164,0,10,5,47,969,662604
167,0,10,8,39,842,568333
168,0,10,8,40,843,571707
169,0,10,8,41,853,578954
171,0,10,8,43,875,593849
170,0,10,8,42,867,586245
172,0,10,8,44,885,600844
173,0,10,8,45,920,625678
175,0,10,8,47,965,655027
174,0,10,8,46,939,641744
177,0,10,11,38,860,582607
176,0,10,11,37,859,582299
180,0,10,11,41,891,603173
178,0,10,11,39,875,592452
179,0,10,11,40,857,581657
181,0,10,11,42,901,611580
182,0,10,11,43,917,624165
183,0,10,11,44,921,627677
184,0,10,11,45,949,644952
185,0,10,11,46,969,659844
187,0,10,14,37,843,570481
186,0,10,11,47,966,659474
188,0,10,14,38,883,597354
189,0,10,14,39,856,579906
190,0,10,14,40,867,590012
191,0,10,14,41,872,592046
193,0,10,14,43,889,602917
192,0,10,14,42,891,605397
194,0,10,14,44,917,624896
196,0,10,14,46,952,647699
195,0,10,14,45,938,637210
198,0,13,0,37,784,533096
197,0,10,14,47,967,659424
199,0,13,0,38,802,546103
200,0,13,0,39,821,558155
203,0,13,0,42,866,591236
202,0,13,0,41,856,585860
201,0,13,0,40,840,573221
204,0,13,0,43,877,596803
205,0,13,0,44,895,609873
206,0,13,0,45,921,631248
207,0,13,0,46,945,651074
209,0,13,2,37,809,550186
208,0,13,0,47,952,657607
210,0,13,2,38,835,569465
213,0,13,2,41,839,571713
212,0,13,2,40,830,566441
211,0,13,2,39,836,570180
214,0,13,2,42,879,601808
215,0,13,2,43,886,607105
217,0,13,2,45,921,632191
218,0,13,2,46,960,659429
216,0,13,2,44,909,626980
220,0,13,5,37,798,541942
219,0,13,2,47,957,657803
221,0,13,5,38,810,555362
222,0,13,5,39,823,562743
223,0,13,5,40,821,558710
224,0,13,5,41,853,584514
225,0,13,5,42,867,592747
226,0,13,5,43,880,600321
227,0,13,5,44,888,610913
228,0,13,5,45,930,637492
229,0,13,5,46,936,642576
230,0,13,5,47,960,660058
231,0,13,8,37,812,551140
232,0,13,8,38,829,565485
233,0,13,8,39,862,586619
236,0,13,8,42,879,600631
234,0,13,8,40,844,576609
235,0,13,8,41,876,599148
238,0,13,8,44,902,618922
239,0,13,8,45,923,634628
237,0,13,8,43,858,584720
242,0,13,11,37,846,576547
241,0,13,8,47,957,654193
243,0,13,11,38,854,582270
240,0,13,8,46,925,637268
244,0,13,11,39,841,572846
246,0,13,11,41,885,607214
245,0,13,11,40,866,592334
247,0,13,11,42,899,616210
248,0,13,11,43,899,616500
249,0,13,11,44,893,615165
250,0,13,11,45,938,644479
251,0,13,11,46,948,654453
252,0,13,11,47,956,659623
253,0,13,14,37,843,574933
254,0,13,14,38,853,585652
255,0,13,14,39,869,593094
256,0,13,14,40,878,599419
257,0,13,14,41,882,603448
259,0,13,14,43,885,605329
258,0,13,14,42,884,603546
261,0,13,14,45,923,633225
260,0,13,14,44,895,614962
263,0,13,14,47,958,657740
262,0,13,14,46,949,651347
264,1,4,0,37,791,537487
265,1,4,0,38,825,557610
267,1,4,0,40,835,565771
268,1,4,0,41,872,593648
266,1,4,0,39,816,558738
271,1,4,0,44,905,616958
270,1,4,0,43,888,605590
269,1,4,0,42,881,601633
272,1,4,0,45,924,630524
275,1,4,2,37,824,559392
273,1,4,0,46,937,641620
277,1,4,2,39,847,574642
