No,Type,A,B,HP,Win,Frame
348,1,6,2,44,986,685761
350,1,6,2,46,987,686751
351,1,6,2,47,990,690727
349,1,6,2,45,980,681127
352,1,6,5,37,904,626436
353,1,6,5,38,921,636038
354,1,6,5,39,911,632377
356,1,6,5,41,940,650259
355,1,6,5,40,942,655010
359,1,6,5,44,984,679456
358,1,6,5,43,967,672033
360,1,6,5,45,981,680265
357,1,6,5,42,961,670750
363,1,6,8,37,900,623988
362,1,6,5,47,991,689444
361,1,6,5,46,984,684866
364,1,6,8,38,915,634293
365,1,6,8,39,928,642792
366,1,6,8,40,943,657544
367,1,6,8,41,950,658442
368,1,6,8,42,963,669257
369,1,6,8,43,964,667786
370,1,6,8,44,977,680427
372,1,6,8,46,990,688194
371,1,6,8,45,982,686076
375,1,6,11,38,925,639489
373,1,6,8,47,993,688979
376,1,6,11,39,960,665767
374,1,6,11,37,929,644689
377,1,6,11,40,944,655350
378,1,6,11,41,960,666138
379,1,6,11,42,970,674714
380,1,6,11,43,974,678236
381,1,6,11,44,981,680904
382,1,6,11,45,981,679393
383,1,6,11,46,990,688964
385,1,6,14,37,930,642255
384,1,6,11,47,993,691059
386,1,6,14,38,936,650383
387,1,6,14,39,946,656890
388,1,6,14,40,949,657857
389,1,6,14,41,956,667881
391,1,6,14,43,969,672697
392,1,6,14,44,977,678864
393,1,6,14,45,986,685048
390,1,6,14,42,965,671491
395,1,6,14,47,991,688897
396,1,10,0,37,896,613158
394,1,6,14,46,993,692020
397,1,10,0,38,901,615904
399,1,10,0,40,949,648574
398,1,10,0,39,905,618179
400,1,10,0,41,931,639080
401,1,10,0,42,958,653573
403,1,10,0,44,983,674420
402,1,10,0,43,965,661974
404,1,10,0,45,981,674159
405,1,10,0,46,984,673904
406,1,10,0,47,988,678333
409,1,10,2,39,922,632153
408,1,10,2,38,927,632758
407,1,10,2,37,896,617715
410,1,10,2,40,932,641433
412,1,10,2,42,964,659342
411,1,10,2,41,959,656004
414,1,10,2,44,967,662302
413,1,10,2,43,963,664014
415,1,10,2,45,989,677572
416,1,10,2,46,983,675564
417,1,10,2,47,985,674013
418,1,10,5,37,911,623322
419,1,10,5,38,909,622564
420,1,10,5,39,925,634116
421,1,10,5,40,941,644851
422,1,10,5,41,948,647786
424,1,10,5,43,964,661620
423,1,10,5,42,969,665289
425,1,10,5,44,973,666393
426,1,10,5,45,986,675178
428,1,10,5,47,992,679824
427,1,10,5,46,984,678059
429,1,10,8,37,918,629272
431,1,10,8,39,931,638199
430,1,10,8,38,933,637826
432,1,10,8,40,946,647492
433,1,10,8,41,956,655640
434,1,10,8,42,953,653302
435,1,10,8,43,960,655446
436,1,10,8,44,968,667119
437,1,10,8,45,978,671756
439,1,10,8,47,994,681260
438,1,10,8,46,986,677438
440,1,10,11,37,925,636411
441,1,10,11,38,939,641941
443,1,10,11,40,947,649672
444,1,10,11,41,953,651993
442,1,10,11,39,942,646508
446,1,10,11,43,979,670401
447,1,10,11,44,973,668073
445,1,10,11,42,961,660536
448,1,10,11,45,971,665686
449,1,10,11,46,987,678415
451,1,10,14,37,926,633893
450,1,10,11,47,982,677006
452,1,10,14,38,947,647957
453,1,10,14,39,937,644108
454,1,10,14,40,956,655562
457,1,10,14,43,980,669929
456,1,10,14,42,973,667555
455,1,10,14,41,958,657434
458,1,10,14,44,977,669550
459,1,10,14,45,984,674785
461,1,10,14,47,988,677137
460,1,10,14,46,984,678619
462,1,13,0,37,972,664083
463,1,13,0,38,987,676664
465,1,13,0,40,986,674425
464,1,13,0,39,976,665980
467,1,13,0,42,991,673492
466,1,13,0,41,992,678341
468,1,13,0,43,995,680387
469,1,13,0,44,998,684328
471,1,13,0,46,996,680260
470,1,13,0,45,999,685794
473,1,13,2,37,961,655189
472,1,13,0,47,999,683562
474,1,13,2,38,967,661109
475,1,13,2,39,991,676803
476,1,13,2,40,991,676868
477,1,13,2,41,996,679525
479,1,13,2,43,997,680012
478,1,13,2,42,993,680258
480,1,13,2,44,994,677791
481,1,13,2,45,995,679989
482,1,13,2,46,999,685708
484,1,13,5,37,974,663704
483,1,13,2,47,1000,683480
487,1,13,5,40,988,669982
485,1,13,5,38,980,670473
488,1,13,5,41,994,678782
489,1,13,5,42,993,683285
486,1,13,5,39,983,674501
490,1,13,5,43,990,676345
491,1,13,5,44,998,685119
492,1,13,5,45,999,682998
493,1,13,5,46,999,682884
495,1,13,8,37,960,655051
494,1,13,5,47,998,682215
496,1,13,8,38,969,662401
497,1,13,8,39,983,671124
498,1,13,8,40,983,666639
499,1,13,8,41,991,674137
500,1,13,8,42,993,677149
501,1,13,8,43,996,682803
502,1,13,8,44,997,680634
504,1,13,8,46,999,681680
509,1,13,11,40,992,673768
506,1,13,11,37,985,671406
507,1,13,11,38,988,673673
508,1,13,11,39,997,680819
503,1,13,8,45,999,680489
505,1,13,8,47,999,686155
511,1,13,11,42,998,684586
510,1,13,11,41,999,685152
512,1,13,11,43,997,679564
513,1,13,11,44,1000,683361
514,1,13,11,45,1000,683053
515,1,13,11,46,999,680757
516,1,13,11,47,999,681603
517,1,13,14,37,984,673394
518,1,13,14,38,989,676411
523,1,13,14,43,999,682779
524,1,13,14,44,999,679791
520,1,13,14,40,997,682075
522,1,13,14,42,997,681368
519,1,13,14,39,999,680011
521,1,13,14,41,1000,686643
525,1,13,14,45,1000,683546
527,1,13,14,47,1000,686514
526,1,13,14,46,1000,682498
