No,Type,A,B,HP,Win,Frame
5,0,4,0,42,860,583141
10,0,4,0,47,964,661254
2,0,4,0,39,844,574029
11,0,4,2,37,800,540347
12,0,4,2,38,838,570939
8,0,4,0,45,921,629802
15,0,4,2,41,865,587832
6,0,4,0,43,895,608837
7,0,4,0,44,924,630364
14,0,4,2,40,841,571670
13,0,4,2,39,841,572818
0,0,4,0,37,821,555504
4,0,4,0,41,868,590421
3,0,4,0,40,884,601258
1,0,4,0,38,827,560530
9,0,4,0,46,949,647609
24,0,4,5,39,845,573324
16,0,4,2,42,881,600945
23,0,4,5,38,851,579265
27,0,4,5,42,850,579389
25,0,4,5,40,842,571710
29,0,4,5,44,914,621606
18,0,4,2,44,902,615611
28,0,4,5,43,891,608283
17,0,4,2,43,888,607356
20,0,4,2,46,948,647222
19,0,4,2,45,931,636923
30,0,4,5,45,904,616736
26,0,4,5,41,865,589935
21,0,4,2,47,949,650295
22,0,4,5,37,789,534586
31,0,4,5,46,949,651190
34,0,4,8,38,832,564129
36,0,4,8,40,852,579896
33,0,4,8,37,817,553184
32,0,4,5,47,954,652919
35,0,4,8,39,852,578865
37,0,4,8,41,851,580191
38,0,4,8,42,865,589319
40,0,4,8,44,879,599904
39,0,4,8,43,882,601013
47,0,4,11,40,881,600391
44,0,4,11,37,844,574900
41,0,4,8,45,911,621322
46,0,4,11,39,856,583861
43,0,4,8,47,954,655110
42,0,4,8,46,951,651215
45,0,4,11,38,864,589808
48,0,4,11,41,896,610077
50,0,4,11,43,907,619872
49,0,4,11,42,880,600973
56,0,4,14,38,886,604056
52,0,4,11,45,920,629725
51,0,4,11,44,924,634036
54,0,4,11,47,963,659593
53,0,4,11,46,968,663033
60,0,4,14,42,864,588550
55,0,4,14,37,851,579262
59,0,4,14,41,906,619852
61,0,4,14,43,912,622458
58,0,4,14,40,880,599436
62,0,4,14,44,914,624895
57,0,4,14,39,867,587455
63,0,4,14,45,931,637674
64,0,4,14,46,961,657863
66,0,6,0,37,809,549818
71,0,6,0,42,856,585397
65,0,4,14,47,962,656985
67,0,6,0,38,828,563049
73,0,6,0,44,916,623927
69,0,6,0,40,856,582121
68,0,6,0,39,840,573060
70,0,6,0,41,872,594141
75,0,6,0,46,938,640953
76,0,6,0,47,954,656676
77,0,6,2,37,827,559163
74,0,6,0,45,920,628340
72,0,6,0,43,888,607204
79,0,6,2,39,827,562311
78,0,6,2,38,823,558854
83,0,6,2,43,886,604573
80,0,6,2,40,868,591055
82,0,6,2,42,873,597575
81,0,6,2,41,858,584545
85,0,6,2,45,921,629384
89,0,6,5,38,839,568161
84,0,6,2,44,887,605380
88,0,6,5,37,804,545764
86,0,6,2,46,943,644762
87,0,6,2,47,967,662741
90,0,6,5,39,829,565388
92,0,6,5,41,864,584668
91,0,6,5,40,859,585663
94,0,6,5,43,891,608425
93,0,6,5,42,855,582216
95,0,6,5,44,902,613893
96,0,6,5,45,933,639310
97,0,6,5,46,956,652476
99,0,6,8,37,823,556695
98,0,6,5,47,950,652245
101,0,6,8,39,848,574632
100,0,6,8,38,853,578924
103,0,6,8,41,852,581228
104,0,6,8,42,885,604301
102,0,6,8,40,881,598641
106,0,6,8,44,889,608069
107,0,6,8,45,924,630960
105,0,6,8,43,883,602321
108,0,6,8,46,953,649057
110,0,6,11,37,859,585341
109,0,6,8,47,961,659418
111,0,6,11,38,858,583437
112,0,6,11,39,868,590612
114,0,6,11,41,892,607776
113,0,6,11,40,888,606212
115,0,6,11,42,876,596606
117,0,6,11,44,913,622692
118,0,6,11,45,940,642414
116,0,6,11,43,888,605737
119,0,6,11,46,949,650664
120,0,6,11,47,952,654798
121,0,6,14,37,843,572578
122,0,6,14,38,874,594999
123,0,6,14,39,871,592930
124,0,6,14,40,860,586444
126,0,6,14,42,885,600395
125,0,6,14,41,882,602094
127,0,6,14,43,912,621236
128,0,6,14,44,896,609570
129,0,6,14,45,938,639553
132,0,10,0,37,826,558812
130,0,6,14,46,959,657246
131,0,6,14,47,966,662751
134,0,10,0,39,838,566428
135,0,10,0,40,862,587123
133,0,10,0,38,852,576884
136,0,10,0,41,872,590760
137,0,10,0,42,869,588970
138,0,10,0,43,882,600594
139,0,10,0,44,903,614303
140,0,10,0,45,927,632025
141,0,10,0,46,927,632474
142,0,10,0,47,948,645287
143,0,10,2,37,824,557646
144,0,10,2,38,819,550012
147,0,10,2,41,857,582002
146,0,10,2,40,860,582752
145,0,10,2,39,858,580568
148,0,10,2,42,864,586776
149,0,10,2,43,877,596003
150,0,10,2,44,903,614600
151,0,10,2,45,933,636447
152,0,10,2,46,945,643401
154,0,10,5,37,823,554115
153,0,10,2,47,956,651572
155,0,10,5,38,833,561662
156,0,10,5,39,819,557321
157,0,10,5,40,862,583265
158,0,10,5,41,854,579509
159,0,10,5,42,889,602830
160,0,10,5,43,899,609084
161,0,10,5,44,916,621851
162,0,10,5,45,922,628198
163,0,10,5,46,949,645008
164,0,10,5,47,952,648293
165,0,10,8,37,807,545514
166,0,10,8,38,848,574155
167,0,10,8,39,834,567184
170,0,10,8,42,861,584275
168,0,10,8,40,833,564257
171,0,10,8,43,879,598650
169,0,10,8,41,865,587460
173,0,10,8,45,918,624920
174,0,10,8,46,936,638967
172,0,10,8,44,886,605119
175,0,10,8,47,950,649551
176,0,10,11,37,860,583321
177,0,10,11,38,864,583262
178,0,10,11,39,861,581739
179,0,10,11,40,869,590567
181,0,10,11,42,877,595333
180,0,10,11,41,895,610615
182,0,10,11,43,897,610591
183,0,10,11,44,895,608109
184,0,10,11,45,946,644906
187,0,10,14,37,843,572932
185,0,10,11,46,946,645260
186,0,10,11,47,967,662146
188,0,10,14,38,875,592608
190,0,10,14,40,876,593269
191,0,10,14,41,888,602602
189,0,10,14,39,870,590228
192,0,10,14,42,892,605688
194,0,10,14,44,894,608400
193,0,10,14,43,899,611296
195,0,10,14,45,927,632765
196,0,10,14,46,944,643507
198,0,13,0,37,817,555271
197,0,10,14,47,964,659346
199,0,13,0,38,818,558111
200,0,13,0,39,835,568118
203,0,13,0,42,892,609353
201,0,13,0,40,869,595600
202,0,13,0,41,852,585749
204,0,13,0,43,880,604606
205,0,13,0,44,898,617464
206,0,13,0,45,929,641273
207,0,13,0,46,967,668750
208,0,13,0,47,968,668542
209,0,13,2,37,802,546506
210,0,13,2,38,835,569642
211,0,13,2,39,835,571056
212,0,13,2,40,853,581091
213,0,13,2,41,852,583889
214,0,13,2,42,876,603039
215,0,13,2,43,905,617059
216,0,13,2,44,930,639140
217,0,13,2,45,939,645309
218,0,13,2,46,956,653433
220,0,13,5,37,816,554820
221,0,13,5,38,829,563925
222,0,13,5,39,843,575940
219,0,13,2,47,955,661119
223,0,13,5,40,846,579767
224,0,13,5,41,870,596768
225,0,13,5,42,893,609610
228,0,13,5,45,945,650065
226,0,13,5,43,901,617878
227,0,13,5,44,925,635580
231,0,13,8,37,799,546388
229,0,13,5,46,955,655952
230,0,13,5,47,975,672344
232,0,13,8,38,838,571387
235,0,13,8,41,851,580751
233,0,13,8,39,863,593604
234,0,13,8,40,854,583721
236,0,13,8,42,861,591196
237,0,13,8,43,886,607665
238,0,13,8,44,921,632161
239,0,13,8,45,931,638701
240,0,13,8,46,940,649227
241,0,13,8,47,977,675855
242,0,13,11,37,851,580151
244,0,13,11,39,879,600703
243,0,13,11,38,859,587046
245,0,13,11,40,868,592258
246,0,13,11,41,874,598998
247,0,13,11,42,885,607814
248,0,13,11,43,904,619826
249,0,13,11,44,936,641473
250,0,13,11,45,941,647347
251,0,13,11,46,957,658614
253,0,13,14,37,843,576750
252,0,13,11,47,969,667520
254,0,13,14,38,854,585341
255,0,13,14,39,863,592616
256,0,13,14,40,876,597332
257,0,13,14,41,886,605710
258,0,13,14,42,869,594663
259,0,13,14,43,895,614105
260,0,13,14,44,926,637293
261,0,13,14,45,934,641044
262,0,13,14,46,961,661751
263,0,13,14,47,961,662110
264,1,4,0,37,907,626806
265,1,4,0,38,915,633661
266,1,4,0,39,915,634198
267,1,4,0,40,932,644430
268,1,4,0,41,947,656167
269,1,4,0,42,949,655792
270,1,4,0,43,973,676921
271,1,4,0,44,971,674568
272,1,4,0,45,981,682529
273,1,4,0,46,989,685878
274,1,4,0,47,984,684022
275,1,4,2,37,916,636577
276,1,4,2,38,887,615612
278,1,4,2,40,940,652248
277,1,4,2,39,922,639557
279,1,4,2,41,957,661705
280,1,4,2,42,957,663774
281,1,4,2,43,963,671150
282,1,4,2,44,981,680459
283,1,4,2,45,983,683780
285,1,4,2,47,995,690479
284,1,4,2,46,979,679395
286,1,4,5,37,900,623256
287,1,4,5,38,900,619368
288,1,4,5,39,910,631802
290,1,4,5,41,955,662346
291,1,4,5,42,953,659341
289,1,4,5,40,930,646254
292,1,4,5,43,966,671561
294,1,4,5,45,975,675955
295,1,4,5,46,988,688469
293,1,4,5,44,975,678202
296,1,4,5,47,990,690433
297,1,4,8,37,900,623341
298,1,4,8,38,895,620719
300,1,4,8,40,923,639009
299,1,4,8,39,918,638989
301,1,4,8,41,953,663491
302,1,4,8,42,948,655901
303,1,4,8,43,970,672487
304,1,4,8,44,977,680338
307,1,4,8,47,990,690590
305,1,4,8,45,973,678640
306,1,4,8,46,989,686110
308,1,4,11,37,935,649744
310,1,4,11,39,950,659548
309,1,4,11,38,940,653593
311,1,4,11,40,945,657854
312,1,4,11,41,949,660007
313,1,4,11,42,972,676390
314,1,4,11,43,975,675867
315,1,4,11,44,971,671880
316,1,4,11,45,982,682602
318,1,4,11,47,992,687976
317,1,4,11,46,990,688857
319,1,4,14,37,917,633816
320,1,4,14,38,948,656925
321,1,4,14,39,953,661617
322,1,4,14,40,962,668191
323,1,4,14,41,965,671192
324,1,4,14,42,975,677022
328,1,4,14,46,989,685643
326,1,4,14,44,984,685278
325,1,4,14,43,974,678675
327,1,4,14,45,983,685875
330,1,6,0,37,901,622949
331,1,6,0,38,899,619890
329,1,4,14,47,990,691212
332,1,6,0,39,925,643147
333,1,6,0,40,932,647246
334,1,6,0,41,951,660671
335,1,6,0,42,951,659645
336,1,6,0,43,966,673840
337,1,6,0,44,976,677347
338,1,6,0,45,985,683906
339,1,6,0,46,985,684719
340,1,6,0,47,990,688680
342,1,6,2,38,914,633963
341,1,6,2,37,912,634106
343,1,6,2,39,922,641219
344,1,6,2,40,933,647439
346,1,6,2,42,962,666355
345,1,6,2,41,952,660251
347,1,6,2,43,961,666558
