No,Type,A,B,HP,Win,Frame
0,0,4,0,37,10,6652
3,0,4,0,40,7,4611
4,0,4,0,41,10,6825
5,0,4,0,42,9,6357
6,0,4,0,43,8,5343
1,0,4,0,38,9,6455
9,0,4,0,46,10,6716
7,0,4,0,44,9,6204
8,0,4,0,45,8,5480
10,0,4,0,47,10,6844
2,0,4,0,39,4,2743
12,0,4,2,38,9,6104
11,0,4,2,37,9,5912
13,0,4,2,39,8,5420
14,0,4,2,40,8,5331
15,0,4,2,41,8,5529
20,0,4,2,46,10,6625
23,0,4,5,38,9,6036
19,0,4,2,45,8,5482
16,0,4,2,42,10,6894
17,0,4,2,43,7,4902
26,0,4,5,41,9,6132
25,0,4,5,40,9,6219
18,0,4,2,44,10,6950
28,0,4,5,43,8,5269
22,0,4,5,37,8,5385
21,0,4,2,47,10,6859
29,0,4,5,44,9,6244
30,0,4,5,45,9,6203
27,0,4,5,42,10,7032
24,0,4,5,39,9,6243
31,0,4,5,46,10,6625
39,0,4,8,43,9,6083
35,0,4,8,39,10,6902
34,0,4,8,38,10,6971
32,0,4,5,47,10,7072
38,0,4,8,42,9,6052
43,0,4,8,47,10,6706
36,0,4,8,40,9,6155
41,0,4,8,45,10,6832
33,0,4,8,37,8,5566
37,0,4,8,41,8,5482
44,0,4,11,37,7,4743
42,0,4,8,46,10,6877
45,0,4,11,38,8,5235
40,0,4,8,44,9,6310
47,0,4,11,40,9,5882
46,0,4,11,39,7,4748
50,0,4,11,43,10,6558
48,0,4,11,41,9,6077
54,0,4,11,47,10,6649
49,0,4,11,42,9,6074
56,0,4,14,38,8,5163
51,0,4,11,44,10,6704
52,0,4,11,45,9,6230
58,0,4,14,40,9,6006
55,0,4,14,37,10,6980
57,0,4,14,39,10,6795
53,0,4,11,46,10,6982
59,0,4,14,41,10,6840
60,0,4,14,42,10,6731
61,0,4,14,43,7,4645
62,0,4,14,44,10,6983
63,0,4,14,45,10,6973
64,0,4,14,46,9,5987
65,0,4,14,47,10,6586
66,0,6,0,37,9,5806
68,0,6,0,39,8,5464
72,0,6,0,43,10,6649
73,0,6,0,44,10,6543
71,0,6,0,42,9,6135
67,0,6,0,38,9,6245
69,0,6,0,40,9,6182
74,0,6,0,45,8,5555
70,0,6,0,41,7,4769
75,0,6,0,46,8,5443
77,0,6,2,37,9,6083
78,0,6,2,38,9,6054
76,0,6,0,47,9,6281
79,0,6,2,39,10,7088
81,0,6,2,41,9,6085
82,0,6,2,42,8,5402
80,0,6,2,40,9,6219
83,0,6,2,43,9,5924
85,0,6,2,45,9,5984
86,0,6,2,46,9,5936
84,0,6,2,44,10,6919
90,0,6,5,39,5,3442
87,0,6,2,47,9,6189
