No,Type,A,B,HP,Win,Frame
89,0,6,5,38,8,5594
91,0,6,5,40,9,6065
88,0,6,5,37,10,7055
94,0,6,5,43,8,5416
92,0,6,5,41,9,5986
93,0,6,5,42,9,6279
95,0,6,5,44,9,6174
96,0,6,5,45,10,6858
97,0,6,5,46,9,6105
99,0,6,8,37,8,5625
101,0,6,8,39,7,4653
100,0,6,8,38,10,6918
98,0,6,5,47,10,7275
102,0,6,8,40,8,5616
105,0,6,8,43,9,5943
103,0,6,8,41,9,6350
104,0,6,8,42,9,6342
106,0,6,8,44,10,6811
107,0,6,8,45,9,6228
108,0,6,8,46,8,5434
110,0,6,11,37,9,6082
109,0,6,8,47,10,6812
111,0,6,11,38,9,6202
112,0,6,11,39,8,5598
113,0,6,11,40,9,6199
114,0,6,11,41,9,5884
116,0,6,11,43,8,5287
115,0,6,11,42,8,5489
119,0,6,11,46,10,6653
117,0,6,11,44,9,6246
118,0,6,11,45,10,6881
123,0,6,14,39,8,5180
121,0,6,14,37,8,5552
120,0,6,11,47,10,7094
122,0,6,14,38,9,6355
124,0,6,14,40,10,6923
126,0,6,14,42,9,6160
125,0,6,14,41,7,4928
127,0,6,14,43,10,6813
128,0,6,14,44,9,6083
132,0,10,0,37,8,5334
129,0,6,14,45,8,5451
131,0,6,14,47,10,6839
130,0,6,14,46,10,6943
134,0,10,0,39,9,5988
135,0,10,0,40,8,5249
133,0,10,0,38,6,4067
136,0,10,0,41,8,5690
138,0,10,0,43,7,4703
137,0,10,0,42,8,5470
139,0,10,0,44,10,6649
141,0,10,0,46,10,6652
140,0,10,0,45,9,6153
142,0,10,0,47,10,6877
143,0,10,2,37,9,6130
144,0,10,2,38,6,4031
145,0,10,2,39,10,6723
148,0,10,2,42,9,5898
147,0,10,2,41,9,6150
146,0,10,2,40,7,4834
149,0,10,2,43,9,6147
150,0,10,2,44,9,6043
151,0,10,2,45,9,6475
154,0,10,5,37,9,5926
153,0,10,2,47,10,6718
155,0,10,5,38,9,5996
156,0,10,5,39,10,6778
152,0,10,2,46,8,5399
157,0,10,5,40,8,5642
158,0,10,5,41,10,6743
159,0,10,5,42,9,5972
165,0,10,8,37,9,5678
160,0,10,5,43,10,6851
164,0,10,5,47,10,6675
161,0,10,5,44,7,4750
162,0,10,5,45,10,6775
163,0,10,5,46,9,6084
167,0,10,8,39,9,5822
166,0,10,8,38,6,4239
169,0,10,8,41,9,6191
168,0,10,8,40,7,4768
170,0,10,8,42,8,5354
172,0,10,8,44,9,5983
173,0,10,8,45,10,6670
174,0,10,8,46,10,6865
171,0,10,8,43,10,7038
175,0,10,8,47,10,6854
176,0,10,11,37,7,4623
177,0,10,11,38,8,5242
179,0,10,11,40,9,6204
178,0,10,11,39,10,6817
182,0,10,11,43,9,5978
180,0,10,11,41,10,6691
181,0,10,11,42,9,6041
185,0,10,11,46,10,6718
183,0,10,11,44,9,5981
184,0,10,11,45,10,6689
186,0,10,11,47,10,7111
188,0,10,14,38,10,6695
187,0,10,14,37,9,6079
189,0,10,14,39,9,6101
190,0,10,14,40,9,6003
191,0,10,14,41,9,6216
192,0,10,14,42,9,5899
193,0,10,14,43,8,5385
194,0,10,14,44,10,6744
195,0,10,14,45,10,6932
201,0,13,0,40,8,5138
199,0,13,0,38,7,4823
197,0,10,14,47,10,6591
198,0,13,0,37,5,3442
196,0,10,14,46,9,6250
200,0,13,0,39,9,6195
204,0,13,0,43,6,4163
202,0,13,0,41,9,6387
203,0,13,0,42,9,6172
205,0,13,0,44,10,7047
206,0,13,0,45,10,6882
207,0,13,0,46,9,6388
208,0,13,0,47,9,6147
209,0,13,2,37,7,4566
210,0,13,2,38,8,5332
211,0,13,2,39,9,6083
215,0,13,2,43,10,6596
213,0,13,2,41,10,6588
212,0,13,2,40,8,5349
217,0,13,2,45,9,6285
214,0,13,2,42,7,4806
216,0,13,2,44,9,6087
219,0,13,2,47,9,6151
218,0,13,2,46,9,6220
220,0,13,5,37,9,6015
222,0,13,5,39,8,5491
221,0,13,5,38,9,6326
223,0,13,5,40,9,5929
224,0,13,5,41,10,6908
225,0,13,5,42,8,5415
226,0,13,5,43,8,5670
230,0,13,5,47,10,6662
227,0,13,5,44,10,6992
228,0,13,5,45,6,4098
232,0,13,8,38,9,6114
231,0,13,8,37,7,4752
233,0,13,8,39,9,5994
229,0,13,5,46,10,7033
234,0,13,8,40,9,6280
235,0,13,8,41,9,6109
237,0,13,8,43,9,6394
238,0,13,8,44,10,6747
236,0,13,8,42,8,5420
239,0,13,8,45,10,6907
240,0,13,8,46,9,6276
242,0,13,11,37,7,4613
241,0,13,8,47,10,6830
244,0,13,11,39,9,6074
245,0,13,11,40,9,5871
249,0,13,11,44,10,6787
243,0,13,11,38,10,7093
246,0,13,11,41,8,5588
247,0,13,11,42,9,6073
248,0,13,11,43,8,5767
254,0,13,14,38,9,5890
250,0,13,11,45,9,6040
251,0,13,11,46,10,7109
253,0,13,14,37,8,5396
252,0,13,11,47,10,6896
255,0,13,14,39,9,6165
257,0,13,14,41,8,5400
256,0,13,14,40,9,6153
258,0,13,14,42,9,6251
260,0,13,14,44,10,6724
261,0,13,14,45,10,6713
259,0,13,14,43,8,5315
263,0,13,14,47,10,6915
262,0,13,14,46,9,6081
265,1,4,0,38,9,5930
264,1,4,0,37,8,5268
267,1,4,0,40,10,6649
266,1,4,0,39,8,5424
268,1,4,0,41,10,6766
270,1,4,0,43,9,6060
271,1,4,0,44,9,5984
269,1,4,0,42,10,6841
274,1,4,0,47,9,5971
273,1,4,0,46,8,5445
272,1,4,0,45,8,5639
277,1,4,2,39,9,6078
276,1,4,2,38,6,3781
278,1,4,2,40,8,5327
275,1,4,2,37,10,6891
281,1,4,2,43,9,5980
279,1,4,2,41,10,6735
280,1,4,2,42,10,6899
282,1,4,2,44,9,6237
285,1,4,2,47,10,6934
283,1,4,2,45,10,6984
284,1,4,2,46,8,5340
287,1,4,5,38,7,4721
286,1,4,5,37,9,6066
290,1,4,5,41,10,6845
291,1,4,5,42,8,5344
289,1,4,5,40,8,5724
288,1,4,5,39,8,5661
293,1,4,5,44,10,6566
292,1,4,5,43,9,6038
295,1,4,5,46,9,6298
294,1,4,5,45,8,5488
296,1,4,5,47,10,6652
299,1,4,8,39,6,3991
298,1,4,8,38,9,6184
297,1,4,8,37,6,4107
301,1,4,8,41,8,5574
302,1,4,8,42,9,6324
303,1,4,8,43,8,5343
300,1,4,8,40,8,5639
304,1,4,8,44,9,6018
305,1,4,8,45,10,6642
307,1,4,8,47,9,6397
308,1,4,11,37,8,5329
306,1,4,8,46,8,5882
309,1,4,11,38,9,6024
311,1,4,11,40,9,5992
310,1,4,11,39,8,5372
312,1,4,11,41,9,5925
313,1,4,11,42,7,4724
315,1,4,11,44,10,6657
314,1,4,11,43,9,5960
316,1,4,11,45,10,6820
317,1,4,11,46,9,5904
318,1,4,11,47,10,6802
319,1,4,14,37,10,6631
320,1,4,14,38,8,5382
321,1,4,14,39,7,4682
325,1,4,14,43,10,6805
322,1,4,14,40,9,6182
324,1,4,14,42,10,6810
323,1,4,14,41,9,6205
326,1,4,14,44,10,6819
327,1,4,14,45,9,6017
332,1,6,0,39,9,6060
329,1,4,14,47,10,6874
330,1,6,0,37,10,6755
331,1,6,0,38,9,6187
333,1,6,0,40,7,4597
328,1,4,14,46,10,7038
334,1,6,0,41,9,6238
335,1,6,0,42,7,4752
337,1,6,0,44,8,5379
336,1,6,0,43,8,5571
338,1,6,0,45,8,5537
339,1,6,0,46,9,6025
341,1,6,2,37,7,4613
342,1,6,2,38,7,4709
343,1,6,2,39,7,4594
348,1,6,2,44,9,6022
340,1,6,0,47,10,7116
350,1,6,2,46,9,5961
347,1,6,2,43,8,5311
345,1,6,2,41,10,6760
346,1,6,2,42,9,6023
349,1,6,2,45,8,5589
344,1,6,2,40,9,6316
351,1,6,2,47,9,6465
353,1,6,5,38,9,5849
352,1,6,5,37,9,6097
355,1,6,5,40,10,6827
354,1,6,5,39,8,5434
356,1,6,5,41,9,6060
359,1,6,5,44,10,6887
358,1,6,5,43,8,5665
357,1,6,5,42,7,5002
361,1,6,5,46,10,6532
363,1,6,8,37,8,5323
360,1,6,5,45,9,6311
364,1,6,8,38,9,6391
365,1,6,8,39,9,6131
362,1,6,5,47,10,7126
366,1,6,8,40,8,5347
367,1,6,8,41,10,6919
368,1,6,8,42,10,6717
369,1,6,8,43,9,6264
371,1,6,8,45,10,6573
370,1,6,8,44,10,7132
372,1,6,8,46,10,6913
373,1,6,8,47,9,5989
374,1,6,11,37,8,5353
378,1,6,11,41,10,6691
377,1,6,11,40,5,3241
376,1,6,11,39,10,6744
375,1,6,11,38,8,5701
380,1,6,11,43,7,4768
379,1,6,11,42,7,4823
381,1,6,11,44,9,6152
382,1,6,11,45,10,6932
383,1,6,11,46,10,7083
384,1,6,11,47,9,6247
385,1,6,14,37,8,5452
386,1,6,14,38,9,6079
389,1,6,14,41,10,6658
387,1,6,14,39,9,6202
388,1,6,14,40,9,6112
390,1,6,14,42,9,6438
391,1,6,14,43,9,6115
393,1,6,14,45,10,6819
395,1,6,14,47,9,6091
392,1,6,14,44,10,6848
396,1,10,0,37,9,6135
394,1,6,14,46,10,6960
397,1,10,0,38,8,5526
398,1,10,0,39,7,4746
399,1,10,0,40,9,6116
400,1,10,0,41,9,6100
401,1,10,0,42,10,6517
402,1,10,0,43,8,5304
403,1,10,0,44,9,5945
404,1,10,0,45,9,6240
405,1,10,0,46,9,6139
406,1,10,0,47,10,6580
412,1,10,2,42,9,5947
407,1,10,2,37,9,6114
408,1,10,2,38,7,4822
410,1,10,2,40,8,5533
411,1,10,2,41,7,4938
409,1,10,2,39,5,3451
414,1,10,2,44,8,5301
413,1,10,2,43,7,4577
415,1,10,2,45,9,6018
416,1,10,2,46,9,6272
417,1,10,2,47,7,4850
419,1,10,5,38,8,5275
418,1,10,5,37,9,6011
422,1,10,5,41,9,6053
420,1,10,5,39,8,5488
421,1,10,5,40,9,6233
423,1,10,5,42,7,4737
425,1,10,5,44,9,6034
428,1,10,5,47,9,6071
427,1,10,5,46,10,6820
424,1,10,5,43,10,6497
429,1,10,8,37,8,5565
426,1,10,5,45,10,6838
431,1,10,8,39,9,6169
430,1,10,8,38,8,5637
435,1,10,8,43,9,6165
433,1,10,8,41,8,5377
434,1,10,8,42,7,4799
436,1,10,8,44,9,5941
432,1,10,8,40,8,5659
438,1,10,8,46,10,6987
437,1,10,8,45,10,6925
440,1,10,11,37,8,5349
439,1,10,8,47,10,7057
443,1,10,11,40,10,6831
442,1,10,11,39,10,6712
441,1,10,11,38,8,5324
445,1,10,11,42,9,6176
444,1,10,11,41,9,6478
446,1,10,11,43,9,6155
447,1,10,11,44,9,6533
448,1,10,11,45,10,6667
450,1,10,11,47,9,5857
449,1,10,11,46,10,7142
451,1,10,14,37,9,6378
452,1,10,14,38,9,6162
453,1,10,14,39,9,6178
454,1,10,14,40,8,5430
455,1,10,14,41,9,6096
456,1,10,14,42,8,5463
457,1,10,14,43,9,6072
459,1,10,14,45,9,5944
458,1,10,14,44,7,5009
460,1,10,14,46,10,6701
461,1,10,14,47,9,6124
462,1,13,0,37,9,6199
463,1,13,0,38,9,6172
464,1,13,0,39,10,6821
465,1,13,0,40,10,6844
466,1,13,0,41,8,5225
467,1,13,0,42,9,6023
468,1,13,0,43,8,5426
469,1,13,0,44,9,5994
470,1,13,0,45,9,6165
471,1,13,0,46,10,6989
472,1,13,0,47,9,6085
473,1,13,2,37,10,7046
474,1,13,2,38,10,6773
475,1,13,2,39,9,6134
476,1,13,2,40,7,4581
477,1,13,2,41,10,7165
478,1,13,2,42,9,6378
479,1,13,2,43,9,5877
480,1,13,2,44,9,6166
482,1,13,2,46,10,6959
484,1,13,5,37,7,4610
481,1,13,2,45,8,5777
485,1,13,5,38,8,5351
483,1,13,2,47,10,7231
486,1,13,5,39,8,5404
487,1,13,5,40,10,6978
489,1,13,5,42,10,7198
488,1,13,5,41,9,6036
490,1,13,5,43,9,6222
491,1,13,5,44,8,5478
492,1,13,5,45,9,6236
495,1,13,8,37,8,5696
494,1,13,5,47,10,7160
493,1,13,5,46,9,6413
496,1,13,8,38,10,6899
497,1,13,8,39,10,7115
498,1,13,8,40,9,5973
499,1,13,8,41,8,5531
500,1,13,8,42,8,5445
502,1,13,8,44,8,5482
501,1,13,8,43,10,6689
503,1,13,8,45,9,6059
504,1,13,8,46,8,5268
505,1,13,8,47,10,6995
508,1,13,11,39,10,6681
507,1,13,11,38,10,6840
506,1,13,11,37,8,5798
510,1,13,11,41,9,6061
509,1,13,11,40,10,6750
511,1,13,11,42,8,5527
512,1,13,11,43,9,6202
513,1,13,11,44,10,6505
514,1,13,11,45,10,6761
516,1,13,11,47,10,6798
515,1,13,11,46,10,6973
517,1,13,14,37,10,6510
518,1,13,14,38,10,6783
519,1,13,14,39,9,6146
520,1,13,14,40,9,6031
521,1,13,14,41,7,5046
523,1,13,14,43,10,6849
522,1,13,14,42,10,6880
524,1,13,14,44,10,6939
525,1,13,14,45,9,6085
526,1,13,14,46,10,6883
527,1,13,14,47,10,6808
