Type,A,B,HP,Win
0,1,1,9,24
0,1,1,10,20
0,1,1,11,34
0,1,1,12,38
0,1,1,13,31
0,1,1,14,36
0,1,1,15,47
0,1,1,16,41
0,1,1,17,42
0,1,1,18,30
0,1,1,19,45
0,1,1,20,58
0,1,1,21,52
0,1,1,22,54
0,1,1,23,55
0,1,1,24,60
0,1,1,25,62
0,1,1,26,58
0,1,1,27,66
0,1,1,28,62
0,1,1,29,64
0,1,1,30,74
0,1,3,1,9
0,1,3,2,1
0,1,3,3,5
0,1,3,4,6
0,1,3,5,19
0,1,3,6,17
0,1,3,7,19
0,1,3,8,23
0,1,3,9,42
0,1,3,10,31
0,1,3,11,37
0,1,3,12,42
0,1,3,13,35
0,1,3,14,38
0,1,3,15,50
0,1,3,16,40
0,1,3,17,46
0,1,3,18,47
0,1,3,19,57
0,1,3,20,53
0,1,3,21,55
0,1,3,22,56
0,1,3,23,58
0,1,3,24,64
0,1,3,25,62
0,1,3,26,63
0,1,3,27,66
0,1,3,28,67
0,1,3,29,74
0,1,3,30,75
0,1,5,1,8
0,1,5,2,8
0,1,5,3,10
0,1,5,4,4
0,1,5,5,26
0,1,5,6,18
0,1,5,7,25
0,1,5,8,17
0,1,5,9,36
0,1,5,10,42
0,1,5,11,48
0,1,5,12,34
0,1,5,13,38
0,1,5,14,35
0,1,5,15,56
0,1,5,16,45
0,1,5,17,44
0,1,5,18,57
0,1,5,19,56
0,1,5,20,46
0,1,5,21,59
0,1,5,22,69
0,1,5,23,61
0,1,5,24,61
0,1,5,25,63
0,1,5,26,72
0,1,5,27,75
0,1,5,28,75
0,1,5,29,67
0,1,5,30,76
0,1,8,1,7
0,1,8,2,3
0,1,8,3,6
0,1,8,4,6
0,1,8,5,20
0,1,8,6,19
0,1,8,7,17
0,1,8,8,28
0,1,8,9,44
0,1,8,10,32
0,1,8,11,43
0,1,8,12,40
0,1,8,13,32
0,1,8,14,37
0,1,8,15,40
0,1,8,16,45
0,1,8,17,52
0,1,8,18,59
0,1,8,19,43
0,1,8,20,47
0,1,8,21,65
0,1,8,22,57
0,1,8,23,66
0,1,8,24,67
0,1,8,25,66
0,1,8,26,66
0,1,8,27,78
0,1,8,28,69
0,1,8,29,77
0,1,8,30,73
0,1,10,1,10
0,1,10,2,4
0,1,10,3,8
0,1,10,4,7
0,1,10,5,26
0,1,10,6,30
0,1,10,7,27
0,1,10,8,26
0,1,10,9,39
0,1,10,10,43
0,1,10,11,43
0,1,10,12,56
0,1,10,13,39
0,1,10,14,37
0,1,10,15,53
0,1,10,16,55
0,1,10,17,62
0,1,10,18,49
0,1,10,19,53
0,1,10,20,57
0,1,10,21,54
0,1,10,22,62
0,1,10,23,66
0,1,10,24,68
0,1,10,25,61
0,1,10,26,59
0,1,10,27,75
0,1,10,28,65
0,1,10,29,73
0,1,10,30,70
0,1,12,1,7
0,1,12,2,3
0,1,12,3,0
0,1,12,4,10
0,1,12,5,15
0,1,12,6,30
0,1,12,7,23
0,1,12,8,22
0,1,12,9,33
0,1,12,10,44
0,1,12,11,39
0,1,12,12,41
0,1,12,13,38
0,1,12,14,48
0,1,12,15,53
0,1,12,16,48
0,1,12,17,56
0,1,12,18,51
0,1,12,19,49
0,1,12,20,51
0,1,12,21,60
0,1,12,22,64
0,1,12,23,63
0,1,12,24,53
0,1,12,25,70
0,1,12,26,68
0,1,12,27,68
0,1,12,28,65
0,1,12,29,73
0,1,12,30,75
0,1,14,1,5
0,1,14,2,2
0,1,14,3,9
0,1,14,4,6
0,1,14,5,9
0,1,14,6,16
0,1,14,7,25
0,1,14,8,20
0,1,14,9,34
0,1,14,10,41
0,1,14,11,44
0,1,14,12,49
0,1,14,13,42
0,1,14,14,33
0,1,14,15,46
0,1,14,16,47
0,1,14,17,52
0,1,14,18,53
0,1,14,19,49
0,1,14,20,55
0,1,14,21,50
0,1,14,22,60
0,1,14,23,65
0,1,14,24,65
0,1,14,25,65
0,1,14,26,69
0,1,14,27,73
0,1,14,28,77
0,1,14,29,70
0,1,14,30,68
0,3,0,1,6
0,3,0,2,7
0,3,0,3,8
0,3,0,4,5
0,3,0,5,3
0,3,0,6,23
0,3,0,7,25
0,3,0,8,29
0,3,0,9,33
0,3,0,10,35
0,3,0,11,43
0,3,0,12,45
0,3,0,13,48
0,3,0,14,51
0,3,0,15,45
0,3,0,16,53
0,3,0,17,52
0,3,0,18,48
0,3,0,19,61
0,3,0,20,54
0,3,0,21,66
0,3,0,22,68
0,3,0,23,62
0,3,0,24,67
0,3,0,25,67
0,3,0,26,68
0,3,0,27,71
0,3,0,28,66
0,3,0,29,75
0,3,0,30,74
0,3,1,1,8
0,3,1,2,8
0,3,1,3,3
0,3,1,4,11
0,3,1,5,5
0,3,1,6,31
0,3,1,7,31
0,3,1,8,26
0,3,1,9,27
0,3,1,10,29
0,3,1,11,50
0,3,1,12,51
0,3,1,13,42
0,3,1,14,56
0,3,1,15,56
0,3,1,16,52
0,3,1,17,60
0,3,1,18,59
0,3,1,19,51
0,3,1,20,59
0,3,1,21,59
0,3,1,22,58
0,3,1,23,65
0,3,1,24,59
0,3,1,25,74
0,3,1,26,72
0,3,1,27,79
0,3,1,28,66
0,3,1,29,75
0,3,1,30,77
0,3,3,1,7
0,3,3,2,3
0,3,3,3,5
0,3,3,4,4
0,3,3,5,25
0,3,3,6,37
0,3,3,7,26
0,3,3,8,31
0,3,3,9,45
0,3,3,10,42
0,3,3,11,48
0,3,3,12,48
0,3,3,13,53
0,3,3,14,53
0,3,3,15,51
0,3,3,16,53
0,3,3,17,47
0,3,3,18,52
0,3,3,19,62
0,3,3,20,59
0,3,3,21,58
0,3,3,22,71
0,3,3,23,65
0,3,3,24,71
0,3,3,25,77
0,3,3,26,73
0,3,3,27,77
0,3,3,28,82
0,3,3,29,81
0,3,3,30,72
0,3,5,1,6
0,3,5,2,5
0,3,5,3,6
0,3,5,4,7
0,3,5,5,22
0,3,5,6,24
0,3,5,7,26
0,3,5,8,41
0,3,5,9,44
0,3,5,10,56
0,3,5,11,51
0,3,5,12,52
0,3,5,13,42
0,3,5,14,55
0,3,5,15,62
0,3,5,16,67
0,3,5,17,56
0,3,5,18,51
0,3,5,19,61
0,3,5,20,63
0,3,5,21,61
0,3,5,22,59
0,3,5,23,71
0,3,5,24,70
0,3,5,25,74
0,3,5,26,67
0,3,5,27,71
0,3,5,28,67
0,3,5,29,79
0,3,5,30,71
0,3,8,1,3
0,3,8,2,5
0,3,8,3,6
0,3,8,4,6
0,3,8,5,20
0,3,8,6,19
0,3,8,7,22
0,3,8,8,25
0,3,8,9,54
0,3,8,10,49
0,3,8,11,41
0,3,8,12,48
0,3,8,13,46
0,3,8,14,46
0,3,8,15,53
0,3,8,16,63
0,3,8,17,51
0,3,8,18,65
0,3,8,19,67
0,3,8,20,55
0,3,8,21,70
0,3,8,22,74
0,3,8,23,65
0,3,8,24,73
0,3,8,25,64
0,3,8,26,74
0,3,8,27,71
0,3,8,28,81
0,3,8,29,77
0,3,8,30,79
0,3,10,1,12
0,3,10,2,3
0,3,10,3,9
0,3,10,4,4
0,3,10,5,21
0,3,10,6,24
0,3,10,7,29
0,3,10,8,28
0,3,10,9,43
0,3,10,10,49
0,3,10,11,47
0,3,10,12,52
0,3,10,13,54
0,3,10,14,55
0,3,10,15,53
0,3,10,16,60
0,3,10,17,65
0,3,10,18,53
0,3,10,19,61
0,3,10,20,59
0,3,10,21,77
0,3,10,22,72
0,3,10,23,66
0,3,10,24,62
0,3,10,25,72
0,3,10,26,78
0,3,10,27,72
0,3,10,28,82
0,3,10,29,73
0,3,10,30,73
0,3,12,1,8
0,3,12,2,5
0,3,12,3,6
0,3,12,4,7
0,3,12,5,26
0,3,12,6,25
0,3,12,7,35
0,3,12,8,34
0,3,12,9,39
0,3,12,10,47
0,3,12,11,41
0,3,12,12,54
0,3,12,13,49
0,3,12,14,57
0,3,12,15,49
0,3,12,16,51
